,State,Week after outbreak,Confirmed cases,Deaths,Hospitalized (cumulative),Test performed,Total population
0,IN,1,1.0,0,0.0,1,6457354
1,IN,2,12.0,0,0.0,73,6457354
2,IN,3,79.0,2,,554,6457354
3,IN,4,981.0,24,,6936,6457354
4,IN,5,3437.0,102,,17835,6457354
5,IN,6,6907.0,300,,35040,6457354
6,CO,1,0.0,0,0.0,40,5845516
7,CO,2,45.0,0,0.0,343,5845516
8,CO,3,216.0,2,,2328,5845516
9,CO,4,1086.0,19,148.0,8064,5845516
10,CO,5,3342.0,80,620.0,18645,5845516
11,CO,6,5655.0,193,1162.0,29199,5845516
12,WV,1,0.0,0,0.0,5,1778070
13,WV,2,0.0,0,0.0,21,1778070
14,WV,3,7.0,0,,239,1778070
15,WV,4,76.0,0,1.0,1898,1778070
16,WV,5,237.0,2,1.0,6367,1778070
17,WV,6,554.0,5,,14555,1778070
18,MT,1,0.0,0,0.0,11,1086759
19,MT,2,5.0,0,0.0,108,1086759
20,MT,3,20.0,0,0.0,1166,1086759
21,MT,4,129.0,1,7.0,3385,1086759
22,MT,5,265.0,5,24.0,6177,1086759
23,MT,6,377.0,6,46.0,8581,1086759
24,KS,1,0.0,0,0.0,4,2910357
25,KS,2,6.0,0,0.0,99,2910357
26,KS,3,44.0,1,,461,2910357
27,KS,4,202.0,4,27.0,3431,2910357
28,KS,5,620.0,17,151.0,7074,2910357
29,KS,6,1166.0,50,274.0,11414,2910357
30,NV,1,1.0,0,0.0,15,3139658
31,NV,2,7.0,0,0.0,175,3139658
32,NV,3,95.0,1,,1721,3139658
33,NV,4,420.0,10,,5117,3139658
34,NV,5,1458.0,38,,14046,3139658
35,NV,6,2456.0,80,,21771,3139658
36,MO,1,0.0,0,0.0,0,6169270
37,MO,2,4.0,0,,94,6169270
38,MO,3,73.0,3,,442,6169270
39,MO,4,838.0,10,,10920,6169270
40,MO,5,2291.0,24,,24905,6169270
41,MO,6,4024.0,109,,43172,6169270
42,NE,1,0.0,0,0.0,22,1952570
43,NE,2,10.0,0,0.0,123,1952570
44,NE,3,27.0,0,,267,1952570
45,NE,4,73.0,0,,1657,1952570
46,NE,5,246.0,5,,4235,1952570
47,NE,6,567.0,14,,8683,1952570
48,OH,1,0.0,0,0.0,10,11718568
49,OH,2,5.0,0,0.0,87,11718568
50,OH,3,119.0,0,0.0,259,11718568
51,OH,4,867.0,15,223.0,17316,11718568
52,OH,5,2902.0,81,802.0,34918,11718568
53,OH,6,5512.0,213,1612.0,55985,11718568
54,WY,1,0.0,0,0.0,0,567025
55,WY,2,2.0,0,0.0,2,567025
56,WY,3,23.0,0,0.0,461,567025
57,WY,4,82.0,0,14.0,1557,567025
58,WY,5,187.0,0,23.0,3132,567025
59,WY,6,261.0,0,37.0,5459,567025
60,VA,1,0.0,0,0.0,21,8626107
61,VA,2,17.0,0,0.0,134,8626107
62,VA,3,94.0,2,,1923,8626107
63,VA,4,460.0,13,65.0,6189,8626107
64,VA,5,1706.0,41,305.0,17589,8626107
65,VA,6,4042.0,109,685.0,33653,8626107
66,TN,1,1.0,0,0.0,1,6897576
67,TN,2,18.0,0,0.0,97,6897576
68,TN,3,154.0,0,0.0,503,6897576
69,TN,4,957.0,3,76.0,14909,6897576
70,TN,5,2845.0,32,263.0,34611,6897576
71,TN,6,4634.0,94,505.0,59849,6897576
72,NH,1,2.0,0,0.0,19,1371246
73,NH,2,4.0,0,0.0,47,1371246
74,NH,3,26.0,0,0.0,747,1371246
75,NH,4,108.0,1,13.0,3268,1371246
76,NH,5,415.0,4,56.0,6497,1371246
77,NH,6,788.0,18,118.0,9266,1371246
78,MA,1,2.0,0,0.0,2,6976597
79,MA,2,92.0,0,0.0,92,6976597
80,MA,3,256.0,0,0.0,2271,6976597
81,MA,4,1838.0,15,103.0,19794,6976597
82,MA,5,7738.0,122,682.0,51738,6976597
83,MA,6,16790.0,433,1583.0,87511,6976597
84,NY,1,6.0,0,0.0,78,19491339
85,NY,2,216.0,0,0.0,308,19491339
86,NY,3,2382.0,12,,14597,19491339
87,NY,4,30811.0,285,3805.0,103479,19491339
88,NY,5,83712.0,1941,18368.0,220880,19491339
89,NY,6,149316.0,6268,34432.0,365153,19491339
90,RI,1,1.0,0,0.0,1,1056161
91,RI,2,3.0,0,0.0,45,1056161
92,RI,3,20.0,0,0.0,348,1056161
93,RI,4,83.0,0,0.0,1231,1056161
94,RI,5,294.0,3,,3134,1056161
95,RI,6,922.0,25,,7181,1056161
96,RI,7,2665.0,63,,20350,1056161
97,AS,1,0.0,0,0.0,0,NULL
98,AS,2,,0,,0,NULL
99,AS,3,,0,,0,NULL
100,AS,4,0.0,0,,5,NULL
101,PR,1,5.0,0,0.0,14,3032165
102,PR,2,31.0,2,,255,3032165
103,PR,3,174.0,6,,1899,3032165
104,PR,4,513.0,21,,4945,3032165
105,VT,1,0.0,0,0.0,8,628061
106,VT,2,2.0,0,0.0,144,628061
107,VT,3,29.0,2,,808,628061
108,VT,4,184.0,10,18.0,2261,628061
