,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalized,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death
0,20200306,AK,0,8,1.0,9,8,8,02,,,,,,,,,,,,,,
1,20200307,AK,0,12,2.0,14,12,12,02,0.0,0.0,4.0,0.0,4.0,,,,,,,,,
2,20200308,AK,0,14,6.0,20,14,14,02,0.0,0.0,2.0,0.0,2.0,,,,,,,,,
3,20200309,AK,0,23,9.0,32,23,23,02,0.0,0.0,9.0,0.0,9.0,,,,,,,,,
4,20200310,AK,0,23,9.0,32,23,23,02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,20200311,AK,0,46,14.0,60,46,46,02,0.0,0.0,23.0,0.0,23.0,,,,,,,,,
6,20200312,AK,0,46,14.0,60,46,46,02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,20200313,AK,1,59,,60,60,60,02,0.0,0.0,13.0,1.0,14.0,,,,,,,,,
8,20200314,AK,1,143,,144,144,144,02,0.0,0.0,84.0,0.0,84.0,,,,,,,,,
9,20200315,AK,1,143,,144,144,144,02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
10,20200316,AK,1,143,,144,144,144,02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
11,20200317,AK,3,334,,337,337,337,02,0.0,0.0,191.0,2.0,193.0,,,,,,,,,
12,20200318,AK,6,406,,412,412,412,02,0.0,0.0,72.0,3.0,75.0,,,,,,,,,
13,20200319,AK,6,432,,438,438,438,02,0.0,0.0,26.0,0.0,26.0,,,,,,,,,
14,20200320,AK,12,686,,698,698,698,02,0.0,0.0,254.0,6.0,260.0,,,,,,,,,
15,20200321,AK,14,758,,772,772,772,02,0.0,0.0,72.0,2.0,74.0,,0.0,0.0,,,,,,
16,20200322,AK,22,946,,968,968,968,02,0.0,0.0,188.0,8.0,196.0,,0.0,0.0,,,,,,
17,20200323,AK,22,946,,968,968,968,02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,
18,20200324,AK,36,986,,1022,1022,1022,02,0.0,0.0,40.0,14.0,54.0,,0.0,0.0,,,,,,
19,20200325,AK,42,1649,,1691,1691,1691,02,1.0,1.0,663.0,6.0,669.0,,1.0,1.0,,,,,,1.0
20,20200326,AK,59,1801,,1860,1860,1860,02,0.0,2.0,152.0,17.0,169.0,,3.0,3.0,,,,,,1.0
21,20200327,AK,69,2319,13.0,2401,2388,2388,02,0.0,0.0,518.0,10.0,528.0,,3.0,3.0,,,,,,1.0
22,20200328,AK,85,2836,,2921,2921,2921,02,1.0,2.0,517.0,16.0,533.0,,5.0,5.0,,,,,,2.0
23,20200329,AK,102,3232,,3334,3334,3334,02,0.0,1.0,396.0,17.0,413.0,,6.0,6.0,,,,,,2.0
24,20200330,AK,114,3540,,3654,3654,3654,02,1.0,1.0,308.0,12.0,320.0,,7.0,7.0,,,,,,3.0
25,20200331,AK,119,3594,,3713,3713,3713,02,0.0,0.0,54.0,5.0,59.0,,7.0,7.0,,,,,,3.0
26,20200401,AK,133,4470,,4603,4603,4603,02,0.0,2.0,876.0,14.0,890.0,,9.0,9.0,,,,,,3.0
27,20200402,AK,143,4879,,5022,5022,5022,02,0.0,0.0,409.0,10.0,419.0,,9.0,9.0,,,,,,3.0
28,20200403,AK,157,5859,,6016,6016,6016,02,0.0,6.0,980.0,14.0,994.0,,15.0,15.0,,,,,,3.0
29,20200404,AK,171,5869,,6040,6040,6040,02,2.0,1.0,10.0,14.0,24.0,,16.0,16.0,,,,,,5.0
30,20200405,AK,185,6099,,6284,6284,6284,02,1.0,4.0,230.0,14.0,244.0,,20.0,20.0,,,,,,6.0
31,20200406,AK,191,6692,,6883,6883,6883,02,0.0,3.0,593.0,6.0,599.0,,23.0,23.0,,,,,,6.0
32,20200407,AK,213,6700,,6913,6913,6913,02,0.0,0.0,8.0,22.0,30.0,,23.0,23.0,,,,,29.0,6.0
33,20200408,AK,226,6842,,7068,7068,7068,02,1.0,4.0,142.0,13.0,155.0,,27.0,27.0,,,,,32.0,7.0
34,20200409,AK,235,6988,,7223,7223,7223,02,0.0,0.0,146.0,9.0,155.0,,27.0,27.0,,,,,49.0,7.0
35,20200410,AK,246,7186,,7432,7432,7432,02,0.0,1.0,198.0,11.0,209.0,,28.0,28.0,,,,,55.0,7.0
36,20200411,AK,257,7475,,7732,7732,7732,02,1.0,3.0,289.0,11.0,300.0,,31.0,31.0,,,,,63.0,8.0
