,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200307,AL,0,0,0,0,01,,,,,,,,,,,,,,,,
1,20200308,AL,0,0,0,0,01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200309,AL,0,0,0,0,01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,20200310,AL,0,0,0,0,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,20200311,AL,0,10,10,10,01,0.0,0.0,10.0,0.0,10.0,10.0,,,,,,,,,,
5,20200312,AL,0,10,10,10,01,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,
6,20200313,AL,1,12,12,12,01,0.0,0.0,1.0,1.0,2.0,11.0,,,,,,,,,,
7,20200314,AL,6,74,28,28,01,0.0,0.0,11.0,5.0,16.0,22.0,46.0,,,,,,,,,
8,20200315,AL,12,86,40,40,01,0.0,0.0,6.0,6.0,12.0,28.0,46.0,,,,,,,,0.0,
9,20200316,AL,28,96,56,56,01,0.0,0.0,0.0,16.0,16.0,28.0,40.0,,,,,,,,0.0,
10,20200317,AL,36,64,64,64,01,0.0,0.0,0.0,8.0,8.0,28.0,,,,,,,,,0.0,
11,20200318,AL,46,74,74,74,01,0.0,0.0,0.0,10.0,10.0,28.0,,,,,,,,,0.0,
12,20200319,AL,68,96,96,96,01,0.0,0.0,0.0,22.0,22.0,28.0,,,,,,,,,0.0,
13,20200320,AL,81,109,109,109,01,0.0,0.0,0.0,13.0,13.0,28.0,,,,,,,,,0.0,
14,20200321,AL,124,152,152,152,01,0.0,0.0,0.0,43.0,43.0,28.0,,,,,,,,,0.0,
15,20200322,AL,138,1602,1602,1602,01,0.0,0.0,1436.0,14.0,1450.0,1464.0,,,,,,,,,0.0,
16,20200323,AL,167,1832,1832,1832,01,0.0,0.0,201.0,29.0,230.0,1665.0,,,,,,,,,0.0,
17,20200324,AL,215,2321,2321,2321,01,0.0,0.0,441.0,48.0,489.0,2106.0,,,,,,,,,0.0,
18,20200325,AL,283,2812,2812,2812,01,0.0,0.0,423.0,68.0,491.0,2529.0,,,,,,,,,0.0,
19,20200326,AL,506,4099,4099,4099,01,1.0,0.0,1064.0,223.0,1287.0,3593.0,,,,,,,,,1.0,
20,20200327,AL,587,4771,4771,4771,01,2.0,0.0,591.0,81.0,672.0,4184.0,,,,,,,,,3.0,
21,20200328,AL,696,4880,4880,4880,01,0.0,0.0,0.0,109.0,109.0,4184.0,,,,,,,,,3.0,
22,20200329,AL,806,4990,4990,4990,01,1.0,0.0,0.0,110.0,110.0,4184.0,,,,,,,,,4.0,
23,20200330,AL,859,6553,6553,6553,01,2.0,0.0,1510.0,53.0,1563.0,5694.0,,,,,,,,,6.0,
24,20200331,AL,981,7279,7279,7279,01,7.0,0.0,604.0,122.0,726.0,6298.0,,,,,,,,,13.0,
25,20200401,AL,1077,7774,7774,7774,01,13.0,0.0,399.0,96.0,495.0,6697.0,,,,,,,,,26.0,
26,20200402,AL,1233,8736,8736,8736,01,6.0,0.0,806.0,156.0,962.0,7503.0,,,,,,,,,32.0,
27,20200403,AL,1432,9619,9619,9619,01,3.0,0.0,684.0,199.0,883.0,8187.0,,,,,,,,,35.0,
28,20200404,AL,1580,10853,10853,10853,01,8.0,212.0,1086.0,148.0,1234.0,9273.0,,,212.0,,,,,,43.0,212.0
29,20200405,AL,1796,13078,13078,13078,01,2.0,19.0,2009.0,216.0,2225.0,11282.0,,,231.0,,,,,,45.0,231.0
30,20200406,AL,1968,14765,14765,14765,01,5.0,9.0,1515.0,172.0,1687.0,12797.0,,,240.0,,,,,,50.0,240.0
31,20200407,AL,2119,14916,14916,14916,01,6.0,31.0,0.0,151.0,151.0,12797.0,,,271.0,,,,,,56.0,271.0
32,20200408,AL,2369,19122,19122,19122,01,10.0,43.0,3956.0,250.0,4206.0,16753.0,,,314.0,,,,,,66.0,314.0
33,20200409,AL,2769,20827,20827,20827,01,8.0,19.0,1305.0,400.0,1705.0,18058.0,,,333.0,,,,,,74.0,333.0
34,20200410,AL,2968,21026,21026,21026,01,6.0,35.0,0.0,199.0,199.0,18058.0,,,368.0,,,,,,80.0,368.0
35,20200411,AL,3191,21249,21249,21249,01,11.0,34.0,0.0,223.0,223.0,18058.0,,,402.0,,,,,,91.0,402.0
