,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,AZ,2,27,5.0,34,29,29,04,,,,,,,,,,,,,,
1,20200305,AZ,2,28,6.0,36,30,30,04,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
2,20200306,AZ,3,33,15.0,51,36,36,04,0.0,0.0,5.0,1.0,6.0,,,,,,,,,
3,20200307,AZ,5,44,7.0,56,49,49,04,0.0,0.0,11.0,2.0,13.0,,,,,,,,,
4,20200308,AZ,5,44,7.0,56,49,49,04,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,20200309,AZ,5,44,7.0,56,49,49,04,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,20200310,AZ,6,51,27.0,84,57,57,04,0.0,0.0,7.0,1.0,8.0,,,,,,,,,
7,20200311,AZ,9,59,32.0,100,68,68,04,0.0,0.0,8.0,3.0,11.0,,,,,,,,,
8,20200312,AZ,9,82,24.0,115,91,91,04,0.0,0.0,23.0,0.0,23.0,,,,,,,,,
9,20200313,AZ,9,94,40.0,143,103,103,04,0.0,0.0,12.0,0.0,12.0,,,,,,,,0.0,
10,20200314,AZ,12,121,50.0,183,133,133,04,0.0,0.0,27.0,3.0,30.0,,,,,,,,0.0,
11,20200315,AZ,12,121,50.0,183,133,133,04,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
12,20200316,AZ,18,125,63.0,206,143,143,04,0.0,0.0,4.0,6.0,10.0,,,,,,,,0.0,
13,20200317,AZ,20,142,66.0,228,162,162,04,0.0,0.0,17.0,2.0,19.0,,,,,,,,0.0,
14,20200318,AZ,28,148,102.0,278,176,176,04,0.0,0.0,6.0,8.0,14.0,,,,,,,,0.0,
15,20200319,AZ,44,175,130.0,349,219,219,04,0.0,0.0,27.0,16.0,43.0,,,,,,,,0.0,
16,20200320,AZ,65,211,101.0,377,276,276,04,0.0,0.0,36.0,21.0,57.0,,,,,,,,0.0,
17,20200321,AZ,104,240,122.0,466,344,344,04,1.0,0.0,29.0,39.0,68.0,,,,,,,,1.0,
18,20200322,AZ,152,282,87.0,521,434,434,04,1.0,0.0,42.0,48.0,90.0,,,,,,,,2.0,
19,20200323,AZ,265,309,6.0,580,574,574,04,0.0,0.0,27.0,113.0,140.0,,,,,,,,2.0,
20,20200324,AZ,357,313,22.0,692,670,670,04,3.0,0.0,4.0,92.0,96.0,,,,,,,,5.0,
21,20200325,AZ,450,323,53.0,826,773,773,04,1.0,0.0,10.0,93.0,103.0,,,,,,,,6.0,
22,20200326,AZ,577,347,33.0,957,924,924,04,2.0,0.0,24.0,127.0,151.0,,,,,,,,8.0,
23,20200327,AZ,736,7455,30.0,8221,8191,8191,04,5.0,0.0,7108.0,159.0,7267.0,,,,,,,,13.0,
24,20200328,AZ,873,7455,21.0,8349,8328,8328,04,2.0,0.0,0.0,137.0,137.0,,,,,,,,15.0,
25,20200329,AZ,919,12953,,13872,13872,13872,04,2.0,0.0,5498.0,46.0,5544.0,,,,,,,,17.0,
26,20200330,AZ,1157,15602,,16759,16759,16759,04,3.0,0.0,2649.0,238.0,2887.0,,,,,,,,20.0,
27,20200331,AZ,1289,18082,,19371,19371,19371,04,4.0,0.0,2480.0,132.0,2612.0,,,,,,,,24.0,
28,20200401,AZ,1413,19645,,21058,21058,21058,04,5.0,0.0,1563.0,124.0,1687.0,,,,,,,,29.0,
29,20200402,AZ,1598,21111,,22709,22709,22709,04,3.0,0.0,1466.0,185.0,1651.0,,,,,,,,32.0,
30,20200403,AZ,1769,22904,,24673,24673,24673,04,9.0,0.0,1793.0,171.0,1964.0,,,,,,,,41.0,
31,20200404,AZ,2019,25141,,27160,27160,27160,04,11.0,0.0,2237.0,250.0,2487.0,,,,,,,,52.0,
32,20200405,AZ,2269,25141,,27410,27410,27410,04,12.0,0.0,0.0,250.0,250.0,,,,,,,,64.0,
33,20200406,AZ,2456,30078,,32534,32534,32534,04,1.0,0.0,4937.0,187.0,5124.0,,,,,,,,65.0,
34,20200407,AZ,2575,30800,,33375,33375,33375,04,8.0,0.0,722.0,119.0,841.0,,,,,,,,73.0,
35,20200408,AZ,2726,31838,,34564,34564,34564,04,7.0,0.0,1038.0,151.0,1189.0,,,,,,,,80.0,
36,20200409,AZ,3018,34160,,37178,37178,37178,04,9.0,0.0,2322.0,292.0,2614.0,,,,,,,,89.0,
37,20200410,AZ,3112,34622,,37734,37734,37734,04,8.0,0.0,462.0,94.0,556.0,,,,,,,,97.0,
38,20200411,AZ,3393,37137,,40530,40530,40530,04,11.0,0.0,2515.0,281.0,2796.0,,,,,,,,108.0,
