,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200305,CO,0,19,21.0,40,19,19,08,,,,,,,,,,,,,,
1,20200306,CO,2,46,30.0,78,48,48,08,0.0,0.0,27.0,2.0,29.0,,,,,,,,,
2,20200307,CO,8,55,69.0,132,63,63,08,0.0,0.0,9.0,6.0,15.0,,,,,,,,,
3,20200308,CO,8,104,,112,112,112,08,0.0,0.0,49.0,0.0,49.0,,,,,,,,,
4,20200309,CO,9,133,,142,142,142,08,0.0,0.0,29.0,1.0,30.0,,,,,,,,,
5,20200310,CO,12,142,1.0,155,154,154,08,0.0,0.0,9.0,3.0,12.0,,,,,,,,,
6,20200311,CO,28,251,,279,279,279,08,0.0,0.0,109.0,16.0,125.0,,,,,,,,,
7,20200312,CO,45,298,,343,343,343,08,0.0,0.0,47.0,17.0,64.0,,,,,,,,,
8,20200313,CO,72,524,,596,596,596,08,0.0,0.0,226.0,27.0,253.0,,,,,,,,,
9,20200314,CO,101,610,,711,711,711,08,1.0,0.0,86.0,29.0,115.0,,,,,,,,1.0,
10,20200315,CO,131,627,,758,758,758,08,0.0,0.0,17.0,30.0,47.0,,,,,,,,1.0,
11,20200316,CO,131,627,,758,758,758,08,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,
12,20200317,CO,160,1056,,1216,1216,1216,08,0.0,0.0,429.0,29.0,458.0,,,,,,,,1.0,
13,20200318,CO,183,1617,,1800,1800,1800,08,1.0,0.0,561.0,23.0,584.0,,,,,,,,2.0,
14,20200319,CO,216,2112,,2328,2328,2328,08,0.0,0.0,495.0,33.0,528.0,,,,,,,,2.0,
15,20200320,CO,277,2675,,2952,2952,2952,08,1.0,0.0,563.0,61.0,624.0,,,,,,,,3.0,
16,20200321,CO,363,3317,,3680,3680,3680,08,1.0,44.0,642.0,86.0,728.0,,44.0,,,,,,4.0,44.0
17,20200322,CO,475,4075,,4550,4550,4550,08,1.0,5.0,758.0,112.0,870.0,,49.0,,,,,,5.0,49.0
18,20200323,CO,591,4845,,5436,5436,5436,08,1.0,9.0,770.0,116.0,886.0,,58.0,,,,,,6.0,58.0
19,20200324,CO,720,5504,,6224,6224,6224,08,1.0,14.0,659.0,129.0,788.0,,72.0,,,,,,7.0,72.0
20,20200325,CO,912,6789,,7701,7701,7701,08,4.0,12.0,1285.0,192.0,1477.0,,84.0,,,,,,11.0,84.0
21,20200326,CO,1086,6978,,8064,8064,8064,08,8.0,64.0,189.0,174.0,363.0,,148.0,,,,,,19.0,148.0
22,20200327,CO,1430,8692,,10122,10122,10122,08,5.0,36.0,1714.0,344.0,2058.0,,184.0,,,,,,24.0,184.0
23,20200328,CO,1734,9942,,11676,11676,11676,08,7.0,55.0,1250.0,304.0,1554.0,,239.0,,,,,,31.0,239.0
24,20200329,CO,2061,11215,,13276,13276,13276,08,13.0,35.0,1273.0,327.0,1600.0,,274.0,,,,,,44.0,274.0
25,20200330,CO,2627,12737,,15364,15364,15364,08,7.0,140.0,1522.0,566.0,2088.0,,414.0,,,,,,51.0,414.0
26,20200331,CO,2627,12737,,15364,15364,15364,08,0.0,0.0,0.0,0.0,0.0,,414.0,,,,,,51.0,414.0
27,20200401,CO,2966,13883,,16849,16849,16849,08,18.0,95.0,1146.0,339.0,1485.0,,509.0,,,,,,69.0,509.0
28,20200402,CO,3342,15303,,18645,18645,18645,08,11.0,111.0,1420.0,376.0,1796.0,,620.0,,,,,,80.0,620.0
29,20200403,CO,3728,16683,,20411,20411,20411,08,17.0,90.0,1380.0,386.0,1766.0,,710.0,,,,,,97.0,710.0
30,20200404,CO,4173,17898,,22071,22071,22071,08,14.0,113.0,1215.0,445.0,1660.0,,823.0,,,,,,111.0,823.0
31,20200405,CO,4565,19335,,23900,23900,23900,08,15.0,52.0,1437.0,392.0,1829.0,,875.0,,,,,,126.0,875.0
32,20200406,CO,4950,20823,,25773,25773,25773,08,14.0,49.0,1488.0,385.0,1873.0,,924.0,,,,,,140.0,924.0
33,20200407,CO,5172,21703,,26875,26875,26875,08,10.0,70.0,880.0,222.0,1102.0,,994.0,,,,,,150.0,994.0
34,20200408,CO,5429,22665,,28094,28094,28094,08,29.0,85.0,962.0,257.0,1219.0,,1079.0,,,,,,179.0,1079.0
35,20200409,CO,5655,23544,,29199,29199,29199,08,14.0,83.0,879.0,226.0,1105.0,,1162.0,,,,,,193.0,1162.0
36,20200410,CO,6510,26143,,32653,32653,32653,08,57.0,150.0,2599.0,855.0,3454.0,,1312.0,,,,,,250.0,1312.0
37,20200411,CO,6510,26143,,32653,32653,32653,08,0.0,0.0,0.0,0.0,0.0,,1312.0,,,,,,250.0,1312.0
