,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200307,CT,0,0,0,0,09,,,,,,,,,,,,,,,,
1,20200308,CT,1,38,30,30,09,0.0,0.0,29.0,1.0,30.0,29.0,8.0,,,,,,,,,
2,20200309,CT,1,47,47,47,09,0.0,0.0,17.0,0.0,17.0,46.0,,,,,,,,,,
3,20200310,CT,2,56,56,56,09,0.0,0.0,8.0,1.0,9.0,54.0,,,,,,,,,,
4,20200311,CT,3,74,74,74,09,0.0,0.0,17.0,1.0,18.0,71.0,,,,,,,,,,
5,20200312,CT,6,95,95,95,09,0.0,0.0,18.0,3.0,21.0,89.0,,,,,,,,,,
6,20200313,CT,6,105,105,105,09,0.0,0.0,10.0,0.0,10.0,99.0,,,,,,,,,,
7,20200314,CT,11,136,136,136,09,0.0,0.0,26.0,5.0,31.0,125.0,,,,,,,,,,
8,20200315,CT,20,145,145,145,09,0.0,0.0,0.0,9.0,9.0,125.0,,,,,,,,,,
9,20200316,CT,26,151,151,151,09,0.0,0.0,0.0,6.0,6.0,125.0,,,,,,,,,,
10,20200317,CT,41,166,166,166,09,0.0,0.0,0.0,15.0,15.0,125.0,,,,,,,,,,
11,20200318,CT,68,193,193,193,09,0.0,0.0,0.0,27.0,27.0,125.0,,,,,,,,,,
12,20200319,CT,96,700,700,700,09,1.0,0.0,479.0,28.0,507.0,604.0,,,,,,,,,1.0,
13,20200320,CT,194,798,798,798,09,2.0,0.0,0.0,98.0,98.0,604.0,,,,,,,,,3.0,
14,20200321,CT,194,2300,2300,2300,09,1.0,0.0,1502.0,0.0,1502.0,2106.0,,,,,,,,,4.0,
15,20200322,CT,223,3100,3100,3100,09,1.0,0.0,771.0,29.0,800.0,2877.0,,43.0,,,,,,,5.0,
16,20200323,CT,415,4500,4500,4500,09,5.0,0.0,1208.0,192.0,1400.0,4085.0,,54.0,,,,,,,10.0,
17,20200324,CT,618,5300,5300,5300,09,2.0,0.0,597.0,203.0,800.0,4682.0,,71.0,,,,,,,12.0,
18,20200325,CT,875,5898,5898,5898,09,7.0,0.0,341.0,257.0,598.0,5023.0,,113.0,,,,,,,19.0,
19,20200326,CT,1012,6637,6637,6637,09,2.0,0.0,602.0,137.0,739.0,5625.0,,125.0,,,,,,,21.0,
20,20200327,CT,1291,8400,8400,8400,09,6.0,0.0,1484.0,279.0,1763.0,7109.0,,173.0,,,,,,,27.0,
21,20200328,CT,1291,8400,8400,8400,09,0.0,0.0,0.0,0.0,0.0,7109.0,,173.0,,,,,,,27.0,
22,20200329,CT,1993,11900,11900,11900,09,7.0,0.0,2798.0,702.0,3500.0,9907.0,,404.0,,,,,,,34.0,
23,20200330,CT,2571,14600,14600,14600,09,2.0,0.0,2122.0,578.0,2700.0,12029.0,,517.0,,,,,,,36.0,
24,20200331,CT,3128,16157,16157,16157,09,33.0,0.0,1000.0,557.0,1557.0,13029.0,,608.0,,,,,,,69.0,
25,20200401,CT,3557,16600,16600,16600,09,16.0,0.0,14.0,429.0,443.0,13043.0,,766.0,,,,,,,85.0,
26,20200402,CT,3824,18300,18300,18300,09,27.0,0.0,1433.0,267.0,1700.0,14476.0,,827.0,,,,,,,112.0,
27,20200403,CT,4914,20015,20015,20015,09,19.0,0.0,625.0,1090.0,1715.0,15101.0,,909.0,,,,,,,131.0,
28,20200404,CT,5276,22029,22029,22029,09,34.0,0.0,1652.0,362.0,2014.0,16753.0,,1033.0,,,,,,,165.0,
29,20200405,CT,5675,23270,23270,23270,09,24.0,0.0,842.0,399.0,1241.0,17595.0,,1142.0,,,,,,,189.0,
30,20200406,CT,6906,26686,26686,26686,09,17.0,0.0,2185.0,1231.0,3416.0,19780.0,,1221.0,,,,,,,206.0,
31,20200407,CT,7781,29036,29036,29036,09,71.0,0.0,1475.0,875.0,2350.0,21255.0,,1308.0,,,,,,,277.0,
32,20200408,CT,7781,29036,29036,29036,09,0.0,0.0,0.0,0.0,0.0,21255.0,,1308.0,,,,,,,277.0,
33,20200409,CT,9784,33502,33502,33502,09,103.0,0.0,2463.0,2003.0,4466.0,23718.0,,1464.0,,,,,,,380.0,
34,20200410,CT,10538,36288,36288,36288,09,68.0,0.0,2032.0,754.0,2786.0,25750.0,,1562.0,,,,,,,448.0,
35,20200411,CT,11510,39831,39831,39831,09,46.0,0.0,2571.0,972.0,3543.0,28321.0,,1593.0,,,,,,,494.0,
