,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200305,DC,0,6,2.0,8,6,6,11,,,,,,,,,,,,,,
1,20200306,DC,0,8,1.0,9,8,8,11,0.0,0.0,2.0,0.0,2.0,,,,,,,,,
2,20200307,DC,0,8,1.0,9,8,8,11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,20200308,DC,1,10,0.0,11,11,11,11,0.0,0.0,2.0,1.0,3.0,,,,,,,,,
4,20200309,DC,1,14,3.0,18,15,15,11,0.0,0.0,4.0,0.0,4.0,,,,,,,,,
5,20200310,DC,5,17,2.0,24,22,22,11,0.0,0.0,3.0,4.0,7.0,,,,,,,,,
6,20200311,DC,5,20,15.0,40,25,25,11,0.0,0.0,3.0,0.0,3.0,,,,,,,,,
7,20200312,DC,10,20,,30,30,30,11,0.0,0.0,0.0,5.0,5.0,,,,,,,,,
8,20200313,DC,10,20,,30,30,30,11,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,20200314,DC,10,49,10.0,69,59,59,11,0.0,0.0,29.0,0.0,29.0,,,,,,,,,
10,20200315,DC,16,79,20.0,115,95,95,11,0.0,0.0,30.0,6.0,36.0,,,,,,,,,
11,20200316,DC,17,96,7.0,120,113,113,11,0.0,0.0,17.0,1.0,18.0,,,,,,,,,
12,20200317,DC,22,104,0.0,126,126,126,11,0.0,0.0,8.0,5.0,13.0,,,,,,,,,
13,20200318,DC,31,138,1.0,170,169,169,11,0.0,0.0,34.0,9.0,43.0,,,,,,,,,
14,20200319,DC,39,153,11.0,203,192,192,11,0.0,0.0,15.0,8.0,23.0,,,,,,,,0.0,
15,20200320,DC,71,501,1.0,573,572,572,11,1.0,0.0,348.0,32.0,380.0,,,,,,,,1.0,
16,20200321,DC,77,506,0.0,583,583,583,11,0.0,0.0,5.0,6.0,11.0,,,,,,,,1.0,
17,20200322,DC,98,957,,1055,1055,1055,11,0.0,0.0,451.0,21.0,472.0,,,,,,,,1.0,
18,20200323,DC,116,1113,,1229,1229,1229,11,1.0,0.0,156.0,18.0,174.0,,,,,,,,2.0,
19,20200324,DC,137,1195,2.0,1334,1332,1332,11,0.0,0.0,82.0,21.0,103.0,,,,,,,,2.0,
20,20200325,DC,183,1423,3.0,1609,1606,1606,11,0.0,0.0,228.0,46.0,274.0,,,,,,,,2.0,
21,20200326,DC,231,1626,1.0,1858,1857,1857,11,1.0,0.0,203.0,48.0,251.0,,,,,,,21.0,3.0,
22,20200327,DC,267,1897,2.0,2166,2164,2164,11,0.0,0.0,271.0,36.0,307.0,,,,,,,49.0,3.0,
23,20200328,DC,304,2211,1.0,2516,2515,2515,11,1.0,0.0,314.0,37.0,351.0,,,,,,,51.0,4.0,
24,20200329,DC,342,2469,1.0,2812,2811,2811,11,1.0,0.0,258.0,38.0,296.0,,,,,,,66.0,5.0,
25,20200330,DC,401,2682,2.0,3085,3083,3083,11,4.0,0.0,213.0,59.0,272.0,,,,,,,106.0,9.0,
26,20200331,DC,495,3262,2.0,3759,3757,3757,11,0.0,0.0,580.0,94.0,674.0,,,,,,,121.0,9.0,
27,20200401,DC,586,3262,2.0,3850,3848,3848,11,2.0,0.0,0.0,91.0,91.0,,,,,,,142.0,11.0,
28,20200402,DC,653,4417,,5070,5070,5070,11,1.0,0.0,1155.0,67.0,1222.0,,,,,,,173.0,12.0,
29,20200403,DC,757,4827,,5584,5584,5584,11,3.0,0.0,410.0,104.0,514.0,,,,,,,206.0,15.0,
30,20200404,DC,902,5536,,6438,6438,6438,11,6.0,0.0,709.0,145.0,854.0,,,,,,,235.0,21.0,
31,20200405,DC,998,5836,,6834,6834,6834,11,1.0,0.0,300.0,96.0,396.0,,,,,,,258.0,22.0,
32,20200406,DC,1097,6356,,7453,7453,7453,11,2.0,0.0,520.0,99.0,619.0,,,,,,,287.0,24.0,
33,20200407,DC,1211,6612,,7823,7823,7823,11,-2.0,0.0,256.0,114.0,370.0,,,,,,,318.0,22.0,
34,20200408,DC,1440,6843,,8283,8283,8283,11,5.0,0.0,231.0,229.0,460.0,,,,,,,361.0,27.0,
35,20200409,DC,1523,7201,,8724,8724,8724,11,5.0,0.0,358.0,83.0,441.0,,,,,,,393.0,32.0,
36,20200410,DC,1660,7695,,9355,9355,9355,11,6.0,0.0,494.0,137.0,631.0,,,,,,,426.0,38.0,
37,20200411,DC,1778,8261,,10039,10039,10039,11,9.0,0.0,566.0,118.0,684.0,,,,,,,447.0,47.0,
