,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200306,DE,0,10,0.0,10,10,10,10,,,,,,,,,,,,,,
1,20200307,DE,0,10,0.0,10,10,10,10,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,20200308,DE,0,10,0.0,10,10,10,10,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,20200309,DE,0,15,3.0,18,15,15,10,0.0,0.0,5.0,0.0,5.0,,,,,,,,,
4,20200310,DE,0,17,3.0,20,17,17,10,0.0,0.0,2.0,0.0,2.0,,,,,,,,,
5,20200311,DE,1,17,2.0,20,18,18,10,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
6,20200312,DE,4,23,14.0,41,27,27,10,0.0,0.0,6.0,3.0,9.0,,,,,,,,,
7,20200313,DE,4,30,10.0,44,34,34,10,0.0,0.0,7.0,0.0,7.0,,,,,,,,,
8,20200314,DE,6,36,32.0,74,42,42,10,0.0,0.0,6.0,2.0,8.0,,,,,,,,,
9,20200315,DE,6,36,32.0,74,42,42,10,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
10,20200316,DE,8,36,32.0,76,44,44,10,0.0,0.0,0.0,2.0,2.0,,,,,,,,,
11,20200317,DE,16,36,,52,52,52,10,0.0,0.0,0.0,8.0,8.0,,,,,,,,,
12,20200318,DE,25,36,,61,61,61,10,0.0,0.0,0.0,9.0,9.0,,,,,,,,,
13,20200319,DE,30,36,,66,66,66,10,0.0,0.0,0.0,5.0,5.0,,,,,,,,0.0,
14,20200320,DE,38,36,,74,74,74,10,0.0,0.0,0.0,8.0,8.0,,,,,,,,0.0,
15,20200321,DE,45,36,,81,81,81,10,0.0,0.0,0.0,7.0,7.0,,,,,,,,0.0,
16,20200322,DE,56,36,,92,92,92,10,0.0,0.0,0.0,11.0,11.0,,,,,,,,0.0,
17,20200323,DE,68,36,,104,104,104,10,0.0,0.0,0.0,12.0,12.0,,,,,,,,0.0,
18,20200324,DE,91,36,,127,127,127,10,0.0,0.0,0.0,23.0,23.0,,,,,,,,0.0,
19,20200325,DE,115,36,,151,151,151,10,0.0,0.0,0.0,24.0,24.0,11.0,,,,,,,0.0,
20,20200326,DE,130,36,,166,166,166,10,1.0,0.0,0.0,15.0,15.0,13.0,,,,,,4.0,1.0,
21,20200327,DE,163,36,,199,199,199,10,1.0,0.0,0.0,33.0,33.0,15.0,,,,,,9.0,2.0,
22,20200328,DE,214,36,,250,250,250,10,1.0,0.0,0.0,51.0,51.0,31.0,,,,,,9.0,3.0,
23,20200329,DE,232,36,,268,268,268,10,3.0,0.0,0.0,18.0,18.0,33.0,,,,,,9.0,6.0,
24,20200330,DE,264,2216,,2480,2480,2480,10,0.0,0.0,2180.0,32.0,2212.0,45.0,,,,,,9.0,6.0,
25,20200331,DE,319,3696,,4015,4015,4015,10,4.0,0.0,1480.0,55.0,1535.0,57.0,,,,,,22.0,10.0,
26,20200401,DE,368,4015,,4383,4383,4383,10,1.0,0.0,319.0,49.0,368.0,51.0,,,,,,49.0,11.0,
27,20200402,DE,393,4566,,4959,4959,4959,10,1.0,0.0,551.0,25.0,576.0,56.0,,,,,,49.0,12.0,
28,20200403,DE,450,4995,,5445,5445,5445,10,2.0,0.0,429.0,57.0,486.0,63.0,,,,,,71.0,14.0,
29,20200404,DE,593,5874,,6467,6467,6467,10,0.0,0.0,879.0,143.0,1022.0,95.0,,,,,,71.0,14.0,
30,20200405,DE,673,6321,,6994,6994,6994,10,0.0,0.0,447.0,80.0,527.0,101.0,,,,,,71.0,14.0,
31,20200406,DE,673,6321,,6994,6994,6994,10,0.0,0.0,0.0,0.0,0.0,101.0,,,,,,71.0,14.0,
32,20200407,DE,928,7628,,8556,8556,8556,10,2.0,0.0,1307.0,255.0,1562.0,147.0,,,,,,144.0,16.0,
33,20200408,DE,928,7628,,8556,8556,8556,10,0.0,0.0,0.0,0.0,0.0,147.0,,,,,,144.0,16.0,
34,20200409,DE,1207,8683,,9890,9890,9890,10,7.0,0.0,1055.0,279.0,1334.0,201.0,,,,,,173.0,23.0,
35,20200410,DE,1326,10415,,11741,11741,11741,10,0.0,0.0,1732.0,119.0,1851.0,181.0,,,,,,177.0,23.0,
36,20200411,DE,1479,9624,,11103,11103,11103,10,10.0,0.0,-791.0,153.0,-638.0,190.0,,,,,,191.0,33.0,
