,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,GA,2,2,2,2,13,,,,,,,,,,,,,,,,
1,20200305,GA,2,2,2,2,13,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200306,GA,2,2,2,2,13,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,20200307,GA,6,6,6,6,13,0.0,0.0,0.0,4.0,4.0,,,,,,,,,,,
4,20200308,GA,7,7,7,7,13,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
5,20200309,GA,12,12,12,12,13,0.0,0.0,0.0,5.0,5.0,,,,,,,,,,,
6,20200310,GA,17,17,17,17,13,0.0,0.0,0.0,5.0,5.0,,,,,,,,,,,
7,20200311,GA,22,22,22,22,13,0.0,0.0,0.0,5.0,5.0,,,,,,,,,,,
8,20200312,GA,31,31,31,31,13,0.0,0.0,0.0,9.0,9.0,,,,,,,,,,,
9,20200313,GA,42,42,42,42,13,1.0,0.0,0.0,11.0,11.0,,,,,,,,,,1.0,
10,20200314,GA,66,66,66,66,13,0.0,0.0,0.0,24.0,24.0,,,,,,,,,,1.0,
11,20200315,GA,99,99,99,99,13,0.0,0.0,0.0,33.0,33.0,,,,,,,,,,1.0,
12,20200316,GA,121,121,121,121,13,0.0,0.0,0.0,22.0,22.0,,,,,,,,,,1.0,
13,20200317,GA,146,146,146,146,13,0.0,0.0,0.0,25.0,25.0,,,,,,,,,,1.0,
14,20200318,GA,197,1508,1508,1508,13,0.0,0.0,1311.0,51.0,1362.0,1311.0,,,,,,,,,1.0,
15,20200319,GA,287,1831,1831,1831,13,9.0,0.0,233.0,90.0,323.0,1544.0,,,,,,,,,10.0,
16,20200320,GA,420,2386,2386,2386,13,3.0,0.0,422.0,133.0,555.0,1966.0,,,,,,,,,13.0,
17,20200321,GA,507,3064,3064,3064,13,1.0,0.0,591.0,87.0,678.0,2557.0,,,,,,,,,14.0,
18,20200322,GA,600,4020,4020,4020,13,9.0,0.0,863.0,93.0,956.0,3420.0,,,,,,,,,23.0,
19,20200323,GA,772,5069,5069,5069,13,2.0,0.0,877.0,172.0,1049.0,4297.0,,,,,,,,,25.0,
20,20200324,GA,1026,5484,5484,5484,13,7.0,0.0,161.0,254.0,415.0,4458.0,,,,,,,,,32.0,
21,20200325,GA,1247,6179,6179,6179,13,8.0,394.0,474.0,221.0,695.0,4932.0,,,394.0,,,,,,40.0,394.0
22,20200326,GA,1525,8926,8926,8926,13,8.0,79.0,2469.0,278.0,2747.0,7401.0,,,473.0,,,,,,48.0,473.0
23,20200327,GA,2001,9865,9865,9865,13,16.0,93.0,463.0,476.0,939.0,7864.0,,,566.0,,,,,,64.0,566.0
24,20200328,GA,2366,11051,11051,11051,13,5.0,51.0,821.0,365.0,1186.0,8685.0,,,617.0,,,,,,69.0,617.0
25,20200329,GA,2651,12564,12564,12564,13,11.0,49.0,1228.0,285.0,1513.0,9913.0,,,666.0,,,,,,80.0,666.0
26,20200330,GA,2809,12724,12724,12724,13,7.0,41.0,2.0,158.0,160.0,9915.0,,,707.0,,,,,,87.0,707.0
27,20200331,GA,3929,16181,16181,16181,13,24.0,126.0,2337.0,1120.0,3457.0,12252.0,,,833.0,,,,,,111.0,833.0
28,20200401,GA,4638,20326,20326,20326,13,28.0,119.0,3436.0,709.0,4145.0,15688.0,,,952.0,,,,,,139.0,952.0
29,20200402,GA,5348,22957,22957,22957,13,24.0,104.0,1921.0,710.0,2631.0,17609.0,,,1056.0,,,,,,163.0,1056.0
30,20200403,GA,5831,25265,25265,25265,13,21.0,102.0,1825.0,483.0,2308.0,19434.0,,,1158.0,,,,,,184.0,1158.0
31,20200404,GA,6160,26294,26294,26294,13,17.0,81.0,700.0,329.0,1029.0,20134.0,,,1239.0,,,,,,201.0,1239.0
32,20200405,GA,6647,27832,27832,27832,13,10.0,44.0,1051.0,487.0,1538.0,21185.0,,,1283.0,,,,,,211.0,1283.0
33,20200406,GA,7314,31274,31274,31274,13,18.0,49.0,2775.0,667.0,3442.0,23960.0,,,1332.0,,,,,,229.0,1332.0
34,20200407,GA,8818,33713,33713,33713,13,100.0,442.0,935.0,1504.0,2439.0,24895.0,,,1774.0,,,,,,329.0,1774.0
35,20200408,GA,9901,38787,38787,38787,13,33.0,219.0,3991.0,1083.0,5074.0,28886.0,,,1993.0,,,,,,362.0,1993.0
36,20200409,GA,10566,41085,41085,41085,13,17.0,166.0,1633.0,665.0,2298.0,30519.0,,,2159.0,,,,,,379.0,2159.0
37,20200410,GA,11483,46147,46147,46147,13,37.0,192.0,4145.0,917.0,5062.0,34664.0,,,2351.0,,,,,,416.0,2351.0
38,20200411,GA,12159,51715,51715,51715,13,12.0,128.0,4892.0,676.0,5568.0,39556.0,,,2479.0,,,,,,428.0,2479.0
