,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200316,GU,3,23,26,26,26,66,,,,,,,,,,,,,,,
1,20200317,GU,5,41,46,46,46,66,0.0,0.0,18.0,2.0,20.0,,,,,,,,,,
2,20200318,GU,8,57,65,65,65,66,0.0,0.0,16.0,3.0,19.0,,,,,,,,,,
3,20200319,GU,12,69,81,81,81,66,0.0,0.0,12.0,4.0,16.0,,,,,,,,,,
4,20200320,GU,14,86,100,100,100,66,0.0,0.0,17.0,2.0,19.0,,,,,,,,,,
5,20200321,GU,15,108,123,123,123,66,0.0,0.0,22.0,1.0,23.0,,,,,,,,,,
6,20200322,GU,27,126,153,153,153,66,1.0,0.0,18.0,12.0,30.0,,,,,,,,,1.0,
7,20200323,GU,29,161,190,190,190,66,0.0,0.0,35.0,2.0,37.0,,,,,,,,,1.0,
8,20200324,GU,32,201,233,233,233,66,0.0,0.0,40.0,3.0,43.0,,5.0,,,,,,,1.0,
9,20200325,GU,37,233,270,270,270,66,0.0,0.0,32.0,5.0,37.0,,10.0,,,,,,,1.0,
10,20200326,GU,45,263,308,308,308,66,0.0,0.0,30.0,8.0,38.0,,11.0,,,,,,,1.0,
11,20200327,GU,51,299,350,350,350,66,0.0,0.0,36.0,6.0,42.0,,13.0,,,,,,,1.0,
12,20200328,GU,55,299,354,354,354,66,0.0,0.0,0.0,4.0,4.0,,15.0,,,,,,7.0,1.0,
13,20200329,GU,56,334,390,390,390,66,0.0,0.0,35.0,1.0,36.0,,15.0,,,,,,7.0,1.0,
14,20200330,GU,58,352,410,410,410,66,0.0,0.0,18.0,2.0,20.0,,19.0,,2.0,,,,7.0,1.0,
15,20200331,GU,69,371,440,440,440,66,1.0,0.0,19.0,11.0,30.0,,19.0,,2.0,,,,7.0,2.0,
16,20200401,GU,77,406,483,483,483,66,1.0,0.0,35.0,8.0,43.0,,19.0,,2.0,,,,9.0,3.0,
17,20200402,GU,82,442,524,524,524,66,0.0,0.0,36.0,5.0,41.0,,19.0,,2.0,,,,12.0,3.0,
18,20200403,GU,84,459,543,543,543,66,1.0,0.0,17.0,2.0,19.0,,19.0,,2.0,,,,14.0,4.0,
19,20200404,GU,93,472,565,565,565,66,0.0,0.0,13.0,9.0,22.0,,20.0,,2.0,,,,20.0,4.0,
20,20200405,GU,112,493,605,605,605,66,0.0,0.0,21.0,19.0,40.0,,21.0,,2.0,,,,23.0,4.0,
21,20200406,GU,113,505,618,618,618,66,0.0,0.0,12.0,1.0,13.0,,21.0,,2.0,,,,25.0,4.0,
22,20200407,GU,121,529,650,650,650,66,0.0,0.0,24.0,8.0,32.0,,21.0,,2.0,,2.0,,27.0,4.0,
23,20200408,GU,125,562,687,687,687,66,0.0,0.0,33.0,4.0,37.0,,21.0,,2.0,,2.0,,31.0,4.0,
24,20200409,GU,128,593,721,721,721,66,0.0,0.0,31.0,3.0,34.0,,14.0,,2.0,,2.0,,33.0,4.0,
25,20200410,GU,130,662,792,792,792,66,0.0,0.0,69.0,2.0,71.0,,14.0,,2.0,,2.0,,41.0,4.0,
26,20200411,GU,133,693,826,826,826,66,1.0,0.0,31.0,3.0,34.0,,14.0,,2.0,,2.0,,58.0,5.0,
