,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200307,ID,0,27,27,27,27,16,,,,,,,,,,,,,,,
1,20200308,ID,0,27,27,27,27,16,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2,20200309,ID,0,41,41,41,41,16,0.0,0.0,14.0,0.0,14.0,,,,,,,,,,
3,20200310,ID,0,41,41,41,41,16,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
4,20200311,ID,0,67,67,67,67,16,0.0,0.0,26.0,0.0,26.0,,,,,,,,,,
5,20200312,ID,0,93,93,93,93,16,0.0,0.0,26.0,0.0,26.0,,,,,,,,,,
6,20200313,ID,0,131,131,131,131,16,0.0,0.0,38.0,0.0,38.0,,,,,,,,,,
7,20200314,ID,2,174,176,176,176,16,0.0,0.0,43.0,2.0,45.0,,,,,,,,,,
8,20200315,ID,5,174,179,179,179,16,0.0,0.0,0.0,3.0,3.0,,,,,,,,,,
9,20200316,ID,5,265,270,270,270,16,0.0,0.0,91.0,0.0,91.0,,,,,,,,,,
10,20200317,ID,7,346,353,353,353,16,0.0,0.0,81.0,2.0,83.0,,,,,,,,,,
11,20200318,ID,9,459,468,468,468,16,0.0,0.0,113.0,2.0,115.0,,,,,,,,,,
12,20200319,ID,11,459,470,470,470,16,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,
13,20200320,ID,23,590,613,613,613,16,0.0,0.0,131.0,12.0,143.0,,,,,,,,,,
14,20200321,ID,31,880,911,911,911,16,0.0,0.0,290.0,8.0,298.0,,,,,,,,,,
15,20200322,ID,42,1175,1217,1217,1217,16,0.0,0.0,295.0,11.0,306.0,,,,,,,,,0.0,
16,20200323,ID,47,1309,1356,1356,1356,16,0.0,0.0,134.0,5.0,139.0,,,,,,,,,0.0,
17,20200324,ID,50,1887,1937,1937,1937,16,0.0,0.0,578.0,3.0,581.0,,,,,,,,,0.0,
18,20200325,ID,73,1887,1960,1960,1960,16,0.0,0.0,0.0,23.0,23.0,,,,,,,,,0.0,
19,20200326,ID,123,2065,2188,2188,2188,16,0.0,0.0,178.0,50.0,228.0,,,,,,,,,0.0,
20,20200327,ID,189,2668,2857,2857,2857,16,3.0,0.0,603.0,66.0,669.0,,,,,,,,,3.0,
21,20200328,ID,230,3342,3572,3572,3572,16,1.0,25.0,674.0,41.0,715.0,,,25.0,,,,,,4.0,25.0
22,20200329,ID,261,4021,4282,4282,4282,16,1.0,11.0,679.0,31.0,710.0,,,36.0,,,,,,5.0,36.0
23,20200330,ID,310,4396,4706,4706,4706,16,1.0,3.0,375.0,49.0,424.0,,,39.0,,,,,,6.0,39.0
24,20200331,ID,415,5297,5712,5712,5712,16,1.0,6.0,901.0,105.0,1006.0,,,45.0,,6.0,,,,7.0,45.0
25,20200401,ID,525,6076,6601,6601,6601,16,2.0,1.0,779.0,110.0,889.0,,,46.0,,7.0,,,,9.0,46.0
26,20200402,ID,669,6613,7282,7282,7282,16,0.0,3.0,537.0,144.0,681.0,,,49.0,,7.0,,,,9.0,49.0
27,20200403,ID,891,7054,7945,7945,7945,16,0.0,7.0,441.0,222.0,663.0,,,56.0,,7.0,,,,9.0,56.0
28,20200404,ID,1013,7857,8870,8870,8870,16,1.0,6.0,803.0,122.0,925.0,,,62.0,,8.0,,,,10.0,62.0
29,20200405,ID,1077,9184,10261,10261,10261,16,0.0,4.0,1327.0,64.0,1391.0,,,66.0,,11.0,,,,10.0,66.0
30,20200406,ID,1101,9894,10995,10995,10995,16,0.0,11.0,710.0,24.0,734.0,,,77.0,,16.0,,,,10.0,77.0
31,20200407,ID,1170,10076,11246,11246,11246,16,3.0,6.0,182.0,69.0,251.0,,,83.0,,21.0,,,,13.0,83.0
32,20200408,ID,1210,10688,11898,11898,11898,16,2.0,10.0,612.0,40.0,652.0,,,93.0,,24.0,,,,15.0,93.0
33,20200409,ID,1232,11299,12531,12531,12531,16,3.0,20.0,611.0,22.0,633.0,,,113.0,,29.0,,,,18.0,113.0
34,20200410,ID,1353,11741,13094,13094,13094,16,6.0,14.0,442.0,121.0,563.0,,,127.0,,33.0,,,,24.0,127.0
35,20200411,ID,1396,12368,13764,13764,13764,16,1.0,1.0,627.0,43.0,670.0,,,128.0,,35.0,,,,25.0,128.0
