,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,IL,4,124,27.0,155,128,128,17,,,,,,,,,,,,,,
1,20200305,IL,5,165,27.0,197,170,170,17,0.0,0.0,41.0,1.0,42.0,,,,,,,,,
2,20200306,IL,5,180,35.0,220,185,185,17,0.0,0.0,15.0,0.0,15.0,,,,,,,,,
3,20200307,IL,6,191,44.0,241,197,197,17,0.0,0.0,11.0,1.0,12.0,,,,,,,,,
4,20200308,IL,6,191,44.0,241,197,197,17,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,20200309,IL,7,191,44.0,242,198,198,17,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
6,20200310,IL,19,244,63.0,326,263,263,17,0.0,0.0,53.0,12.0,65.0,,,,,,,,,
7,20200311,IL,19,244,63.0,326,263,263,17,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,20200312,IL,25,266,76.0,367,291,291,17,0.0,0.0,22.0,6.0,28.0,,,,,,,,,
9,20200313,IL,32,294,92.0,418,326,326,17,0.0,0.0,28.0,7.0,35.0,,,,,,,,,
10,20200314,IL,46,316,82.0,444,362,362,17,0.0,0.0,22.0,14.0,36.0,,,,,,,,,
11,20200315,IL,64,449,195.0,708,513,513,17,0.0,0.0,133.0,18.0,151.0,,,,,,,,,
12,20200316,IL,93,932,,1025,1025,1025,17,0.0,0.0,483.0,29.0,512.0,,,,,,,,,
13,20200317,IL,159,1340,,1499,1499,1499,17,1.0,0.0,408.0,66.0,474.0,,,,,,,,1.0,
14,20200318,IL,288,1763,,2051,2051,2051,17,0.0,0.0,423.0,129.0,552.0,,,,,,,,1.0,
15,20200319,IL,422,2725,,3147,3147,3147,17,3.0,0.0,962.0,134.0,1096.0,,,,,,,,4.0,
16,20200320,IL,585,3696,,4281,4281,4281,17,1.0,0.0,971.0,163.0,1134.0,,,,,,,,5.0,
17,20200321,IL,753,5488,,6241,6241,6241,17,1.0,0.0,1792.0,168.0,1960.0,,,,,,,,6.0,
18,20200322,IL,1049,7271,,8320,8320,8320,17,3.0,0.0,1783.0,296.0,2079.0,,,,,,,,9.0,
19,20200323,IL,1273,8583,,9856,9856,9856,17,3.0,0.0,1312.0,224.0,1536.0,,,,,,,,12.0,
20,20200324,IL,1535,9934,,11469,11469,11469,17,4.0,0.0,1351.0,262.0,1613.0,,,,,,,,16.0,
21,20200325,IL,1865,12344,,14209,14209,14209,17,3.0,0.0,2410.0,330.0,2740.0,,,,,,,,19.0,
22,20200326,IL,2538,14093,,16631,16631,16631,17,7.0,0.0,1749.0,673.0,2422.0,,,,,,,,26.0,
23,20200327,IL,3026,18516,,21542,21542,21542,17,8.0,0.0,4423.0,488.0,4911.0,,,,,,,,34.0,
24,20200328,IL,3491,22000,,25491,25491,25491,17,13.0,0.0,3484.0,465.0,3949.0,,,,,,,,47.0,
25,20200329,IL,4596,23166,,27762,27762,27762,17,18.0,0.0,1166.0,1105.0,2271.0,,,,,,,,65.0,
26,20200330,IL,5057,25389,,30446,30446,30446,17,8.0,0.0,2223.0,461.0,2684.0,,,,,,,,73.0,
27,20200331,IL,5994,29231,,35225,35225,35225,17,26.0,0.0,3842.0,937.0,4779.0,,,,,,,,99.0,
28,20200401,IL,6980,33404,,40384,40384,40384,17,42.0,0.0,4173.0,986.0,5159.0,,,,,,,,141.0,
29,20200402,IL,7695,35961,,43656,43656,43656,17,16.0,0.0,2557.0,715.0,3272.0,,,,,,,,157.0,
30,20200403,IL,8904,39144,,48048,48048,48048,17,53.0,0.0,3183.0,1209.0,4392.0,,,,,,,,210.0,
31,20200404,IL,10357,43224,,53581,53581,53581,17,33.0,0.0,4080.0,1453.0,5533.0,,,,,,,,243.0,
32,20200405,IL,11256,47727,,58983,58983,58983,17,31.0,0.0,4503.0,899.0,5402.0,,,,,,,,274.0,
33,20200406,IL,12262,50680,,62942,62942,62942,17,33.0,0.0,2953.0,1006.0,3959.0,,,,,,,,307.0,
34,20200407,IL,13549,55183,,68732,68732,68732,17,73.0,0.0,4503.0,1287.0,5790.0,3680.0,,1166.0,,821.0,,,380.0,
35,20200408,IL,15078,59988,,75066,75066,75066,17,82.0,0.0,4805.0,1529.0,6334.0,3680.0,,1166.0,,821.0,,,462.0,
36,20200409,IL,16422,64435,,80857,80857,80857,17,66.0,0.0,4447.0,1344.0,5791.0,3680.0,,1166.0,,821.0,,,528.0,
37,20200410,IL,17887,69640,,87527,87527,87527,17,68.0,0.0,5205.0,1465.0,6670.0,3680.0,,1166.0,,821.0,,,596.0,
38,20200411,IL,19180,72969,,92149,92149,92149,17,81.0,0.0,3329.0,1293.0,4622.0,3680.0,,1166.0,,821.0,,,677.0,
