,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200306,IN,1,1,1,1,18,,,,,,,,,,,,,,,,
1,20200307,IN,1,1,1,1,18,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200308,IN,2,2,2,2,18,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
3,20200309,IN,2,2,2,2,18,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,20200310,IN,6,36,36,36,18,0.0,0.0,30.0,4.0,34.0,30.0,,,,,,,,,,
5,20200311,IN,10,43,43,43,18,0.0,0.0,3.0,4.0,7.0,33.0,,,,,,,,,,
6,20200312,IN,12,64,64,64,18,0.0,0.0,19.0,2.0,21.0,52.0,,,,,,,,,,
7,20200313,IN,12,73,73,73,18,0.0,0.0,9.0,0.0,9.0,61.0,,,,,,,,,,
8,20200314,IN,15,89,89,89,18,0.0,0.0,13.0,3.0,16.0,74.0,,,,,,,,,0.0,
9,20200315,IN,19,121,121,121,18,0.0,0.0,28.0,4.0,32.0,102.0,,,,,,,,,0.0,
10,20200316,IN,24,139,139,139,18,1.0,0.0,13.0,5.0,18.0,115.0,,,,,,,,,1.0,
11,20200317,IN,30,159,159,159,18,1.0,0.0,14.0,6.0,20.0,129.0,,,,,,,,,2.0,
12,20200318,IN,39,193,193,193,18,0.0,0.0,25.0,9.0,34.0,154.0,,,,,,,,,2.0,
13,20200319,IN,56,380,380,380,18,0.0,0.0,170.0,17.0,187.0,324.0,,,,,,,,,2.0,
14,20200320,IN,79,554,554,554,18,0.0,0.0,151.0,23.0,174.0,475.0,,,,,,,,,2.0,
15,20200321,IN,126,833,833,833,18,2.0,1.0,232.0,47.0,279.0,707.0,,,1.0,,,,,,4.0,1.0
16,20200322,IN,201,1494,1494,1494,18,2.0,0.0,586.0,75.0,661.0,1293.0,,,1.0,,,,,,6.0,1.0
17,20200323,IN,259,1960,1960,1960,18,1.0,0.0,408.0,58.0,466.0,1701.0,,,1.0,,,,,,7.0,1.0
18,20200324,IN,365,2931,2931,2931,18,5.0,0.0,865.0,106.0,971.0,2566.0,,,1.0,,,,,,12.0,1.0
19,20200325,IN,477,3356,3356,3356,18,2.0,0.0,313.0,112.0,425.0,2879.0,,,1.0,,,,,,14.0,1.0
20,20200326,IN,645,4651,4651,4651,18,3.0,0.0,1127.0,168.0,1295.0,4006.0,,,,,,,,,17.0,
21,20200327,IN,981,6936,6936,6936,18,7.0,0.0,1949.0,336.0,2285.0,5955.0,,,,,,,,,24.0,
22,20200328,IN,1232,8407,8407,8407,18,7.0,0.0,1220.0,251.0,1471.0,7175.0,,,,,,,,,31.0,
23,20200329,IN,1514,9830,9830,9830,18,1.0,0.0,1141.0,282.0,1423.0,8316.0,,,,,,,,,32.0,
24,20200330,IN,1786,11658,11658,11658,18,3.0,0.0,1556.0,272.0,1828.0,9872.0,,,,,,,,,35.0,
25,20200331,IN,2159,13373,13373,13373,18,14.0,0.0,1342.0,373.0,1715.0,11214.0,,,,,,,,,49.0,
26,20200401,IN,2565,14375,14375,14375,18,16.0,0.0,596.0,406.0,1002.0,11810.0,,,,,,,,,65.0,
27,20200402,IN,3039,16285,16285,16285,18,13.0,0.0,1436.0,474.0,1910.0,13246.0,,,,,,,,,78.0,
28,20200403,IN,3437,17835,17835,17835,18,24.0,0.0,1152.0,398.0,1550.0,14398.0,,,,,,,,,102.0,
29,20200404,IN,3953,19800,19800,19800,18,14.0,0.0,1449.0,516.0,1965.0,15847.0,,,,,,,,,116.0,
30,20200405,IN,4411,22652,22652,22652,18,11.0,0.0,2394.0,458.0,2852.0,18241.0,,,,,,,,,127.0,
31,20200406,IN,4944,26191,26191,26191,18,12.0,0.0,3006.0,533.0,3539.0,21247.0,,,,924.0,,507.0,,,139.0,
32,20200407,IN,5507,28764,28764,28764,18,34.0,0.0,2010.0,563.0,2573.0,23257.0,,,,924.0,,507.0,,,173.0,
33,20200408,IN,5943,30869,30869,30869,18,30.0,0.0,1669.0,436.0,2105.0,24926.0,,,,924.0,,507.0,,,203.0,
34,20200409,IN,6351,32133,32133,32133,18,42.0,0.0,856.0,408.0,1264.0,25782.0,,,,924.0,,507.0,,,245.0,
35,20200410,IN,6907,35040,35040,35040,18,55.0,0.0,2351.0,556.0,2907.0,28133.0,,,,820.0,,497.0,,,300.0,
36,20200411,IN,7435,39215,39215,39215,18,30.0,0.0,3647.0,528.0,4175.0,31780.0,,,,820.0,,497.0,,,330.0,
