,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200306,KS,0,4,0.0,4,4,4,20,,,,,,,,,,,,,,
1,20200307,KS,0,11,2.0,13,11,11,20,0.0,0.0,7.0,0.0,7.0,,,,,,,,,
2,20200308,KS,1,11,0.0,12,12,12,20,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
3,20200309,KS,1,11,0.0,12,12,12,20,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,20200310,KS,1,17,21.0,39,18,18,20,0.0,0.0,6.0,0.0,6.0,,,,,,,,,
5,20200311,KS,1,41,,42,42,42,20,0.0,0.0,24.0,0.0,24.0,,,,,,,,,
6,20200312,KS,4,41,,45,45,45,20,0.0,0.0,0.0,3.0,3.0,,,,,,,,,
7,20200313,KS,6,93,,99,99,99,20,0.0,0.0,52.0,2.0,54.0,,,,,,,,,
8,20200314,KS,6,93,,99,99,99,20,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,
9,20200315,KS,8,135,,143,143,143,20,0.0,0.0,42.0,2.0,44.0,,,,,,,,1.0,
10,20200316,KS,11,166,,177,177,177,20,0.0,0.0,31.0,3.0,34.0,,,,,,,,1.0,
11,20200317,KS,15,382,,397,397,397,20,0.0,0.0,216.0,4.0,220.0,,,,,,,,1.0,
12,20200318,KS,16,417,,433,433,433,20,0.0,0.0,35.0,1.0,36.0,,,,,,,,1.0,
13,20200319,KS,34,417,,451,451,451,20,0.0,0.0,0.0,18.0,18.0,,,,,,,,1.0,
14,20200320,KS,44,417,,461,461,461,20,0.0,0.0,0.0,10.0,10.0,,,,,,,,1.0,
15,20200321,KS,55,417,,472,472,472,20,1.0,0.0,0.0,11.0,11.0,,,,,,,,2.0,
16,20200322,KS,64,417,,481,481,481,20,0.0,0.0,0.0,9.0,9.0,,,,,,,,2.0,
17,20200323,KS,82,417,,499,499,499,20,0.0,0.0,0.0,18.0,18.0,,,,,,,,2.0,
18,20200324,KS,98,2086,,2184,2184,2184,20,0.0,0.0,1669.0,16.0,1685.0,,,,,,,,2.0,
19,20200325,KS,126,2360,,2486,2486,2486,20,1.0,0.0,274.0,28.0,302.0,,,,,,,,3.0,
20,20200326,KS,168,2869,,3037,3037,3037,20,0.0,0.0,509.0,42.0,551.0,,,,,,,,3.0,
21,20200327,KS,202,3229,,3431,3431,3431,20,1.0,27.0,360.0,34.0,394.0,,27.0,,,,,,4.0,27.0
22,20200328,KS,261,3671,,3932,3932,3932,20,1.0,0.0,442.0,59.0,501.0,,27.0,,,,,,5.0,27.0
23,20200329,KS,319,4194,,4513,4513,4513,20,1.0,28.0,523.0,58.0,581.0,,55.0,,,,,,6.0,55.0
24,20200330,KS,368,4554,,4922,4922,4922,20,2.0,11.0,360.0,49.0,409.0,,66.0,,,,,,8.0,66.0
25,20200331,KS,428,4996,,5424,5424,5424,20,1.0,13.0,442.0,60.0,502.0,,79.0,,,,,,9.0,79.0
26,20200401,KS,482,5411,,5893,5893,5893,20,1.0,35.0,415.0,54.0,469.0,,114.0,,,,,,10.0,114.0
27,20200402,KS,552,6059,,6611,6611,6611,20,3.0,24.0,648.0,70.0,718.0,,138.0,,,,,,13.0,138.0
28,20200403,KS,620,6454,,7074,7074,7074,20,4.0,13.0,395.0,68.0,463.0,,151.0,,,,,,17.0,151.0
29,20200404,KS,698,6880,,7578,7578,7578,20,4.0,21.0,426.0,78.0,504.0,,172.0,,,,,,21.0,172.0
30,20200405,KS,747,7476,,8223,8223,8223,20,1.0,11.0,596.0,49.0,645.0,,183.0,,,,,,22.0,183.0
31,20200406,KS,845,8239,,9084,9084,9084,20,3.0,15.0,763.0,98.0,861.0,,198.0,,,,,,25.0,198.0
32,20200407,KS,900,8614,,9514,9514,9514,20,2.0,25.0,375.0,55.0,430.0,,223.0,,,,,,27.0,223.0
33,20200408,KS,900,8614,,9514,9514,9514,20,0.0,0.0,0.0,0.0,0.0,,223.0,,,,,,27.0,223.0
34,20200409,KS,1106,9669,,10775,10775,10775,20,15.0,40.0,1055.0,206.0,1261.0,,263.0,,,,,,42.0,263.0
35,20200410,KS,1166,10248,,11414,11414,11414,20,8.0,11.0,579.0,60.0,639.0,,274.0,,,,,,50.0,274.0
36,20200411,KS,1268,11075,,12343,12343,12343,20,5.0,19.0,827.0,102.0,929.0,,293.0,,,,,,55.0,293.0
