,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200306,KY,0,7,3.0,10,7,7,21,,,,,,,,,,,,,,
1,20200307,KY,1,9,,10,10,10,21,0.0,0.0,2.0,1.0,3.0,,,,,,,,,
2,20200308,KY,1,13,,14,14,14,21,0.0,0.0,4.0,0.0,4.0,,,,,,,,,
3,20200309,KY,4,17,,21,21,21,21,0.0,0.0,4.0,3.0,7.0,,,,,,,,,
4,20200310,KY,6,28,,34,34,34,21,0.0,0.0,11.0,2.0,13.0,,,,,,,,,
5,20200311,KY,8,46,,54,54,54,21,0.0,0.0,18.0,2.0,20.0,,,,,,,,,
6,20200312,KY,8,56,,64,64,64,21,0.0,0.0,10.0,0.0,10.0,,,,,,,,,
7,20200313,KY,11,107,,118,118,118,21,0.0,0.0,51.0,3.0,54.0,,,,,,,,,
8,20200314,KY,14,139,,153,153,153,21,0.0,0.0,32.0,3.0,35.0,,,,,,,,,
9,20200315,KY,16,139,,155,155,155,21,0.0,0.0,0.0,2.0,2.0,,,,,,,,,
10,20200316,KY,21,234,,255,255,255,21,1.0,0.0,95.0,5.0,100.0,,,,,,,,1.0,
11,20200317,KY,22,295,,317,317,317,21,0.0,0.0,61.0,1.0,62.0,,,,,,,,1.0,
12,20200318,KY,26,354,,380,380,380,21,0.0,0.0,59.0,4.0,63.0,,,,,,,,1.0,
13,20200319,KY,35,454,,489,489,489,21,0.0,0.0,100.0,9.0,109.0,,,,,,,,1.0,
14,20200320,KY,47,592,,639,639,639,21,0.0,0.0,138.0,12.0,150.0,,,,,,,,1.0,
15,20200321,KY,54,714,,768,768,768,21,1.0,0.0,122.0,7.0,129.0,,,,,,,,2.0,
16,20200322,KY,99,1472,,1571,1571,1571,21,1.0,0.0,758.0,45.0,803.0,,,,,,,,3.0,
17,20200323,KY,104,1762,,1866,1866,1866,21,0.0,0.0,290.0,5.0,295.0,,,,,,,,3.0,
18,20200324,KY,124,1762,,1886,1886,1886,21,1.0,0.0,0.0,20.0,20.0,,,,,,,,4.0,
19,20200325,KY,157,2865,,3022,3022,3022,21,0.0,0.0,1103.0,33.0,1136.0,,,,,,,,4.0,
20,20200326,KY,198,3102,,3300,3300,3300,21,0.0,0.0,237.0,41.0,278.0,,,,,,,,4.0,
21,20200327,KY,248,3768,,4016,4016,4016,21,2.0,0.0,666.0,50.0,716.0,,,,,,,,6.0,
22,20200328,KY,302,4821,,5123,5123,5123,21,2.0,0.0,1053.0,54.0,1107.0,,,,,,,,8.0,
23,20200329,KY,394,5147,,5541,5541,5541,21,1.0,0.0,326.0,92.0,418.0,,,,,,,,9.0,
24,20200330,KY,439,5579,,6018,6018,6018,21,0.0,0.0,432.0,45.0,477.0,,,,,,,,9.0,
25,20200331,KY,480,6330,,6810,6810,6810,21,2.0,0.0,751.0,41.0,792.0,,,,,,,,11.0,
26,20200401,KY,591,6965,,7556,7556,7556,21,6.0,0.0,635.0,111.0,746.0,,,,,,,,17.0,
27,20200402,KY,680,7220,,7900,7900,7900,21,3.0,0.0,255.0,89.0,344.0,,,,,,,,20.0,
28,20200403,KY,770,12034,,12804,12804,12804,21,11.0,0.0,4814.0,90.0,4904.0,,,,,,,,31.0,
29,20200404,KY,831,14741,,15572,15572,15572,21,6.0,0.0,2707.0,61.0,2768.0,,,,,,,,37.0,
30,20200405,KY,917,15746,,16663,16663,16663,21,3.0,0.0,1005.0,86.0,1091.0,,,,,,,,40.0,
31,20200406,KY,955,17812,,18767,18767,18767,21,5.0,0.0,2066.0,38.0,2104.0,,,,,,,,45.0,
32,20200407,KY,1008,18947,,19955,19955,19955,21,14.0,0.0,1135.0,53.0,1188.0,,,,,,,,59.0,
33,20200408,KY,1149,20455,,21604,21604,21604,21,6.0,0.0,1508.0,141.0,1649.0,,,,,,,,65.0,
34,20200409,KY,1346,20455,,21801,21801,21801,21,8.0,0.0,0.0,197.0,197.0,,,,,,,,73.0,
35,20200410,KY,1693,22595,,24288,24288,24288,21,17.0,459.0,2140.0,347.0,2487.0,271.0,459.0,105.0,177.0,,,464.0,90.0,459.0
36,20200411,KY,1693,22595,,24288,24288,24288,21,0.0,0.0,0.0,0.0,0.0,271.0,459.0,105.0,177.0,,,464.0,90.0,459.0
