,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200307,LA,0,0,0,0,22,,,,,,,,,,,,,,,,
1,20200308,LA,0,5,5,5,22,0.0,0.0,5.0,0.0,5.0,5.0,,,,,,,,,,
2,20200309,LA,1,6,6,6,22,0.0,0.0,0.0,1.0,1.0,5.0,,,,,,,,,,
3,20200310,LA,1,12,12,12,22,0.0,0.0,6.0,0.0,6.0,11.0,,,,,,,,,,
4,20200311,LA,6,43,43,43,22,0.0,0.0,26.0,5.0,31.0,37.0,,,,,,,,,,
5,20200312,LA,14,51,51,51,22,0.0,0.0,0.0,8.0,8.0,37.0,,,,,,,,,,
6,20200313,LA,36,73,73,73,22,0.0,0.0,0.0,22.0,22.0,37.0,,,,,,,,,,
7,20200314,LA,69,178,178,178,22,0.0,0.0,72.0,33.0,105.0,109.0,,,,,,,,,,
8,20200315,LA,91,247,247,247,22,2.0,0.0,47.0,22.0,69.0,156.0,,,,,,,,,2.0,
9,20200316,LA,114,302,302,302,22,0.0,0.0,32.0,23.0,55.0,188.0,,,,,,,,,2.0,
10,20200317,LA,171,457,457,457,22,2.0,0.0,98.0,57.0,155.0,286.0,,,,,,,,,4.0,
11,20200318,LA,240,575,575,575,22,2.0,0.0,49.0,69.0,118.0,335.0,,,,,,,,,6.0,
12,20200319,LA,347,805,805,805,22,2.0,0.0,123.0,107.0,230.0,458.0,,,,,,,,,8.0,
13,20200320,LA,479,1047,1047,1047,22,4.0,0.0,110.0,132.0,242.0,568.0,,,,,,,,,12.0,
14,20200321,LA,585,2765,2765,2765,22,4.0,0.0,1612.0,106.0,1718.0,2180.0,,,,,,,,,16.0,
15,20200322,LA,837,3498,3498,3498,22,4.0,0.0,481.0,252.0,733.0,2661.0,,,,,,,,,20.0,
16,20200323,LA,1172,5948,5948,5948,22,14.0,0.0,2115.0,335.0,2450.0,4776.0,,,,,,,,,34.0,
17,20200324,LA,1388,8603,8603,8603,22,12.0,0.0,2439.0,216.0,2655.0,7215.0,,271.0,,,,,,,46.0,
18,20200325,LA,1795,11451,11451,11451,22,19.0,0.0,2441.0,407.0,2848.0,9656.0,,491.0,,,,163.0,,,65.0,
19,20200326,LA,2305,18029,18029,18029,22,18.0,0.0,6068.0,510.0,6578.0,15724.0,,676.0,,,,239.0,,,83.0,
20,20200327,LA,2746,21359,21359,21359,22,36.0,0.0,2889.0,441.0,3330.0,18613.0,,773.0,,,,270.0,,,119.0,
21,20200328,LA,3315,25161,25161,25161,22,18.0,0.0,3233.0,569.0,3802.0,21846.0,,927.0,,,,336.0,,,137.0,
22,20200329,LA,3540,27871,27871,27871,22,14.0,0.0,2485.0,225.0,2710.0,24331.0,,1127.0,,,,380.0,,,151.0,
23,20200330,LA,4025,34033,34033,34033,22,34.0,0.0,5677.0,485.0,6162.0,30008.0,,1185.0,,,,385.0,,,185.0,
24,20200331,LA,5237,38967,38967,38967,22,54.0,0.0,3722.0,1212.0,4934.0,33730.0,,1355.0,,,,438.0,,,239.0,
25,20200401,LA,6424,45776,45776,45776,22,34.0,0.0,5622.0,1187.0,6809.0,39352.0,,1498.0,,,,490.0,,,273.0,
26,20200402,LA,9150,51086,51086,51086,22,37.0,0.0,2584.0,2726.0,5310.0,41936.0,,1639.0,,,,507.0,,,310.0,
27,20200403,LA,10297,53645,53645,53645,22,60.0,0.0,1412.0,1147.0,2559.0,43348.0,,1707.0,,,,535.0,,,370.0,
28,20200404,LA,12496,58498,58498,58498,22,39.0,0.0,2654.0,2199.0,4853.0,46002.0,,1726.0,,,,571.0,,,409.0,
29,20200405,LA,13010,60325,60325,60325,22,68.0,0.0,1313.0,514.0,1827.0,47315.0,,1803.0,,,,561.0,,,477.0,
30,20200406,LA,14867,69166,69166,69166,22,35.0,0.0,6984.0,1857.0,8841.0,54299.0,,1981.0,,,,552.0,,,512.0,
31,20200407,LA,16284,74655,74655,74655,22,70.0,0.0,4072.0,1417.0,5489.0,58371.0,,1996.0,,,,519.0,,,582.0,
32,20200408,LA,17030,81406,81406,81406,22,70.0,0.0,6005.0,746.0,6751.0,64376.0,,1983.0,,,,490.0,,,652.0,
33,20200409,LA,18283,86919,86919,86919,22,50.0,0.0,4260.0,1253.0,5513.0,68636.0,,2014.0,,,,473.0,,,702.0,
34,20200410,LA,19253,92280,92280,92280,22,53.0,0.0,4391.0,970.0,5361.0,73027.0,,2054.0,,,,479.0,,,755.0,
35,20200411,LA,20014,96915,96915,96915,22,51.0,0.0,3874.0,761.0,4635.0,76901.0,,2067.0,,,,470.0,,,806.0,
