,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,MA,2,2,2,2,25,,,,,,,,,,,,,,,,
1,20200305,MA,2,2,2,2,25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200306,MA,8,8,8,8,25,0.0,0.0,0.0,6.0,6.0,,,,,,,,,,,
3,20200307,MA,13,13,13,13,25,0.0,0.0,0.0,5.0,5.0,,,,,,,,,,,
4,20200308,MA,13,13,13,13,25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,20200309,MA,41,41,41,41,25,0.0,0.0,0.0,28.0,28.0,,,,,,,,,,,
6,20200310,MA,92,92,92,92,25,0.0,0.0,0.0,51.0,51.0,,,,,,,,,,,
7,20200311,MA,92,92,92,92,25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
8,20200312,MA,95,95,95,95,25,0.0,0.0,0.0,3.0,3.0,,,,,,,,,,,
9,20200313,MA,123,215,215,215,25,0.0,0.0,92.0,28.0,120.0,92.0,,,,,,,,,,
10,20200314,MA,138,490,490,490,25,0.0,0.0,260.0,15.0,275.0,352.0,,,,,,,,,,
11,20200315,MA,138,490,490,490,25,0.0,0.0,0.0,0.0,0.0,352.0,,,,,,,,,,
12,20200316,MA,164,516,516,516,25,0.0,0.0,0.0,26.0,26.0,352.0,,,,,,,,,,
13,20200317,MA,218,1759,1759,1759,25,0.0,0.0,1189.0,54.0,1243.0,1541.0,,,,,,,,,,
14,20200318,MA,256,2271,2271,2271,25,0.0,0.0,474.0,38.0,512.0,2015.0,,,,,,,,,,
15,20200319,MA,328,3132,3132,3132,25,0.0,0.0,789.0,72.0,861.0,2804.0,,,,,,,,,,
16,20200320,MA,413,4091,4091,4091,25,1.0,0.0,874.0,85.0,959.0,3678.0,,,,,,,,,1.0,
17,20200321,MA,525,5277,5277,5277,25,0.0,61.0,1074.0,112.0,1186.0,4752.0,,,61.0,,,,,,1.0,61.0
18,20200322,MA,646,6105,6105,6105,25,4.0,10.0,707.0,121.0,828.0,5459.0,,,71.0,,,,,,5.0,71.0
19,20200323,MA,777,8922,8922,8922,25,4.0,8.0,2686.0,131.0,2817.0,8145.0,,,79.0,,,,,,9.0,79.0
20,20200324,MA,1159,13749,13749,13749,25,2.0,15.0,4445.0,382.0,4827.0,12590.0,,,94.0,,,,,,11.0,94.0
21,20200325,MA,1838,19794,19794,19794,25,4.0,9.0,5366.0,679.0,6045.0,17956.0,,,103.0,,,,,,15.0,103.0
22,20200326,MA,2417,23621,23621,23621,25,10.0,116.0,3248.0,579.0,3827.0,21204.0,,,219.0,,,,,,25.0,219.0
23,20200327,MA,3240,29371,29371,29371,25,10.0,0.0,4927.0,823.0,5750.0,26131.0,,,219.0,,,,,,35.0,219.0
24,20200328,MA,4257,35049,35049,35049,25,9.0,131.0,4661.0,1017.0,5678.0,30792.0,,,350.0,,,,,,44.0,350.0
25,20200329,MA,4955,39066,39066,39066,25,4.0,49.0,3319.0,698.0,4017.0,34111.0,,,399.0,,,,,,48.0,399.0
26,20200330,MA,5752,42793,42793,42793,25,8.0,54.0,2930.0,797.0,3727.0,37041.0,,,453.0,,,,,,56.0,453.0
27,20200331,MA,6620,46935,46935,46935,25,33.0,109.0,3274.0,868.0,4142.0,40315.0,,,562.0,,,,,,89.0,562.0
28,20200401,MA,7738,51738,51738,51738,25,33.0,120.0,3685.0,1118.0,4803.0,44000.0,,,682.0,,,,,,122.0,682.0
29,20200402,MA,8966,56608,56608,56608,25,32.0,131.0,3642.0,1228.0,4870.0,47642.0,,,813.0,,,,,,154.0,813.0
30,20200403,MA,10402,62962,62962,62962,25,38.0,153.0,4918.0,1436.0,6354.0,52560.0,,,966.0,,,,,,192.0,966.0
31,20200404,MA,11736,68800,68800,68800,25,24.0,102.0,4504.0,1334.0,5838.0,57064.0,,,1068.0,,,,,,216.0,1068.0
32,20200405,MA,12500,71937,71937,71937,25,15.0,77.0,2373.0,764.0,3137.0,59437.0,,,1145.0,,,,,,231.0,1145.0
33,20200406,MA,13837,76429,76429,76429,25,29.0,96.0,3155.0,1337.0,4492.0,62592.0,,,1241.0,,,,,,260.0,1241.0
34,20200407,MA,15202,81344,81344,81344,25,96.0,194.0,3550.0,1365.0,4915.0,66142.0,,,1435.0,,,,,,356.0,1435.0
35,20200408,MA,16790,87511,87511,87511,25,77.0,148.0,4579.0,1588.0,6167.0,70721.0,,,1583.0,,,,,,433.0,1583.0
36,20200409,MA,18941,94958,94958,94958,25,70.0,164.0,5296.0,2151.0,7447.0,76017.0,,,1747.0,,,,,,503.0,1747.0
37,20200410,MA,20974,102372,102372,102372,25,96.0,209.0,5381.0,2033.0,7414.0,81398.0,,,1956.0,,,,,,599.0,1956.0
38,20200411,MA,22860,108776,108776,108776,25,87.0,164.0,4518.0,1886.0,6404.0,85916.0,,,2120.0,,,,,,686.0,2120.0
