,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200305,MD,0,17,14.0,31,17,17,24,,,,,,,,,,,,,,
1,20200306,MD,3,26,12.0,41,29,29,24,0.0,0.0,9.0,3.0,12.0,,,,,,,,,
2,20200307,MD,3,41,,44,44,44,24,0.0,0.0,15.0,0.0,15.0,,,,,,,,,
3,20200308,MD,3,52,,55,55,55,24,0.0,0.0,11.0,0.0,11.0,,,,,,,,,
4,20200309,MD,5,73,,78,78,78,24,0.0,0.0,21.0,2.0,23.0,,,,,,,,,
5,20200310,MD,6,89,,95,95,95,24,0.0,0.0,16.0,1.0,17.0,,,,,,,,,
6,20200311,MD,9,94,,103,103,103,24,0.0,0.0,5.0,3.0,8.0,,,,,,,,,
7,20200312,MD,12,94,,106,106,106,24,0.0,0.0,0.0,3.0,3.0,,,,,,,,,
8,20200313,MD,17,94,,111,111,111,24,0.0,0.0,0.0,5.0,5.0,,,,,,,,,
9,20200314,MD,26,94,,120,120,120,24,0.0,0.0,0.0,9.0,9.0,,,,,,,,,
10,20200315,MD,31,94,,125,125,125,24,0.0,0.0,0.0,5.0,5.0,,,,,,,,,
11,20200316,MD,37,94,,131,131,131,24,0.0,0.0,0.0,6.0,6.0,,,,,,,,,
12,20200317,MD,57,94,,151,151,151,24,0.0,0.0,0.0,20.0,20.0,,,,,,,,,
13,20200318,MD,85,94,,179,179,179,24,0.0,0.0,0.0,28.0,28.0,,,,,,,,,
14,20200319,MD,107,94,,201,201,201,24,1.0,0.0,0.0,22.0,22.0,,,,,,,,1.0,
15,20200320,MD,149,94,,243,243,243,24,0.0,0.0,0.0,42.0,42.0,,,,,,,,1.0,
16,20200321,MD,190,94,,284,284,284,24,1.0,0.0,0.0,41.0,41.0,,,,,,,,2.0,
17,20200322,MD,244,94,,338,338,338,24,1.0,0.0,0.0,54.0,54.0,,,,,,,,3.0,
18,20200323,MD,288,94,,382,382,382,24,0.0,0.0,0.0,44.0,44.0,,,,,,,,3.0,
19,20200324,MD,349,94,,443,443,443,24,0.0,0.0,0.0,61.0,61.0,,,,,,,,3.0,
20,20200325,MD,423,94,,517,517,517,24,1.0,0.0,0.0,74.0,74.0,,,,,,,,4.0,
21,20200326,MD,580,94,,674,674,674,24,0.0,132.0,0.0,157.0,157.0,,132.0,,,,,,4.0,132.0
22,20200327,MD,774,94,,868,868,868,24,1.0,41.0,0.0,194.0,194.0,,173.0,,,,,25.0,5.0,173.0
23,20200328,MD,992,11516,,12508,12508,12508,24,0.0,53.0,11422.0,218.0,11640.0,,226.0,,,,,,5.0,226.0
24,20200329,MD,1239,12354,,13593,13593,13593,24,5.0,51.0,838.0,247.0,1085.0,,277.0,,,,,,10.0,277.0
25,20200330,MD,1413,13316,,14729,14729,14729,24,5.0,76.0,962.0,174.0,1136.0,,353.0,,,,,,15.0,353.0
26,20200331,MD,1660,14868,,16528,16528,16528,24,3.0,76.0,1552.0,247.0,1799.0,,429.0,,,,,,18.0,429.0
27,20200401,MD,1985,17233,,19218,19218,19218,24,13.0,93.0,2365.0,325.0,2690.0,,522.0,,,,,,31.0,522.0
28,20200402,MD,2331,18890,,21221,21221,21221,24,5.0,60.0,1657.0,346.0,2003.0,,582.0,,,,,81.0,36.0,582.0
29,20200403,MD,2758,20932,,23690,23690,23690,24,6.0,82.0,2042.0,427.0,2469.0,,664.0,,,,,159.0,42.0,664.0
30,20200404,MD,3125,22485,,25610,25610,25610,24,11.0,157.0,1553.0,367.0,1920.0,,821.0,,,,,159.0,53.0,821.0
31,20200405,MD,3609,24728,,28337,28337,28337,24,14.0,115.0,2243.0,484.0,2727.0,,936.0,,,,,159.0,67.0,936.0
32,20200406,MD,4045,25572,,29617,29617,29617,24,24.0,123.0,844.0,436.0,1280.0,,1059.0,,,,,184.0,91.0,1059.0
33,20200407,MD,4371,27256,,31627,31627,31627,24,12.0,47.0,1684.0,326.0,2010.0,,1106.0,,,,,288.0,103.0,1106.0
34,20200408,MD,5529,32933,,38462,38462,38462,24,21.0,104.0,5677.0,1158.0,6835.0,,1210.0,,,,,365.0,124.0,1210.0
35,20200409,MD,6185,35344,,41529,41529,41529,24,14.0,138.0,2411.0,656.0,3067.0,,1348.0,,,,,376.0,138.0,1348.0
36,20200410,MD,6968,37480,,44448,44448,44448,24,33.0,65.0,2136.0,783.0,2919.0,,1413.0,,,,,397.0,171.0,1413.0
37,20200411,MD,7694,39544,,47238,47238,47238,24,35.0,296.0,2064.0,726.0,2790.0,,1709.0,,,,,431.0,206.0,1709.0
