,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hospitalized,death
0,20200307,ME,0,1,1,1,1,23,,,,,,,,,,,,,,,
1,20200308,ME,0,1,1,1,1,23,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2,20200309,ME,0,1,1,1,1,23,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
3,20200310,ME,0,20,25,20,20,23,0.0,0.0,19.0,0.0,19.0,5.0,,,,,,,,,
4,20200311,ME,0,42,47,42,42,23,0.0,0.0,22.0,0.0,22.0,5.0,,,,,,,,,
5,20200312,ME,1,65,86,66,66,23,0.0,0.0,23.0,1.0,24.0,20.0,,,,,,,,,
6,20200313,ME,3,91,111,94,94,23,0.0,0.0,26.0,2.0,28.0,17.0,,,,,,,,,
7,20200314,ME,3,91,111,94,94,23,0.0,0.0,0.0,0.0,0.0,17.0,,,,,,,,,
8,20200315,ME,3,91,111,94,94,23,0.0,0.0,0.0,0.0,0.0,17.0,,,,,,,,,
9,20200316,ME,17,764,781,781,781,23,0.0,0.0,673.0,14.0,687.0,,,,,,,,,,
10,20200317,ME,32,1303,1335,1335,1335,23,0.0,0.0,539.0,15.0,554.0,,,,,,,,,,
11,20200318,ME,43,1670,1713,1713,1713,23,0.0,0.0,367.0,11.0,378.0,,,,,,,,,,
12,20200319,ME,53,2004,2057,2057,2057,23,0.0,0.0,334.0,10.0,344.0,,,,,,,,,,
13,20200320,ME,57,2264,2321,2321,2321,23,0.0,0.0,260.0,4.0,264.0,,,,,,,,,,
14,20200321,ME,73,2264,2337,2337,2337,23,0.0,0.0,0.0,16.0,16.0,,,,,,,,,,
15,20200322,ME,89,2264,2353,2353,2353,23,0.0,0.0,0.0,16.0,16.0,,,,,,,,,,
16,20200323,ME,107,2791,2898,2898,2898,23,0.0,0.0,527.0,18.0,545.0,,,,,,,,,,
17,20200324,ME,125,3014,3139,3139,3139,23,0.0,0.0,223.0,18.0,241.0,,,,,,,,,,
18,20200325,ME,149,3177,3326,3326,3326,23,0.0,0.0,163.0,24.0,187.0,,,,,,,,7.0,,
19,20200326,ME,155,3394,3549,3549,3549,23,0.0,0.0,217.0,6.0,223.0,,,,,,,,16.0,,
20,20200327,ME,168,3394,3562,3562,3562,23,1.0,0.0,0.0,13.0,13.0,,,,,,,,24.0,,1.0
21,20200328,ME,211,3394,3605,3605,3605,23,0.0,0.0,0.0,43.0,43.0,,,,,,,,36.0,,1.0
22,20200329,ME,253,3394,3647,3647,3647,23,2.0,0.0,0.0,42.0,42.0,,,,,,,,41.0,,3.0
23,20200330,ME,275,3394,3669,3669,3669,23,0.0,49.0,0.0,22.0,22.0,,,49.0,,,,,41.0,49.0,3.0
24,20200331,ME,303,6088,6391,6391,6391,23,2.0,8.0,2694.0,28.0,2722.0,,,57.0,,,,,68.0,57.0,5.0
25,20200401,ME,344,6088,6432,6432,6432,23,2.0,6.0,0.0,41.0,41.0,,,63.0,,,,,80.0,63.0,7.0
26,20200402,ME,376,6088,6464,6464,6464,23,0.0,5.0,0.0,32.0,32.0,,,68.0,,,,,94.0,68.0,7.0
27,20200403,ME,432,6088,6520,6520,6520,23,2.0,7.0,0.0,56.0,56.0,,,75.0,,,,,113.0,75.0,9.0
28,20200404,ME,456,6088,6544,6544,6544,23,1.0,8.0,0.0,24.0,24.0,,,83.0,,,,,140.0,83.0,10.0
29,20200405,ME,470,6088,6558,6558,6558,23,0.0,3.0,0.0,14.0,14.0,,,86.0,,,,,156.0,86.0,10.0
30,20200406,ME,499,6088,6587,6587,6587,23,0.0,6.0,0.0,29.0,29.0,,,92.0,,,,,158.0,92.0,10.0
31,20200407,ME,519,6088,6607,6607,6607,23,2.0,7.0,0.0,20.0,20.0,,,99.0,,,,,176.0,99.0,12.0
32,20200408,ME,537,6088,6625,6625,6625,23,2.0,2.0,0.0,18.0,18.0,,,101.0,,,,,187.0,101.0,14.0
33,20200409,ME,560,6088,6648,6648,6648,23,2.0,4.0,0.0,23.0,23.0,,,105.0,,,,,202.0,105.0,16.0
34,20200410,ME,586,6088,6674,6674,6674,23,1.0,6.0,0.0,26.0,26.0,,,111.0,,,,,246.0,111.0,17.0
35,20200411,ME,616,6088,6704,6704,6704,23,2.0,3.0,0.0,30.0,30.0,,,114.0,,,,,256.0,114.0,19.0
