,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200305,MI,0,8,0.0,8,8,8,26,,,,,,,,,,,,,,
1,20200306,MI,0,8,8.0,16,8,8,26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,20200307,MI,0,18,9.0,27,18,18,26,0.0,0.0,10.0,0.0,10.0,,,,,,,,,
3,20200308,MI,0,26,10.0,36,26,26,26,0.0,0.0,8.0,0.0,8.0,,,,,,,,,
4,20200309,MI,0,36,11.0,47,36,36,26,0.0,0.0,10.0,0.0,10.0,,,,,,,,,
5,20200310,MI,0,39,24.0,63,39,39,26,0.0,0.0,3.0,0.0,3.0,,,,,,,,,
6,20200311,MI,2,57,18.0,77,59,59,26,0.0,0.0,18.0,2.0,20.0,,,,,,,,,
7,20200312,MI,2,91,27.0,120,93,93,26,0.0,0.0,34.0,0.0,34.0,,,,,,,,,
8,20200313,MI,16,133,26.0,175,149,149,26,0.0,0.0,42.0,14.0,56.0,,,,,,,,,
9,20200314,MI,25,205,26.0,256,230,230,26,0.0,0.0,72.0,9.0,81.0,,,,,,,,,
10,20200315,MI,33,205,26.0,264,238,238,26,0.0,0.0,0.0,8.0,8.0,,,,,,,,,
11,20200316,MI,53,272,30.0,355,325,325,26,0.0,0.0,67.0,20.0,87.0,,,,,,,,,
12,20200317,MI,65,626,,691,691,691,26,0.0,0.0,354.0,12.0,366.0,,,,,,,,,
13,20200318,MI,80,1215,,1295,1295,1295,26,0.0,0.0,589.0,15.0,604.0,,,,,,,,,
14,20200319,MI,336,1785,,2121,2121,2121,26,3.0,0.0,570.0,256.0,826.0,,,,,,,,3.0,
15,20200320,MI,549,2746,,3295,3295,3295,26,0.0,0.0,961.0,213.0,1174.0,,,,,,,,3.0,
16,20200321,MI,787,3696,,4483,4483,4483,26,2.0,0.0,950.0,238.0,1188.0,,,,,,,,5.0,
17,20200322,MI,1035,3712,,4747,4747,4747,26,3.0,0.0,16.0,248.0,264.0,,,,,,,,8.0,
18,20200323,MI,1328,4697,,6025,6025,6025,26,7.0,0.0,985.0,293.0,1278.0,,,,,,,,15.0,
19,20200324,MI,1791,5796,,7587,7587,7587,26,9.0,0.0,1099.0,463.0,1562.0,,,,,,,,24.0,
20,20200325,MI,7060,7537,,14597,14597,14597,26,19.0,0.0,1741.0,5269.0,7010.0,,,,,,,,43.0,
21,20200326,MI,7767,10305,,18072,18072,18072,26,17.0,0.0,2768.0,707.0,3475.0,,,,,,,,60.0,
22,20200327,MI,8659,12639,,21298,21298,21298,26,32.0,0.0,2334.0,892.0,3226.0,,,,,,,,92.0,
23,20200328,MI,9287,14183,,23470,23470,23470,26,0.0,0.0,1544.0,628.0,2172.0,,,,,,,,92.0,
24,20200329,MI,10010,15676,,25686,25686,25686,26,40.0,0.0,1493.0,723.0,2216.0,,,,,,,,132.0,
25,20200330,MI,10901,21183,,32084,32084,32084,26,52.0,0.0,5507.0,891.0,6398.0,,,,,,,,184.0,
26,20200331,MI,11875,23979,,35854,35854,35854,26,75.0,0.0,2796.0,974.0,3770.0,,,,,,,,259.0,
27,20200401,MI,12888,27237,,40125,40125,40125,26,78.0,0.0,3258.0,1013.0,4271.0,,,,,,,,337.0,
28,20200402,MI,14117,30368,,44485,44485,44485,26,80.0,0.0,3131.0,1229.0,4360.0,,,,,,,,417.0,
29,20200403,MI,15252,33670,,48922,48922,48922,26,62.0,0.0,3302.0,1135.0,4437.0,,,,,,,56.0,479.0,
30,20200404,MI,16395,37405,,53800,53800,53800,26,61.0,0.0,3735.0,1143.0,4878.0,,,,,,,56.0,540.0,
31,20200405,MI,17567,40331,,57898,57898,57898,26,77.0,0.0,2926.0,1172.0,4098.0,,,,,,,56.0,617.0,
32,20200406,MI,18850,43120,,61970,61970,61970,26,110.0,0.0,2789.0,1283.0,4072.0,,,,,,,56.0,727.0,
33,20200407,MI,19823,45550,,65373,65373,65373,26,118.0,0.0,2430.0,973.0,3403.0,,,,,,,56.0,845.0,
34,20200408,MI,20589,45550,,66139,66139,66139,26,114.0,0.0,0.0,766.0,766.0,,,,,,,56.0,959.0,
35,20200409,MI,21504,45550,,67054,67054,67054,26,117.0,0.0,0.0,915.0,915.0,3826.0,,1628.0,,1434.0,,56.0,1076.0,
36,20200410,MI,22783,49261,,72044,72044,72044,26,205.0,0.0,3711.0,1279.0,4990.0,3823.0,,1663.0,,1394.0,,56.0,1281.0,
37,20200411,MI,23993,52021,,76014,76014,76014,26,111.0,0.0,2760.0,1210.0,3970.0,3636.0,,1582.0,,1441.0,,595.0,1392.0,
