,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200306,MN,0,36,36,36,36,27,,,,,,,,,,,,,,,
1,20200307,MN,1,48,49,49,49,27,0.0,0.0,12.0,1.0,13.0,,,,,,,,,,
2,20200308,MN,1,48,49,49,49,27,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
3,20200309,MN,2,80,82,82,82,27,0.0,0.0,32.0,1.0,33.0,,,,,,,,,,
4,20200310,MN,3,132,135,135,135,27,0.0,0.0,52.0,1.0,53.0,,,,,,,,,,
5,20200311,MN,5,217,222,222,222,27,0.0,0.0,85.0,2.0,87.0,,,,,,,,,,
6,20200312,MN,9,307,316,316,316,27,0.0,0.0,90.0,4.0,94.0,,,,,,,,,,
7,20200313,MN,14,541,555,555,555,27,0.0,0.0,234.0,5.0,239.0,,,,,,,,,,
8,20200314,MN,21,847,868,868,868,27,0.0,0.0,306.0,7.0,313.0,,,,,,,,,,
9,20200315,MN,35,1387,1422,1422,1422,27,0.0,0.0,540.0,14.0,554.0,,,,,,,,,,
10,20200316,MN,54,1839,1893,1893,1893,27,0.0,0.0,452.0,19.0,471.0,,,,,,,,,,
11,20200317,MN,60,2276,2336,2336,2336,27,0.0,0.0,437.0,6.0,443.0,,,,,,,,,,
12,20200318,MN,77,2685,2762,2762,2762,27,0.0,0.0,409.0,17.0,426.0,,,,,,,,,,
13,20200319,MN,89,2949,3038,3038,3038,27,0.0,0.0,264.0,12.0,276.0,,,,,,,,,,
14,20200320,MN,115,3741,3856,3856,3856,27,0.0,0.0,792.0,26.0,818.0,,,,,,,,,,
15,20200321,MN,138,3952,4090,4090,4090,27,1.0,0.0,211.0,23.0,234.0,,,,,,,,,1.0,
16,20200322,MN,169,4511,4680,4680,4680,27,0.0,12.0,559.0,31.0,590.0,,,12.0,,,,,,1.0,12.0
17,20200323,MN,235,4511,4746,4746,4746,27,0.0,5.0,0.0,66.0,66.0,,,17.0,,,,,,1.0,17.0
18,20200324,MN,262,5550,5812,5812,5812,27,0.0,4.0,1039.0,27.0,1066.0,,,21.0,,,,,,1.0,21.0
19,20200325,MN,287,11188,11475,11475,11475,27,0.0,14.0,5638.0,25.0,5663.0,,26.0,35.0,,,,,122.0,1.0,35.0
20,20200326,MN,346,12604,12950,12950,12950,27,1.0,6.0,1416.0,59.0,1475.0,,31.0,41.0,,,,,,2.0,41.0
21,20200327,MN,398,13605,14003,14003,14003,27,2.0,10.0,1001.0,52.0,1053.0,,34.0,51.0,,17.0,,,180.0,4.0,51.0
22,20200328,MN,441,15688,16129,16129,16129,27,1.0,6.0,2083.0,43.0,2126.0,,30.0,57.0,,17.0,,,220.0,5.0,57.0
23,20200329,MN,503,17154,17657,17657,17657,27,4.0,18.0,1466.0,62.0,1528.0,,39.0,75.0,,17.0,,,252.0,9.0,75.0
24,20200330,MN,576,18246,18822,18822,18822,27,1.0,17.0,1092.0,73.0,1165.0,,56.0,92.0,24.0,24.0,,,,10.0,92.0
25,20200331,MN,629,19151,19780,19780,19780,27,2.0,20.0,905.0,53.0,958.0,,56.0,112.0,26.0,26.0,,,,12.0,112.0
26,20200401,MN,689,20502,21191,21191,21191,27,5.0,10.0,1351.0,60.0,1411.0,,54.0,122.0,27.0,27.0,,,,17.0,122.0
27,20200402,MN,742,21652,22394,22394,22394,27,1.0,16.0,1150.0,53.0,1203.0,,75.0,138.0,38.0,38.0,,,,18.0,138.0
28,20200403,MN,789,23438,24227,24227,24227,27,4.0,18.0,1786.0,47.0,1833.0,,86.0,156.0,40.0,40.0,,,,22.0,156.0
29,20200404,MN,865,24558,25423,25423,25423,27,2.0,24.0,1120.0,76.0,1196.0,,95.0,180.0,42.0,69.0,,,440.0,24.0,180.0
30,20200405,MN,935,25842,26777,26777,26777,27,5.0,22.0,1284.0,70.0,1354.0,,106.0,202.0,48.0,77.0,,,451.0,29.0,202.0
31,20200406,MN,986,27142,28128,28128,28128,27,1.0,21.0,1300.0,51.0,1351.0,,115.0,223.0,57.0,90.0,,,470.0,30.0,223.0
32,20200407,MN,1069,28191,29260,29260,29260,27,4.0,19.0,1049.0,83.0,1132.0,,120.0,242.0,64.0,100.0,,,549.0,34.0,242.0
33,20200408,MN,1154,29599,30753,30753,30753,27,5.0,29.0,1408.0,85.0,1493.0,,135.0,271.0,64.0,105.0,,,632.0,39.0,271.0
34,20200409,MN,1242,31052,32294,32294,32294,27,11.0,22.0,1453.0,88.0,1541.0,,145.0,293.0,63.0,119.0,,,675.0,50.0,293.0
35,20200410,MN,1336,32558,33894,33894,33894,27,7.0,24.0,1506.0,94.0,1600.0,,143.0,317.0,64.0,131.0,,,732.0,57.0,317.0
36,20200411,MN,1427,33977,35404,35404,35404,27,7.0,23.0,1419.0,91.0,1510.0,,145.0,340.0,69.0,138.0,,,793.0,64.0,340.0
