,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200307,MO,0,0,0,0,29,,,,,,,,,,,,,,,,
1,20200308,MO,1,1,1,1,29,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
2,20200309,MO,1,1,1,1,29,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,20200310,MO,1,1,1,1,29,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,20200311,MO,1,1,1,1,29,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,20200312,MO,1,65,65,65,29,0.0,0.0,64.0,0.0,64.0,64.0,,,,,,,,,,
6,20200313,MO,2,73,73,73,29,0.0,0.0,7.0,1.0,8.0,71.0,,,,,,,,,,
7,20200314,MO,4,94,94,94,29,0.0,0.0,19.0,2.0,21.0,90.0,,,,,,,,,0.0,
8,20200315,MO,5,127,127,127,29,0.0,0.0,32.0,1.0,33.0,122.0,,,,,,,,,0.0,
9,20200316,MO,6,170,170,170,29,0.0,0.0,42.0,1.0,43.0,164.0,,,,,,,,,0.0,
10,20200317,MO,8,215,215,215,29,0.0,0.0,43.0,2.0,45.0,207.0,,,,,,,,,0.0,
11,20200318,MO,13,266,266,266,29,0.0,0.0,46.0,5.0,51.0,253.0,,,,,,,,,0.0,
12,20200319,MO,24,332,332,332,29,1.0,0.0,55.0,11.0,66.0,308.0,,,,,,,,,1.0,
13,20200320,MO,47,416,416,416,29,0.0,0.0,61.0,23.0,84.0,369.0,,,,,,,,,1.0,
14,20200321,MO,73,442,442,442,29,2.0,0.0,0.0,26.0,26.0,369.0,,,,,,,,,3.0,
15,20200322,MO,90,459,459,459,29,0.0,0.0,0.0,17.0,17.0,369.0,,,,,,,,,3.0,
16,20200323,MO,183,552,552,552,29,0.0,0.0,0.0,93.0,93.0,369.0,,,,,,,,,3.0,
17,20200324,MO,183,552,552,552,29,0.0,0.0,0.0,0.0,0.0,369.0,,,,,,,,,3.0,
18,20200325,MO,356,725,725,725,29,5.0,0.0,0.0,173.0,173.0,369.0,,,,,,,,,8.0,
19,20200326,MO,502,871,871,871,29,0.0,0.0,0.0,146.0,146.0,369.0,,,,,,,,,8.0,
20,20200327,MO,669,1038,1038,1038,29,0.0,0.0,0.0,167.0,167.0,369.0,,,,,,,,,8.0,
21,20200328,MO,838,10920,10920,10920,29,2.0,0.0,9713.0,169.0,9882.0,10082.0,,,,,,,,,10.0,
22,20200329,MO,838,12385,12385,12385,29,0.0,0.0,1465.0,0.0,1465.0,11547.0,,,,,,,,,10.0,
23,20200330,MO,1031,14235,14235,14235,29,3.0,0.0,1657.0,193.0,1850.0,13204.0,,,,,,,,,13.0,
24,20200331,MO,1327,15941,15941,15941,29,1.0,0.0,1410.0,296.0,1706.0,14614.0,,,,,,,,,14.0,
25,20200401,MO,1581,17427,17427,17427,29,4.0,0.0,1232.0,254.0,1486.0,15846.0,,,,,,,,,18.0,
26,20200402,MO,1834,19683,19683,19683,29,1.0,0.0,2003.0,253.0,2256.0,17849.0,,,,,,,,,19.0,
27,20200403,MO,2113,21470,21470,21470,29,0.0,0.0,1508.0,279.0,1787.0,19357.0,,,,,,,,,19.0,
28,20200404,MO,2291,24905,24905,24905,29,5.0,0.0,3257.0,178.0,3435.0,22614.0,,413.0,,,,,,,24.0,
29,20200405,MO,2367,27249,27249,27249,29,10.0,0.0,2268.0,76.0,2344.0,24882.0,,424.0,,,,,,,34.0,
30,20200406,MO,2722,29835,29835,29835,29,5.0,0.0,2231.0,355.0,2586.0,27113.0,,439.0,,,,,,,39.0,
31,20200407,MO,3037,31969,31969,31969,29,14.0,0.0,1819.0,315.0,2134.0,28932.0,,508.0,,,,,,,53.0,
32,20200408,MO,3327,34110,34110,34110,29,5.0,0.0,1851.0,290.0,2141.0,30783.0,,519.0,,,,,,,58.0,
33,20200409,MO,3539,38494,38494,38494,29,19.0,0.0,4172.0,212.0,4384.0,34955.0,,568.0,,,,,,,77.0,
34,20200410,MO,3799,40740,40740,40740,29,19.0,0.0,1986.0,260.0,2246.0,36941.0,,568.0,,,,,,,96.0,
35,20200411,MO,4024,43172,43172,43172,29,13.0,0.0,2207.0,225.0,2432.0,39148.0,,506.0,,,,,,,109.0,
