,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200316,MP,0,0,0,0,69,,,,,,,,,,,,,,,,
1,20200317,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200318,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
3,20200319,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
4,20200320,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
5,20200321,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
6,20200322,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
7,20200323,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
8,20200324,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
9,20200325,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
10,20200326,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
11,20200327,MP,0,0,0,0,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,
12,20200328,MP,2,2,2,2,69,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,,
13,20200329,MP,2,2,2,2,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
14,20200330,MP,2,2,2,2,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
15,20200331,MP,2,2,2,2,69,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
16,20200401,MP,6,6,6,6,69,0.0,0.0,0.0,4.0,4.0,,,,,,,,,,,
17,20200402,MP,8,33,21,21,69,1.0,0.0,13.0,2.0,15.0,13.0,12.0,,,,,,,,1.0,
18,20200403,MP,8,31,21,21,69,0.0,0.0,0.0,0.0,0.0,13.0,10.0,,,,,,,,1.0,
19,20200404,MP,8,31,21,21,69,0.0,0.0,0.0,0.0,0.0,13.0,10.0,,,,,,,,1.0,
20,20200405,MP,8,31,21,21,69,0.0,0.0,0.0,0.0,0.0,13.0,10.0,,,,,,,,1.0,
21,20200406,MP,8,31,21,21,69,0.0,0.0,0.0,0.0,0.0,13.0,10.0,,,,,,,,1.0,
22,20200407,MP,8,23,23,23,69,1.0,0.0,2.0,0.0,2.0,15.0,,,,,,,,,2.0,
23,20200408,MP,11,47,38,38,69,0.0,0.0,12.0,3.0,15.0,27.0,9.0,,,,,,,,2.0,
24,20200409,MP,11,47,38,38,69,0.0,0.0,0.0,0.0,0.0,27.0,9.0,,,,,,,,2.0,
25,20200410,MP,11,47,38,38,69,0.0,0.0,0.0,0.0,0.0,27.0,9.0,,,,,,,,2.0,
26,20200411,MP,11,47,38,38,69,0.0,0.0,0.0,0.0,0.0,27.0,9.0,,,,,,,,2.0,
