,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200307,MS,0,0,0,0,28,,,,,,,,,,,,,,,,
1,20200308,MS,0,0,0,0,28,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200309,MS,0,0,0,0,28,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,20200310,MS,0,0,0,0,28,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,20200311,MS,0,20,20,20,28,0.0,0.0,20.0,0.0,20.0,20.0,,,,,,,,,,
5,20200312,MS,1,42,42,42,28,0.0,0.0,21.0,1.0,22.0,41.0,,,,,,,,,,
6,20200313,MS,4,45,45,45,28,0.0,0.0,0.0,3.0,3.0,41.0,,,,,,,,,,
7,20200314,MS,6,90,90,90,28,0.0,0.0,43.0,2.0,45.0,84.0,,,,,,,,,,
8,20200315,MS,10,94,94,94,28,0.0,0.0,0.0,4.0,4.0,84.0,,,,,,,,,,
9,20200316,MS,12,289,289,289,28,0.0,0.0,193.0,2.0,195.0,277.0,,,,,,,,,,
10,20200317,MS,21,389,389,389,28,0.0,0.0,91.0,9.0,100.0,368.0,,,,,,,,,,
11,20200318,MS,34,513,513,513,28,0.0,0.0,111.0,13.0,124.0,479.0,,,,,,,,,,
12,20200319,MS,50,602,602,602,28,0.0,0.0,73.0,16.0,89.0,552.0,,,,,,,,,,
13,20200320,MS,80,775,775,775,28,1.0,0.0,143.0,30.0,173.0,695.0,,,,,,,,,1.0,
14,20200321,MS,140,835,835,835,28,0.0,0.0,0.0,60.0,60.0,695.0,,,,,,,,,1.0,
15,20200322,MS,207,1321,1321,1321,28,0.0,33.0,419.0,67.0,486.0,1114.0,,,33.0,,,,,,1.0,33.0
16,20200323,MS,249,1392,1392,1392,28,0.0,0.0,29.0,42.0,71.0,1143.0,,,33.0,,,,,,1.0,33.0
17,20200324,MS,320,1872,1872,1872,28,0.0,53.0,409.0,71.0,480.0,1552.0,,,86.0,,,,,,1.0,86.0
18,20200325,MS,377,1943,1943,1943,28,1.0,31.0,14.0,57.0,71.0,1566.0,,,117.0,,,,,,2.0,117.0
19,20200326,MS,485,2776,2776,2776,28,4.0,33.0,725.0,108.0,833.0,2291.0,,,150.0,,,,,,6.0,150.0
20,20200327,MS,579,3139,3139,3139,28,2.0,35.0,269.0,94.0,363.0,2560.0,,,185.0,,,,,,8.0,185.0
21,20200328,MS,663,3223,3223,3223,28,5.0,34.0,0.0,84.0,84.0,2560.0,,,219.0,,,,,,13.0,219.0
22,20200329,MS,758,3318,3318,3318,28,1.0,16.0,0.0,95.0,95.0,2560.0,,,235.0,,,,,,14.0,235.0
23,20200330,MS,847,3836,3836,3836,28,2.0,-40.0,429.0,89.0,518.0,2989.0,,,195.0,,,,,,16.0,195.0
24,20200331,MS,937,4474,4474,4474,28,4.0,16.0,548.0,90.0,638.0,3537.0,,,211.0,,,,,,20.0,211.0
25,20200401,MS,1073,4785,4785,4785,28,2.0,121.0,175.0,136.0,311.0,3712.0,,,332.0,,,,,,22.0,332.0
26,20200402,MS,1177,5930,5930,5930,28,4.0,28.0,1041.0,104.0,1145.0,4753.0,,,360.0,,,,,,26.0,360.0
27,20200403,MS,1358,6111,6111,6111,28,3.0,60.0,0.0,181.0,181.0,4753.0,,,420.0,,,,,,29.0,420.0
28,20200404,MS,1455,6588,6588,6588,28,6.0,16.0,380.0,97.0,477.0,5133.0,,,436.0,,,,,,35.0,436.0
29,20200405,MS,1638,7218,7218,7218,28,8.0,39.0,447.0,183.0,630.0,5580.0,,,475.0,,,,,,43.0,475.0
30,20200406,MS,1738,20370,20370,20370,28,8.0,0.0,13052.0,100.0,13152.0,18632.0,,,475.0,,,,,,51.0,475.0
31,20200407,MS,1915,20547,20547,20547,28,8.0,-98.0,0.0,177.0,177.0,18632.0,,,377.0,,,,,,59.0,377.0
32,20200408,MS,2003,20635,20635,20635,28,8.0,33.0,0.0,88.0,88.0,18632.0,,,410.0,,,,,,67.0,410.0
33,20200409,MS,2260,20892,20892,20892,28,9.0,31.0,0.0,257.0,257.0,18632.0,,,441.0,,,,,,76.0,441.0
34,20200410,MS,2469,21101,21101,21101,28,6.0,41.0,0.0,209.0,209.0,18632.0,,,482.0,,,,,,82.0,482.0
35,20200411,MS,2642,21274,21274,21274,28,11.0,46.0,0.0,173.0,173.0,18632.0,,,528.0,,,,,,93.0,528.0
