,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,NC,1,1,1,1,37,,,,,,,,,,,,,,,,
1,20200305,NC,1,1,1,1,37,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200306,NC,2,2,2,2,37,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
3,20200307,NC,2,2,2,2,37,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,20200308,NC,2,2,2,2,37,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,20200309,NC,2,2,2,2,37,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
6,20200310,NC,7,7,7,7,37,0.0,0.0,0.0,5.0,5.0,,,,,,,,,,,
7,20200311,NC,7,7,7,7,37,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
8,20200312,NC,12,72,72,72,37,0.0,0.0,60.0,5.0,65.0,60.0,,,,,,,,,,
9,20200313,NC,15,101,101,101,37,0.0,0.0,26.0,3.0,29.0,86.0,,,,,,,,,,
10,20200314,NC,23,160,160,160,37,0.0,0.0,51.0,8.0,59.0,137.0,,,,,,,,,,
11,20200315,NC,32,410,259,259,37,0.0,0.0,90.0,9.0,99.0,227.0,151.0,,,,,,,,,
12,20200316,NC,33,480,329,329,37,0.0,0.0,69.0,1.0,70.0,296.0,151.0,,,,,,,,0.0,
13,20200317,NC,40,514,514,514,37,0.0,0.0,178.0,7.0,185.0,474.0,,,,,,,,,0.0,
14,20200318,NC,63,1850,1850,1850,37,0.0,0.0,1313.0,23.0,1336.0,1787.0,,,,,,,,,0.0,
15,20200319,NC,97,2505,2505,2505,37,0.0,0.0,621.0,34.0,655.0,2408.0,,,,,,,,,0.0,
16,20200320,NC,137,3233,3233,3233,37,0.0,0.0,688.0,40.0,728.0,3096.0,,,,,,,,,0.0,
17,20200321,NC,184,5276,5276,5276,37,0.0,0.0,1996.0,47.0,2043.0,5092.0,,,,,,,,,0.0,
18,20200322,NC,255,6438,6438,6438,37,0.0,0.0,1091.0,71.0,1162.0,6183.0,,,,,,,,,0.0,
19,20200323,NC,297,8438,8438,8438,37,0.0,0.0,1958.0,42.0,2000.0,8141.0,,,,,,,,,0.0,
20,20200324,NC,398,8539,8539,8539,37,0.0,0.0,0.0,101.0,101.0,8141.0,,,,,,,,,0.0,
21,20200325,NC,504,10489,10489,10489,37,1.0,0.0,1844.0,106.0,1950.0,9985.0,,29.0,,,,,,,1.0,
22,20200326,NC,636,12910,12910,12910,37,1.0,0.0,2289.0,132.0,2421.0,12274.0,,29.0,,,,,,,2.0,
23,20200327,NC,763,15136,15136,15136,37,1.0,0.0,2099.0,127.0,2226.0,14373.0,,77.0,,,,,,,3.0,
24,20200328,NC,935,17527,17527,17527,37,1.0,0.0,2219.0,172.0,2391.0,16592.0,,87.0,,,,,,,4.0,
25,20200329,NC,1040,18945,18945,18945,37,0.0,0.0,1313.0,105.0,1418.0,17905.0,,91.0,,,,,,,4.0,
26,20200330,NC,1307,20864,20864,20864,37,2.0,0.0,1652.0,267.0,1919.0,19557.0,,137.0,,,,,,,6.0,
27,20200331,NC,1498,23106,23106,23106,37,2.0,0.0,2051.0,191.0,2242.0,21608.0,,157.0,,,,,,,8.0,
28,20200401,NC,1584,26243,26243,26243,37,2.0,0.0,3051.0,86.0,3137.0,24659.0,,204.0,,,,,,,10.0,
29,20200402,NC,1857,28679,28679,28679,37,6.0,0.0,2163.0,273.0,2436.0,26822.0,,184.0,,,,,,,16.0,
30,20200403,NC,2093,31598,31598,31598,37,3.0,0.0,2683.0,236.0,2919.0,29505.0,,184.0,,,,,,,19.0,
31,20200404,NC,2402,38773,38773,38773,37,5.0,0.0,6866.0,309.0,7175.0,36371.0,,271.0,,,,,,,24.0,
32,20200405,NC,2585,40045,40045,40045,37,7.0,0.0,1089.0,183.0,1272.0,37460.0,,261.0,,,,,,,31.0,
33,20200406,NC,2870,40726,40726,40726,37,2.0,0.0,396.0,285.0,681.0,37856.0,,270.0,,,,,,,33.0,
34,20200407,NC,3221,41082,41082,41082,37,13.0,0.0,5.0,351.0,356.0,37861.0,,354.0,,,,,,,46.0,
35,20200408,NC,3426,42987,42987,42987,37,7.0,0.0,1700.0,205.0,1905.0,39561.0,,386.0,,,,,,,53.0,
36,20200409,NC,3651,47809,47809,47809,37,12.0,0.0,4597.0,225.0,4822.0,44158.0,,398.0,,,,,,,65.0,
37,20200410,NC,3908,57645,57645,57645,37,9.0,0.0,9579.0,257.0,9836.0,53737.0,,423.0,,,,,,,74.0,
38,20200411,NC,4312,60393,60393,60393,37,6.0,0.0,2344.0,404.0,2748.0,56081.0,,362.0,,,,,,,80.0,
