,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200307,ND,0,0,0,0,0,38,,,,,,,,,,,,,,,
1,20200308,ND,0,0,0,0,0,38,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2,20200309,ND,0,0,0,0,0,38,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
3,20200310,ND,0,6,8,6,6,38,0.0,0.0,6.0,0.0,6.0,2.0,,,,,,,,,
4,20200311,ND,0,7,13,7,7,38,0.0,0.0,1.0,0.0,1.0,6.0,,,,,,,,,
5,20200312,ND,1,12,27,13,13,38,0.0,0.0,5.0,1.0,6.0,14.0,,,,,,,,,
6,20200313,ND,1,39,52,40,40,38,0.0,0.0,27.0,0.0,27.0,12.0,,,,,,,,0.0,
7,20200314,ND,1,54,69,55,55,38,0.0,0.0,15.0,0.0,15.0,14.0,,,,,,,,0.0,
8,20200315,ND,1,95,100,96,96,38,0.0,0.0,41.0,0.0,41.0,4.0,,,,,,,,0.0,
9,20200316,ND,1,123,124,124,124,38,0.0,0.0,28.0,0.0,28.0,0.0,,,,,,,,0.0,
10,20200317,ND,3,220,223,223,223,38,0.0,0.0,97.0,2.0,99.0,0.0,,,,,,,,0.0,
11,20200318,ND,6,268,274,274,274,38,0.0,0.0,48.0,3.0,51.0,,,,,,,,,0.0,
12,20200319,ND,15,493,508,508,508,38,0.0,0.0,225.0,9.0,234.0,,,,,,,,,0.0,
13,20200320,ND,20,800,820,820,820,38,0.0,0.0,307.0,5.0,312.0,,,,,,,,,0.0,
14,20200321,ND,28,1141,1169,1169,1169,38,0.0,3.0,341.0,8.0,349.0,,,3.0,,,,,,0.0,3.0
15,20200322,ND,28,1260,1288,1288,1288,38,0.0,0.0,119.0,0.0,119.0,,,3.0,,,,,,0.0,3.0
16,20200323,ND,30,1353,1383,1383,1383,38,0.0,1.0,93.0,2.0,95.0,,,4.0,,,,,,0.0,4.0
17,20200324,ND,34,1454,1488,1488,1488,38,0.0,1.0,101.0,4.0,105.0,,,5.0,,,,,,0.0,5.0
18,20200325,ND,39,1734,1773,1773,1773,38,0.0,3.0,280.0,5.0,285.0,,,8.0,,,,,,0.0,8.0
19,20200326,ND,52,2039,2091,2091,2091,38,0.0,2.0,305.0,13.0,318.0,,,10.0,,,,,,0.0,10.0
20,20200327,ND,65,2427,2492,2492,2492,38,0.0,3.0,388.0,13.0,401.0,,,13.0,,,,,15.0,0.0,13.0
21,20200328,ND,83,2809,2892,2892,2892,38,1.0,3.0,382.0,18.0,400.0,,,16.0,,,,,16.0,1.0,16.0
22,20200329,ND,98,3355,3453,3453,3453,38,0.0,1.0,546.0,15.0,561.0,,,17.0,,,,,18.0,1.0,17.0
23,20200330,ND,109,3728,3837,3837,3837,38,1.0,2.0,373.0,11.0,384.0,,,19.0,,,,,19.0,2.0,19.0
24,20200331,ND,126,4131,4257,4257,4257,38,1.0,2.0,403.0,17.0,420.0,,,21.0,,,,,30.0,3.0,21.0
25,20200401,ND,142,4351,4493,4493,4493,38,0.0,2.0,220.0,16.0,236.0,,,23.0,,,,,34.0,3.0,23.0
26,20200402,ND,159,4821,4980,4980,4980,38,0.0,5.0,470.0,17.0,487.0,,,28.0,,,,,43.0,3.0,28.0
27,20200403,ND,173,5625,5798,5798,5798,38,0.0,1.0,804.0,14.0,818.0,,,29.0,,,,,55.0,3.0,29.0
28,20200404,ND,186,6021,6207,6207,6207,38,0.0,1.0,396.0,13.0,409.0,,,30.0,,,,,63.0,3.0,30.0
29,20200405,ND,207,6580,6787,6787,6787,38,0.0,1.0,559.0,21.0,580.0,,20.0,31.0,,,,,63.0,3.0,31.0
30,20200406,ND,225,6988,7213,7213,7213,38,0.0,1.0,408.0,18.0,426.0,,19.0,32.0,,,,,74.0,3.0,32.0
31,20200407,ND,237,7466,7703,7703,7703,38,1.0,1.0,478.0,12.0,490.0,,18.0,33.0,,,,,82.0,4.0,33.0
32,20200408,ND,251,8301,8552,8552,8552,38,0.0,1.0,835.0,14.0,849.0,,16.0,34.0,,,,,98.0,4.0,34.0
33,20200409,ND,269,8721,8990,8990,8990,38,1.0,0.0,420.0,18.0,438.0,,14.0,34.0,,,,,101.0,5.0,34.0
34,20200410,ND,278,9330,9608,9608,9608,38,1.0,2.0,609.0,9.0,618.0,,13.0,36.0,,,,,105.0,6.0,36.0
35,20200411,ND,293,9787,10080,10080,10080,38,1.0,0.0,457.0,15.0,472.0,,10.0,36.0,,,,,119.0,7.0,36.0
