,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200305,NE,0,17,5.0,22,17,17,31,,,,,,,,,,,,,,
1,20200306,NE,0,17,5.0,22,17,17,31,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,20200307,NE,1,17,5.0,23,18,18,31,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
3,20200308,NE,1,17,5.0,23,18,18,31,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,20200309,NE,3,36,9.0,48,39,39,31,0.0,0.0,19.0,2.0,21.0,,,,,,,,,
5,20200310,NE,3,47,16.0,66,50,50,31,0.0,0.0,11.0,0.0,11.0,,,,,,,,,
6,20200311,NE,5,47,16.0,68,52,52,31,0.0,0.0,0.0,2.0,2.0,,,,,,,,,
7,20200312,NE,10,80,33.0,123,90,90,31,0.0,0.0,33.0,5.0,38.0,,,,,,,,,
8,20200313,NE,13,80,33.0,126,93,93,31,0.0,0.0,0.0,3.0,3.0,,,,,,,,,
9,20200314,NE,14,80,33.0,127,94,94,31,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
10,20200315,NE,17,80,33.0,130,97,97,31,0.0,0.0,0.0,3.0,3.0,,,,,,,,,
11,20200316,NE,18,170,,188,188,188,31,0.0,0.0,90.0,1.0,91.0,,,,,,,,,
12,20200317,NE,21,206,,227,227,227,31,0.0,0.0,36.0,3.0,39.0,,,,,,,,,
13,20200318,NE,24,206,,230,230,230,31,0.0,0.0,0.0,3.0,3.0,,,,,,,,,
14,20200319,NE,27,240,,267,267,267,31,0.0,0.0,34.0,3.0,37.0,,,,,,,,0.0,
15,20200320,NE,32,240,,272,272,272,31,0.0,0.0,0.0,5.0,5.0,,,,,,,,0.0,
16,20200321,NE,38,356,,394,394,394,31,0.0,0.0,116.0,6.0,122.0,,,,,,,,0.0,
17,20200322,NE,48,356,,404,404,404,31,0.0,0.0,0.0,10.0,10.0,,,,,,,,0.0,
18,20200323,NE,50,356,,406,406,406,31,0.0,0.0,0.0,2.0,2.0,,,,,,,,0.0,
19,20200324,NE,52,975,,1027,1027,1027,31,0.0,0.0,619.0,2.0,621.0,,,,,,,,0.0,
20,20200325,NE,61,1304,,1365,1365,1365,31,0.0,0.0,329.0,9.0,338.0,,,,,,,,0.0,
21,20200326,NE,73,1584,,1657,1657,1657,31,0.0,0.0,280.0,12.0,292.0,,,,,,,,0.0,
22,20200327,NE,85,1761,,1846,1846,1846,31,0.0,0.0,177.0,12.0,189.0,,,,,,,,0.0,
23,20200328,NE,96,1904,,2000,2000,2000,31,2.0,0.0,143.0,11.0,154.0,,,,,,,,2.0,
24,20200329,NE,108,1968,4.0,2080,2076,2076,31,0.0,0.0,64.0,12.0,76.0,,,,,,,,2.0,
25,20200330,NE,145,2584,5.0,2734,2729,2729,31,0.0,0.0,616.0,37.0,653.0,,,,,,,,2.0,
26,20200331,NE,172,2931,8.0,3111,3103,3103,31,1.0,0.0,347.0,27.0,374.0,,,,,,,,3.0,
27,20200401,NE,210,3475,8.0,3693,3685,3685,31,1.0,0.0,544.0,38.0,582.0,,,,,,,,4.0,
28,20200402,NE,246,3978,11.0,4235,4224,4224,31,1.0,0.0,503.0,36.0,539.0,,,,,,,,5.0,
29,20200403,NE,279,4487,11.0,4777,4766,4766,31,1.0,0.0,509.0,33.0,542.0,,,,,,,,6.0,
30,20200404,NE,321,5058,10.0,5389,5379,5379,31,0.0,0.0,571.0,42.0,613.0,,,,,,,,6.0,
31,20200405,NE,363,5558,12.0,5933,5921,5921,31,2.0,0.0,500.0,42.0,542.0,,,,,,,,8.0,
32,20200406,NE,409,6378,8.0,6795,6787,6787,31,0.0,0.0,820.0,46.0,866.0,,,,,,,,8.0,
33,20200407,NE,447,6811,,7258,7258,7258,31,2.0,0.0,433.0,38.0,471.0,,,,,,,,10.0,
34,20200408,NE,519,7442,,7961,7961,7961,31,2.0,0.0,631.0,72.0,703.0,,,,,,,,12.0,
35,20200409,NE,567,8116,,8683,8683,8683,31,2.0,0.0,674.0,48.0,722.0,,,,,,,,14.0,
36,20200410,NE,635,8719,,9354,9354,9354,31,1.0,0.0,603.0,68.0,671.0,,,,,,,,15.0,
37,20200411,NE,700,9285,,9985,9985,9985,31,2.0,0.0,566.0,65.0,631.0,,,,,,,,17.0,
