,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,NH,2,10,7,19,12,12,33,,,,,,,,,,,,,,
1,20200305,NH,2,16,4,22,18,18,33,0.0,0.0,6.0,0.0,6.0,,,,,,,,,
2,20200306,NH,2,20,3,25,22,22,33,0.0,0.0,4.0,0.0,4.0,,,,,,,,,
3,20200307,NH,2,20,3,25,22,22,33,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,20200308,NH,4,38,5,47,42,42,33,0.0,0.0,18.0,2.0,20.0,,,,,,,,,
5,20200309,NH,4,38,5,47,42,42,33,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,20200310,NH,4,38,5,47,42,42,33,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,20200311,NH,4,38,5,47,42,42,33,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,20200312,NH,6,94,21,121,100,100,33,0.0,0.0,56.0,2.0,58.0,,,,,,,,,
9,20200313,NH,6,94,21,121,100,100,33,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
10,20200314,NH,7,212,31,250,219,219,33,0.0,0.0,118.0,1.0,119.0,,,,,,,,,
11,20200315,NH,13,271,95,379,284,284,33,0.0,0.0,59.0,6.0,65.0,,,,,,,,,
12,20200316,NH,13,271,95,379,284,284,33,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
13,20200317,NH,17,355,195,567,372,372,33,0.0,0.0,84.0,4.0,88.0,,,,,,,,,
14,20200318,NH,26,513,208,747,539,539,33,0.0,0.0,158.0,9.0,167.0,,,,,,,,,
15,20200319,NH,39,621,231,891,660,660,33,0.0,0.0,108.0,13.0,121.0,,,,,,,,,
16,20200320,NH,44,745,631,1420,789,789,33,0.0,0.0,124.0,5.0,129.0,,,,,,,,,
17,20200321,NH,55,973,942,1970,1028,1028,33,0.0,0.0,228.0,11.0,239.0,,,,,,,,,
18,20200322,NH,65,1188,959,2212,1253,1253,33,0.0,0.0,215.0,10.0,225.0,,,,,,,,,
19,20200323,NH,78,1374,889,2341,1452,1452,33,0.0,0.0,186.0,13.0,199.0,,,,,,,,,
20,20200324,NH,101,1447,869,2417,1548,1548,33,1.0,11.0,73.0,23.0,96.0,,11.0,,,,,,1.0,11.0
21,20200325,NH,108,2356,804,3268,2464,2464,33,0.0,2.0,909.0,7.0,916.0,,13.0,,,,,,1.0,13.0
22,20200326,NH,137,3001,712,3850,3138,3138,33,0.0,6.0,645.0,29.0,674.0,,19.0,,,,,,1.0,19.0
23,20200327,NH,158,3395,592,4145,3553,3553,33,0.0,6.0,394.0,21.0,415.0,,25.0,,,,,,1.0,25.0
24,20200328,NH,187,3656,296,4139,3843,3843,33,1.0,5.0,261.0,29.0,290.0,,30.0,,,,,,2.0,30.0
25,20200329,NH,214,4524,285,5023,4738,4738,33,0.0,3.0,868.0,27.0,895.0,,33.0,,,,,,2.0,33.0
26,20200330,NH,314,5386,144,5844,5700,5700,33,1.0,12.0,862.0,100.0,962.0,,45.0,,,,,,3.0,45.0
27,20200331,NH,314,5413,65,5792,5727,5727,33,0.0,0.0,27.0,0.0,27.0,,45.0,,,,,,3.0,45.0
28,20200401,NH,415,5985,97,6497,6400,6400,33,1.0,11.0,572.0,101.0,673.0,,56.0,,,,,56.0,4.0,56.0
29,20200402,NH,415,6078,126,6619,6493,6493,33,0.0,2.0,93.0,0.0,93.0,,58.0,,,,,91.0,4.0,58.0
30,20200403,NH,479,6575,114,7168,7054,7054,33,1.0,15.0,497.0,64.0,561.0,,73.0,,,,,101.0,5.0,73.0
31,20200404,NH,540,6965,94,7599,7505,7505,33,2.0,7.0,390.0,61.0,451.0,,80.0,,,,,144.0,7.0,80.0
32,20200405,NH,621,7411,93,8125,8032,8032,33,2.0,6.0,446.0,81.0,527.0,,86.0,,,,,146.0,9.0,86.0
33,20200406,NH,669,7701,101,8471,8370,8370,33,0.0,6.0,290.0,48.0,338.0,,92.0,,,,,147.0,9.0,92.0
34,20200407,NH,715,8019,49,8783,8734,8734,33,0.0,11.0,318.0,46.0,364.0,,103.0,,,,,151.0,9.0,103.0
35,20200408,NH,788,8389,89,9266,9177,9177,33,9.0,15.0,370.0,73.0,443.0,,118.0,,,,,211.0,18.0,118.0
36,20200409,NH,788,8763,143,9694,9551,9551,33,0.0,0.0,374.0,0.0,374.0,,118.0,,,,,227.0,18.0,118.0
37,20200410,NH,819,9139,155,10113,9958,9958,33,3.0,6.0,376.0,31.0,407.0,,124.0,,,,,234.0,21.0,124.0
38,20200411,NH,885,9608,93,10586,10493,10493,33,1.0,10.0,469.0,66.0,535.0,,134.0,,,,,234.0,22.0,134.0
