,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200305,NJ,1,1,1,1,34,,,,,,,,,,,,,,,,
1,20200306,NJ,1,1,1,1,34,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200307,NJ,4,5,4,4,34,0.0,0.0,0.0,3.0,3.0,,1.0,,,,,,,,,
3,20200308,NJ,6,37,37,37,34,0.0,0.0,31.0,2.0,33.0,31.0,0.0,,,,,,,,,
4,20200309,NJ,11,60,46,46,34,0.0,0.0,4.0,5.0,9.0,35.0,14.0,,,,,,,,,
5,20200310,NJ,15,79,59,59,34,0.0,0.0,9.0,4.0,13.0,44.0,20.0,,,,,,,,,
6,20200311,NJ,24,101,81,81,34,1.0,0.0,13.0,9.0,22.0,57.0,20.0,,,,,,,,1.0,
7,20200312,NJ,30,124,104,104,34,0.0,0.0,17.0,6.0,23.0,74.0,20.0,,,,,,,,1.0,
8,20200313,NJ,50,227,147,147,34,0.0,0.0,23.0,20.0,43.0,97.0,80.0,,,,,,,,1.0,
9,20200314,NJ,50,227,147,147,34,0.0,0.0,0.0,0.0,0.0,97.0,80.0,,,,,,,,1.0,
10,20200315,NJ,98,252,218,218,34,1.0,0.0,23.0,48.0,71.0,120.0,34.0,,,,,,,,2.0,
11,20200316,NJ,178,318,298,298,34,0.0,0.0,0.0,80.0,80.0,120.0,20.0,,,,,,,,2.0,
12,20200317,NJ,267,485,430,430,34,1.0,0.0,43.0,89.0,132.0,163.0,55.0,,,,,,,,3.0,
13,20200318,NJ,427,638,617,617,34,2.0,0.0,27.0,160.0,187.0,190.0,21.0,,,,,,,,5.0,
14,20200319,NJ,742,1026,952,952,34,4.0,0.0,20.0,315.0,335.0,210.0,74.0,,,,,,,,9.0,
15,20200320,NJ,890,1240,1154,1154,34,2.0,0.0,54.0,148.0,202.0,264.0,86.0,,,,,,,,11.0,
16,20200321,NJ,1327,1661,1621,1621,34,5.0,0.0,30.0,437.0,467.0,294.0,40.0,,,,,,,,16.0,
17,20200322,NJ,1914,2290,2241,2241,34,4.0,0.0,33.0,587.0,620.0,327.0,49.0,,,,,,,,20.0,
18,20200323,NJ,2844,3297,3203,3203,34,7.0,0.0,32.0,930.0,962.0,359.0,94.0,,,,,,,,27.0,
19,20200324,NJ,3675,12045,12000,12000,34,17.0,0.0,7966.0,831.0,8797.0,8325.0,45.0,,,,,,,,44.0,
20,20200325,NJ,4402,14854,14854,14854,34,18.0,0.0,2127.0,727.0,2854.0,10452.0,,,,,,,,,62.0,
21,20200326,NJ,6876,20537,20537,20537,34,19.0,0.0,3209.0,2474.0,5683.0,13661.0,,1080.0,,,,,,,81.0,
22,20200327,NJ,8825,25372,25372,25372,34,27.0,0.0,2886.0,1949.0,4835.0,16547.0,,2000.0,,,,,,,108.0,
23,20200328,NJ,11124,30510,30510,30510,34,32.0,0.0,2839.0,2299.0,5138.0,19386.0,,2000.0,,,,,,,140.0,
24,20200329,NJ,13386,35602,35602,35602,34,21.0,0.0,2830.0,2262.0,5092.0,22216.0,,2000.0,,,,,,,161.0,
25,20200330,NJ,16636,41860,41860,41860,34,37.0,0.0,3008.0,3250.0,6258.0,25224.0,,2000.0,,,,,,,198.0,
26,20200331,NJ,18696,45773,45773,45773,34,69.0,0.0,1853.0,2060.0,3913.0,27077.0,,2000.0,,,,,,,267.0,
27,20200401,NJ,22255,52642,52642,52642,34,88.0,0.0,3310.0,3559.0,6869.0,30387.0,,2000.0,,,,,,,355.0,
28,20200402,NJ,25590,59110,59110,59110,34,182.0,0.0,3133.0,3335.0,6468.0,33520.0,,2000.0,,,,,,,537.0,
29,20200403,NJ,29895,67503,67503,67503,34,109.0,0.0,4088.0,4305.0,8393.0,37608.0,,3016.0,,,,,,,646.0,
30,20200404,NJ,34124,75356,75356,75356,34,200.0,0.0,3624.0,4229.0,7853.0,41232.0,,4000.0,,,,,,,846.0,
31,20200405,NJ,37505,82166,82166,82166,34,71.0,0.0,3429.0,3381.0,6810.0,44661.0,,4000.0,,,,,,,917.0,
32,20200406,NJ,41090,89032,89032,89032,34,86.0,0.0,3281.0,3585.0,6866.0,47942.0,,6390.0,,,,1263.0,,,1003.0,
33,20200407,NJ,44416,94974,94974,94974,34,229.0,0.0,2616.0,3326.0,5942.0,50558.0,,7017.0,,1651.0,,1540.0,,,1232.0,
34,20200408,NJ,47437,100416,100416,100416,34,272.0,0.0,2421.0,3021.0,5442.0,52979.0,,7026.0,,1617.0,,1576.0,,,1504.0,
35,20200409,NJ,51027,107192,107192,107192,34,196.0,0.0,3186.0,3590.0,6776.0,56165.0,,7363.0,,1523.0,,1551.0,,,1700.0,
36,20200410,NJ,54588,113523,113523,113523,34,232.0,0.0,2770.0,3561.0,6331.0,58935.0,,7570.0,,1679.0,,1663.0,,682.0,1932.0,
37,20200411,NJ,58151,120193,120193,120193,34,251.0,0.0,3107.0,3563.0,6670.0,62042.0,,7618.0,,1746.0,,1650.0,,,2183.0,
