,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200306,NM,0,16,0.0,16,16,16,35,,,,,,,,,,,,,,
1,20200307,NM,0,48,0.0,48,48,48,35,0.0,0.0,32.0,0.0,32.0,,,,,,,,,
2,20200308,NM,0,48,0.0,48,48,48,35,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,20200309,NM,0,57,0.0,57,57,57,35,0.0,0.0,9.0,0.0,9.0,,,,,,,,,
4,20200310,NM,0,69,,69,69,69,35,0.0,0.0,12.0,0.0,12.0,,,,,,,,,
5,20200311,NM,3,87,,90,90,90,35,0.0,0.0,18.0,3.0,21.0,,,,,,,,,
6,20200312,NM,5,155,,160,160,160,35,0.0,0.0,68.0,2.0,70.0,,,,,,,,,
7,20200313,NM,10,190,,200,200,200,35,0.0,0.0,35.0,5.0,40.0,,,,,,,,,
8,20200314,NM,10,237,,247,247,247,35,0.0,0.0,47.0,0.0,47.0,,,,,,,,,
9,20200315,NM,13,482,,495,495,495,35,0.0,0.0,245.0,3.0,248.0,,,,,,,,,
10,20200316,NM,17,566,,583,583,583,35,0.0,0.0,84.0,4.0,88.0,,,,,,,,,
11,20200317,NM,23,1249,,1272,1272,1272,35,0.0,0.0,683.0,6.0,689.0,,,,,,,,,
12,20200318,NM,28,2326,,2354,2354,2354,35,0.0,0.0,1077.0,5.0,1082.0,,,,,,,,,
13,20200319,NM,35,2762,,2797,2797,2797,35,0.0,0.0,436.0,7.0,443.0,,,,,,,,,
14,20200320,NM,43,3771,,3814,3814,3814,35,0.0,0.0,1009.0,8.0,1017.0,,,,,,,,,
15,20200321,NM,57,3771,,3828,3828,3828,35,0.0,0.0,0.0,14.0,14.0,,,,,,,,,
16,20200322,NM,57,4722,,4779,4779,4779,35,0.0,0.0,951.0,0.0,951.0,,,,,,,,,
17,20200323,NM,65,5321,,5386,5386,5386,35,0.0,0.0,599.0,8.0,607.0,,,,,,,,,
18,20200324,NM,83,5890,,5973,5973,5973,35,0.0,0.0,569.0,18.0,587.0,,,,,,,,,
19,20200325,NM,100,6742,,6842,6842,6842,35,1.0,0.0,852.0,17.0,869.0,,,,,,,,1.0,
20,20200326,NM,112,7681,,7793,7793,7793,35,0.0,0.0,939.0,12.0,951.0,,,,,,,,1.0,
21,20200327,NM,136,8377,,8513,8513,8513,35,0.0,0.0,696.0,24.0,720.0,,,,,,,,1.0,
22,20200328,NM,191,9196,,9387,9387,9387,35,0.0,0.0,819.0,55.0,874.0,17.0,,,,,,,1.0,
23,20200329,NM,237,10769,,11006,11006,11006,35,1.0,0.0,1573.0,46.0,1619.0,19.0,,,,,,2.0,2.0,
24,20200330,NM,237,10942,,11179,11179,11179,35,0.0,0.0,173.0,0.0,173.0,22.0,,,,,,26.0,2.0,
25,20200331,NM,281,12246,,12527,12527,12527,35,2.0,0.0,1304.0,44.0,1348.0,22.0,,,,,,26.0,4.0,
26,20200401,NM,315,12925,,13240,13240,13240,35,1.0,0.0,679.0,34.0,713.0,24.0,,,,,,26.0,5.0,
27,20200402,NM,363,13648,,14011,14011,14011,35,1.0,0.0,723.0,48.0,771.0,31.0,,,,,,26.0,6.0,
28,20200403,NM,403,14375,,14778,14778,14778,35,1.0,0.0,727.0,40.0,767.0,31.0,,,,,,26.0,7.0,
29,20200404,NM,495,15137,,15632,15632,15632,35,3.0,0.0,762.0,92.0,854.0,41.0,,,,18.0,,26.0,10.0,
30,20200405,NM,543,16285,,16828,16828,16828,35,1.0,0.0,1148.0,48.0,1196.0,37.0,,,,18.0,,54.0,11.0,
31,20200406,NM,624,18512,,19136,19136,19136,35,1.0,0.0,2227.0,81.0,2308.0,45.0,,,,18.0,,130.0,12.0,
32,20200407,NM,686,21139,,21825,21825,21825,35,0.0,0.0,2627.0,62.0,2689.0,48.0,,,,18.0,,133.0,12.0,
33,20200408,NM,794,21451,,22245,22245,22245,35,1.0,0.0,312.0,108.0,420.0,51.0,,,,18.0,,171.0,13.0,
34,20200409,NM,865,22942,,23807,23807,23807,35,3.0,0.0,1491.0,71.0,1562.0,59.0,,,,18.0,,201.0,16.0,
35,20200410,NM,1091,26007,,27098,27098,27098,35,3.0,0.0,3065.0,226.0,3291.0,73.0,,,,18.0,,217.0,19.0,
36,20200411,NM,1091,26007,,27098,27098,27098,35,0.0,0.0,0.0,0.0,0.0,75.0,,,,18.0,,235.0,19.0,
