,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200305,NV,1,14,15,15,15,32,,,,,,,,,,,,,,,
1,20200306,NV,1,14,15,15,15,32,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2,20200307,NV,1,14,15,15,15,32,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
3,20200308,NV,1,14,15,15,15,32,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
4,20200309,NV,1,14,15,15,15,32,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
5,20200310,NV,1,14,15,15,15,32,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
6,20200311,NV,5,168,173,173,173,32,0.0,0.0,154.0,4.0,158.0,,,,,,,,,,
7,20200312,NV,7,168,175,175,175,32,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,
8,20200313,NV,11,168,179,179,179,32,0.0,0.0,0.0,4.0,4.0,,,,,,,,,,
9,20200314,NV,20,168,188,188,188,32,0.0,0.0,0.0,9.0,9.0,,,,,,,,,,
10,20200315,NV,21,168,353,189,189,32,0.0,0.0,0.0,1.0,1.0,164.0,,,,,,,,,
11,20200316,NV,45,168,213,213,213,32,1.0,0.0,0.0,24.0,24.0,,,,,,,,,1.0,
12,20200317,NV,55,168,223,223,223,32,0.0,0.0,0.0,10.0,10.0,,,,,,,,,1.0,
13,20200318,NV,55,168,223,223,223,32,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,
14,20200319,NV,95,1626,1721,1721,1721,32,0.0,0.0,1458.0,40.0,1498.0,,,,,,,,,1.0,
15,20200320,NV,109,1992,2101,2101,2101,32,0.0,0.0,366.0,14.0,380.0,,,,,,,,,1.0,
16,20200321,NV,124,2384,2508,2508,2508,32,1.0,0.0,392.0,15.0,407.0,,,,,,,,,2.0,
17,20200322,NV,190,2448,2638,2638,2638,32,0.0,0.0,64.0,66.0,130.0,,,,,,,,,2.0,
18,20200323,NV,245,3490,3735,3735,3735,32,2.0,0.0,1042.0,55.0,1097.0,,,,,,,,,4.0,
19,20200324,NV,278,3954,4232,4232,4232,32,0.0,0.0,464.0,33.0,497.0,,,,,,,,,4.0,
20,20200325,NV,321,4251,4572,4572,4572,32,2.0,0.0,297.0,43.0,340.0,,,,,,,,,6.0,
21,20200326,NV,420,4697,5117,5117,5117,32,4.0,0.0,446.0,99.0,545.0,,,,,,,,,10.0,
22,20200327,NV,535,6161,6696,6696,6696,32,0.0,0.0,1464.0,115.0,1579.0,,,,,,,,,10.0,
23,20200328,NV,621,7901,8522,8522,8522,32,0.0,0.0,1740.0,86.0,1826.0,,,,,,,,,10.0,
24,20200329,NV,738,8412,9150,9150,9150,32,4.0,0.0,511.0,117.0,628.0,,,,,,,,,14.0,
25,20200330,NV,1008,10207,11215,11215,11215,32,1.0,0.0,1795.0,270.0,2065.0,,,,,,,,,15.0,
26,20200331,NV,1113,10681,11794,11794,11794,32,2.0,0.0,474.0,105.0,579.0,,,,,,,,,17.0,
27,20200401,NV,1279,11519,12798,12798,12798,32,9.0,0.0,838.0,166.0,1004.0,,,,,,,,,26.0,
28,20200402,NV,1458,12588,14046,14046,14046,32,12.0,0.0,1069.0,179.0,1248.0,,,,,,,,,38.0,
29,20200403,NV,1514,13018,14532,14532,14532,32,5.0,0.0,430.0,56.0,486.0,,,,,,,,,43.0,
30,20200404,NV,1742,14421,16163,16163,16163,32,3.0,0.0,1403.0,228.0,1631.0,,,,,,,,,46.0,
31,20200405,NV,1836,14995,16831,16831,16831,32,0.0,0.0,574.0,94.0,668.0,,,,,,,,,46.0,
32,20200406,NV,1953,15676,17629,17629,17629,32,0.0,0.0,681.0,117.0,798.0,,,,,,,,,46.0,
33,20200407,NV,2087,16552,18639,18639,18639,32,12.0,0.0,876.0,134.0,1010.0,,282.0,,,,,,,58.0,
34,20200408,NV,2318,18248,20566,20566,20566,32,13.0,0.0,1696.0,231.0,1927.0,,282.0,,,,,,,71.0,
35,20200409,NV,2456,19315,21771,21771,21771,32,9.0,0.0,1067.0,138.0,1205.0,,282.0,,,,,,,80.0,
36,20200410,NV,2584,20165,22749,22749,22749,32,6.0,0.0,850.0,128.0,978.0,,282.0,,,,,,,86.0,
37,20200411,NV,2700,20887,23587,23587,23587,32,16.0,0.0,722.0,116.0,838.0,,282.0,,,,,,,102.0,
