,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,NY,6,48,24.0,78,54,54,36,,,,,,,,,,,,,,
1,20200305,NY,22,76,24.0,122,98,98,36,0.0,0.0,28.0,16.0,44.0,,,,,,,,,
2,20200306,NY,33,92,236.0,361,125,125,36,0.0,0.0,16.0,11.0,27.0,,,,,,,,,
3,20200307,NY,76,92,236.0,404,168,168,36,0.0,0.0,0.0,43.0,43.0,,,,,,,,,
4,20200308,NY,105,92,,197,197,197,36,0.0,0.0,0.0,29.0,29.0,,,,,,,,,
5,20200309,NY,142,92,,234,234,234,36,0.0,0.0,0.0,37.0,37.0,,,,,,,,,
6,20200310,NY,173,92,,265,265,265,36,0.0,0.0,0.0,31.0,31.0,,,,,,,,,
7,20200311,NY,216,92,,308,308,308,36,0.0,0.0,0.0,43.0,43.0,,,,,,,,,
8,20200312,NY,216,92,,308,308,308,36,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,20200313,NY,421,2779,,3200,3200,3200,36,0.0,0.0,2687.0,205.0,2892.0,,,,,,,,,
10,20200314,NY,524,2779,,3303,3303,3303,36,0.0,0.0,0.0,103.0,103.0,,,,,,,,,
11,20200315,NY,729,4543,,5272,5272,5272,36,3.0,0.0,1764.0,205.0,1969.0,,,,,,,,3.0,
12,20200316,NY,950,4543,,5493,5493,5493,36,4.0,0.0,0.0,221.0,221.0,,,,,,,,7.0,
13,20200317,NY,1700,5506,,7206,7206,7206,36,0.0,0.0,963.0,750.0,1713.0,,,,,,,,7.0,
14,20200318,NY,2382,12215,,14597,14597,14597,36,5.0,0.0,6709.0,682.0,7391.0,,,,,,,,12.0,
15,20200319,NY,4152,18132,,22284,22284,22284,36,0.0,0.0,5917.0,1770.0,7687.0,,,,,,,,12.0,
16,20200320,NY,7102,25325,,32427,32427,32427,36,23.0,0.0,7193.0,2950.0,10143.0,,,,,,,,35.0,
17,20200321,NY,10356,35081,,45437,45437,45437,36,9.0,1603.0,9756.0,3254.0,13010.0,,1603.0,,,,,,44.0,1603.0
18,20200322,NY,15168,46233,,61401,61401,61401,36,70.0,371.0,11152.0,4812.0,15964.0,,1974.0,,,,,,114.0,1974.0
19,20200323,NY,20875,57414,,78289,78289,78289,36,0.0,661.0,11181.0,5707.0,16888.0,,2635.0,,,,,,114.0,2635.0
20,20200324,NY,25665,65605,,91270,91270,91270,36,96.0,599.0,8191.0,4790.0,12981.0,,3234.0,,,,,,210.0,3234.0
21,20200325,NY,30811,72668,,103479,103479,103479,36,75.0,571.0,7063.0,5146.0,12209.0,,3805.0,,,,,,285.0,3805.0
22,20200326,NY,37258,84846,,122104,122104,122104,36,100.0,3039.0,12178.0,6447.0,18625.0,5327.0,6844.0,1290.0,,,,,385.0,6844.0
23,20200327,NY,44635,101118,,145753,145753,145753,36,134.0,1682.0,16272.0,7377.0,23649.0,6481.0,8526.0,1583.0,,,,2045.0,519.0,8526.0
24,20200328,NY,52318,103616,,155934,155934,155934,36,209.0,1528.0,2498.0,7683.0,10181.0,7328.0,10054.0,1755.0,,,,2726.0,728.0,10054.0
