,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200305,OH,0,7,3.0,10,7,7,39,,,,,,,,,,,,,,
1,20200306,OH,0,8,2.0,10,8,8,39,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
2,20200307,OH,0,9,5.0,14,9,9,39,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
3,20200308,OH,0,10,4.0,14,10,10,39,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
4,20200309,OH,3,11,5.0,19,14,14,39,0.0,0.0,1.0,3.0,4.0,,,,,,,,,
5,20200310,OH,3,14,15.0,32,17,17,39,0.0,0.0,3.0,0.0,3.0,,,,,,,,,
6,20200311,OH,4,21,24.0,49,25,25,39,0.0,0.0,7.0,1.0,8.0,,,,,,,,,
7,20200312,OH,5,30,52.0,87,35,35,39,0.0,0.0,9.0,1.0,10.0,,,,,,,,,
8,20200313,OH,13,50,159.0,222,63,63,39,0.0,0.0,20.0,8.0,28.0,,,,,,,,,
9,20200314,OH,13,50,159.0,222,63,63,39,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
10,20200315,OH,36,139,350.0,525,175,175,39,0.0,0.0,89.0,23.0,112.0,,,,,,,,,
11,20200316,OH,50,140,361.0,551,190,190,39,0.0,0.0,1.0,14.0,15.0,,,,,,,,,
12,20200317,OH,67,140,,207,207,207,39,0.0,0.0,0.0,17.0,17.0,,,,,,,,,
13,20200318,OH,88,140,,228,228,228,39,0.0,0.0,0.0,21.0,21.0,,,,,,,,,
14,20200319,OH,119,140,,259,259,259,39,0.0,0.0,0.0,31.0,31.0,,,,,,,,,
15,20200320,OH,169,140,,309,309,309,39,1.0,0.0,0.0,50.0,50.0,,,,,,,,1.0,
16,20200321,OH,247,140,,387,387,387,39,2.0,58.0,0.0,78.0,78.0,,58.0,,,,,,3.0,58.0
17,20200322,OH,351,140,,491,491,491,39,0.0,25.0,0.0,104.0,104.0,,83.0,,,,,,3.0,83.0
18,20200323,OH,442,140,,582,582,582,39,3.0,21.0,0.0,91.0,91.0,,104.0,,,,,,6.0,104.0
19,20200324,OH,564,140,,704,704,704,39,2.0,41.0,0.0,122.0,122.0,,145.0,,,,,,8.0,145.0
20,20200325,OH,704,14060,,14764,14764,14764,39,2.0,37.0,13920.0,140.0,14060.0,,182.0,,74.0,,,,10.0,182.0
21,20200326,OH,867,16449,,17316,17316,17316,39,5.0,41.0,2389.0,163.0,2552.0,,223.0,,91.0,,,,15.0,223.0
22,20200327,OH,1137,19012,,20149,20149,20149,39,4.0,53.0,2563.0,270.0,2833.0,,276.0,,107.0,,,,19.0,276.0
23,20200328,OH,1406,19012,,20418,20418,20418,39,6.0,68.0,0.0,269.0,269.0,,344.0,,123.0,,,,25.0,344.0
24,20200329,OH,1653,19012,,20665,20665,20665,39,4.0,59.0,0.0,247.0,247.0,,403.0,,139.0,,,,29.0,403.0
25,20200330,OH,1933,25342,,27275,27275,27275,39,10.0,72.0,6330.0,280.0,6610.0,,475.0,,163.0,,,,39.0,475.0
26,20200331,OH,2199,26992,,29191,29191,29191,39,16.0,110.0,1650.0,266.0,1916.0,,585.0,,198.0,,,,55.0,585.0
27,20200401,OH,2547,26992,,29539,29539,29539,39,10.0,94.0,0.0,348.0,348.0,,679.0,,222.0,,,,65.0,679.0
28,20200402,OH,2902,32016,,34918,34918,34918,39,16.0,123.0,5024.0,355.0,5379.0,,802.0,,260.0,,,,81.0,802.0
29,20200403,OH,3312,35063,,38375,38375,38375,39,10.0,93.0,3047.0,410.0,3457.0,,895.0,,288.0,,,,91.0,895.0
30,20200404,OH,3739,38132,,41871,41871,41871,39,11.0,111.0,3069.0,427.0,3496.0,,1006.0,,326.0,,,,102.0,1006.0
31,20200405,OH,4043,39713,,43756,43756,43756,39,17.0,98.0,1581.0,304.0,1885.0,,1104.0,,346.0,,,,119.0,1104.0
32,20200406,OH,4450,43928,,48378,48378,48378,39,23.0,110.0,4215.0,407.0,4622.0,,1214.0,,371.0,,,,142.0,1214.0
33,20200407,OH,4782,46056,,50838,50838,50838,39,25.0,140.0,2128.0,332.0,2460.0,,1354.0,,417.0,,,,167.0,1354.0
34,20200408,OH,5148,48193,,53341,53341,53341,39,26.0,141.0,2137.0,366.0,2503.0,,1495.0,,472.0,,,,193.0,1495.0
35,20200409,OH,5512,50473,,55985,55985,55985,39,20.0,117.0,2280.0,364.0,2644.0,,1612.0,,497.0,,,,213.0,1612.0
36,20200410,OH,5836,52695,,58531,58531,58531,39,18.0,143.0,2222.0,324.0,2546.0,,1755.0,,548.0,,,,231.0,1755.0
37,20200411,OH,6187,54221,,60408,60408,60408,39,16.0,104.0,1526.0,351.0,1877.0,,1859.0,,572.0,,,,247.0,1859.0
