,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200307,OK,1,1,1,1,40,,,,,,,,,,,,,,,,
1,20200308,OK,1,11,9,9,40,0.0,0.0,8.0,0.0,8.0,8.0,2.0,,,,,,,,,
2,20200309,OK,1,19,9,9,40,0.0,0.0,0.0,0.0,0.0,8.0,10.0,,,,,,,,,
3,20200310,OK,2,28,17,17,40,0.0,0.0,7.0,1.0,8.0,15.0,11.0,,,,,,,,,
4,20200311,OK,2,28,17,17,40,0.0,0.0,0.0,0.0,0.0,15.0,11.0,,,,,,,,,
5,20200312,OK,3,43,39,39,40,0.0,0.0,21.0,1.0,22.0,36.0,4.0,,,,,,,,,
6,20200313,OK,3,76,39,39,40,0.0,0.0,0.0,0.0,0.0,36.0,37.0,,,,,,,,,
7,20200314,OK,4,77,40,40,40,0.0,0.0,0.0,1.0,1.0,36.0,37.0,,,,,,,,,
8,20200315,OK,9,139,127,127,40,0.0,0.0,82.0,5.0,87.0,118.0,12.0,,,,,,,,,
9,20200316,OK,10,213,184,184,40,0.0,0.0,56.0,1.0,57.0,174.0,29.0,,,,,,,,,
10,20200317,OK,17,346,264,264,40,0.0,0.0,73.0,7.0,80.0,247.0,82.0,,,,,,,,,
11,20200318,OK,29,517,407,407,40,0.0,0.0,131.0,12.0,143.0,378.0,110.0,,,,,,,,,
12,20200319,OK,44,760,510,510,40,1.0,0.0,88.0,15.0,103.0,466.0,250.0,,,,,,,,1.0,
13,20200320,OK,49,961,587,587,40,0.0,0.0,72.0,5.0,77.0,538.0,374.0,,,,,,,,1.0,
14,20200321,OK,53,757,613,613,40,0.0,10.0,22.0,4.0,26.0,560.0,144.0,,10.0,,,,,,1.0,10.0
15,20200322,OK,67,838,736,736,40,1.0,1.0,109.0,14.0,123.0,669.0,102.0,,11.0,,,,,,2.0,11.0
16,20200323,OK,81,877,775,775,40,0.0,4.0,25.0,14.0,39.0,694.0,102.0,,15.0,,,,,,2.0,15.0
17,20200324,OK,106,841,841,841,40,1.0,10.0,41.0,25.0,66.0,735.0,,,25.0,,,,,,3.0,25.0
18,20200325,OK,164,969,969,969,40,2.0,34.0,70.0,58.0,128.0,805.0,,,59.0,,,,,,5.0,59.0
19,20200326,OK,248,1206,1206,1206,40,2.0,27.0,153.0,84.0,237.0,958.0,,,86.0,,,,,,7.0,86.0
20,20200327,OK,322,1406,1406,1406,40,1.0,19.0,126.0,74.0,200.0,1084.0,,,105.0,,,,,,8.0,105.0
21,20200328,OK,377,1557,1557,1557,40,7.0,21.0,96.0,55.0,151.0,1180.0,,,126.0,,,,,,15.0,126.0
22,20200329,OK,429,1634,1634,1634,40,1.0,14.0,25.0,52.0,77.0,1205.0,,,140.0,,,,,,16.0,140.0
23,20200330,OK,481,1688,1688,1688,40,1.0,13.0,2.0,52.0,54.0,1207.0,,,153.0,103.0,,,,,17.0,153.0
24,20200331,OK,565,1794,1794,1794,40,6.0,24.0,22.0,84.0,106.0,1229.0,,,177.0,83.0,,,,,23.0,177.0
25,20200401,OK,719,1967,1967,1967,40,7.0,42.0,19.0,154.0,173.0,1248.0,,174.0,219.0,98.0,,,,,30.0,219.0
26,20200402,OK,879,2144,2144,2144,40,4.0,38.0,17.0,160.0,177.0,1265.0,,182.0,257.0,144.0,,,,,34.0,257.0
27,20200403,OK,988,2303,2303,2303,40,4.0,32.0,50.0,109.0,159.0,1315.0,,171.0,289.0,123.0,,,,383.0,38.0,289.0
28,20200404,OK,1159,2521,2521,2521,40,4.0,27.0,47.0,171.0,218.0,1362.0,,,316.0,,,,,,42.0,316.0
29,20200405,OK,1252,2653,2653,2653,40,4.0,14.0,39.0,93.0,132.0,1401.0,,,330.0,,,,,,46.0,330.0
30,20200406,OK,1327,2749,2749,2749,40,5.0,10.0,21.0,75.0,96.0,1422.0,,161.0,340.0,143.0,,,,522.0,51.0,340.0
31,20200407,OK,1472,13293,13293,13293,40,16.0,36.0,10399.0,145.0,10544.0,11821.0,,186.0,376.0,137.0,,,,612.0,67.0,376.0
32,20200408,OK,1524,13345,13345,13345,40,12.0,14.0,0.0,52.0,52.0,11821.0,,188.0,390.0,120.0,,,,686.0,79.0,390.0
33,20200409,OK,1684,20279,20279,20279,40,1.0,25.0,6774.0,160.0,6934.0,18595.0,,188.0,415.0,120.0,,,,686.0,80.0,415.0
34,20200410,OK,1794,22164,22164,22164,40,8.0,13.0,1775.0,110.0,1885.0,20370.0,,186.0,428.0,122.0,,,,790.0,88.0,428.0
35,20200411,OK,1868,22658,22658,22658,40,6.0,18.0,420.0,74.0,494.0,20790.0,,383.0,446.0,191.0,,,,865.0,94.0,446.0
