,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,OR,3,29,18.0,50,32,32,41,,,,,,,,,,,,,,
1,20200305,OR,3,45,13.0,61,48,48,41,0.0,0.0,16.0,0.0,16.0,,,,,,,,,
2,20200306,OR,3,64,28.0,95,67,67,41,0.0,0.0,19.0,0.0,19.0,,,,,,,,,
3,20200307,OR,7,77,40.0,124,84,84,41,0.0,0.0,13.0,4.0,17.0,,,,,,,,,
4,20200308,OR,14,100,53.0,167,114,114,41,0.0,0.0,23.0,7.0,30.0,,,,,,,,,
5,20200309,OR,14,165,52.0,231,179,179,41,0.0,0.0,65.0,0.0,65.0,,,,,,,,,
6,20200310,OR,15,213,67.0,295,228,228,41,0.0,0.0,48.0,1.0,49.0,,,,,,,,,
7,20200311,OR,19,286,62.0,367,305,305,41,0.0,0.0,73.0,4.0,77.0,,,,,,,,,
8,20200312,OR,19,286,62.0,367,305,305,41,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,20200313,OR,30,337,157.0,524,367,367,41,0.0,0.0,51.0,11.0,62.0,,,,,,,,,
10,20200314,OR,30,337,157.0,524,367,367,41,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
11,20200315,OR,36,420,225.0,681,456,456,41,0.0,0.0,83.0,6.0,89.0,,,,,,,,,
12,20200316,OR,39,579,182.0,800,618,618,41,0.0,0.0,159.0,3.0,162.0,,,,,,,,,
13,20200317,OR,47,689,184.0,920,736,736,41,0.0,0.0,110.0,8.0,118.0,,,,,,,,,
14,20200318,OR,75,1118,361.0,1554,1193,1193,41,3.0,0.0,429.0,28.0,457.0,,,,,,,,3.0,
15,20200319,OR,88,1329,437.0,1854,1417,1417,41,0.0,0.0,211.0,13.0,224.0,,,,,,,,3.0,
16,20200320,OR,114,2003,433.0,2550,2117,2117,41,0.0,0.0,674.0,26.0,700.0,,,,,,,,3.0,
17,20200321,OR,114,2003,433.0,2550,2117,2117,41,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,
18,20200322,OR,161,2864,,3025,3025,3025,41,1.0,43.0,861.0,47.0,908.0,,43.0,,,,,,4.0,43.0
19,20200323,OR,191,3649,,3840,3840,3840,41,1.0,13.0,785.0,30.0,815.0,,56.0,,,,,,5.0,56.0
20,20200324,OR,209,4350,,4559,4559,4559,41,3.0,5.0,701.0,18.0,719.0,,61.0,,,,,,8.0,61.0
21,20200325,OR,209,4350,,4559,4559,4559,41,0.0,0.0,0.0,0.0,0.0,,61.0,,,,,,8.0,61.0
22,20200326,OR,327,6953,,7280,7280,7280,41,3.0,29.0,2603.0,118.0,2721.0,,90.0,,,,,,11.0,90.0
23,20200327,OR,414,8510,,8924,8924,8924,41,1.0,12.0,1557.0,87.0,1644.0,91.0,102.0,,,31.0,,,12.0,102.0
24,20200328,OR,479,9693,,10172,10172,10172,41,1.0,15.0,1183.0,65.0,1248.0,107.0,117.0,,,31.0,,,13.0,117.0
25,20200329,OR,548,10878,,11426,11426,11426,41,0.0,12.0,1185.0,69.0,1254.0,107.0,129.0,,,37.0,,,13.0,129.0
26,20200330,OR,606,12277,,12883,12883,12883,41,3.0,11.0,1399.0,58.0,1457.0,132.0,140.0,,,39.0,,,16.0,140.0
27,20200331,OR,690,13136,,13826,13826,13826,41,2.0,14.0,859.0,84.0,943.0,132.0,154.0,,,40.0,,,18.0,154.0
28,20200401,OR,736,13136,,13872,13872,13872,41,0.0,0.0,0.0,46.0,46.0,132.0,154.0,,,40.0,,,18.0,154.0
29,20200402,OR,826,15259,,16085,16085,16085,41,3.0,34.0,2123.0,90.0,2213.0,134.0,188.0,,,38.0,,,21.0,188.0
30,20200403,OR,899,16535,,17434,17434,17434,41,1.0,16.0,1276.0,73.0,1349.0,188.0,204.0,,,38.0,,,22.0,204.0
31,20200404,OR,999,16535,,17534,17534,17534,41,4.0,35.0,0.0,100.0,100.0,,239.0,,,38.0,,,26.0,239.0
32,20200405,OR,1068,19556,,20624,20624,20624,41,1.0,19.0,3021.0,69.0,3090.0,,258.0,,,40.0,,,27.0,258.0
33,20200406,OR,1132,20669,,21801,21801,21801,41,0.0,0.0,1113.0,64.0,1177.0,,258.0,,,40.0,,,27.0,258.0
34,20200407,OR,1181,21826,,23007,23007,23007,41,6.0,66.0,1157.0,49.0,1206.0,,324.0,,,69.0,,,33.0,324.0
35,20200408,OR,1239,23325,,24564,24564,24564,41,0.0,0.0,1499.0,58.0,1557.0,156.0,324.0,61.0,,58.0,69.0,,33.0,324.0
36,20200409,OR,1321,24306,,25627,25627,25627,41,11.0,2.0,981.0,82.0,1063.0,146.0,326.0,66.0,,54.0,,,44.0,326.0
37,20200410,OR,1321,24306,,25627,25627,25627,41,0.0,0.0,0.0,0.0,0.0,146.0,326.0,66.0,,54.0,,,44.0,326.0
38,20200411,OR,1371,25853,,27224,27224,27224,41,4.0,12.0,1547.0,50.0,1597.0,140.0,338.0,58.0,,46.0,,,48.0,338.0
