,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200306,PA,2,2,2,2,42,,,,,,,,,,,,,,,,
1,20200307,PA,4,4,4,4,42,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,,
2,20200308,PA,6,6,6,6,42,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,,
3,20200309,PA,10,10,10,10,42,0.0,0.0,0.0,4.0,4.0,,,,,,,,,,,
4,20200310,PA,12,12,12,12,42,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,,
5,20200311,PA,16,158,104,104,42,0.0,0.0,88.0,4.0,92.0,88.0,54.0,,,,,,,,,
6,20200312,PA,22,219,138,138,42,0.0,0.0,28.0,6.0,34.0,116.0,81.0,,,,,,,,,
7,20200313,PA,41,311,181,181,42,0.0,0.0,24.0,19.0,43.0,140.0,130.0,,,,,,,,,
8,20200314,PA,47,402,252,252,42,0.0,0.0,65.0,6.0,71.0,205.0,150.0,,,,,,,,,
9,20200315,PA,63,451,268,268,42,0.0,0.0,0.0,16.0,16.0,205.0,183.0,,,,,,,,,
10,20200316,PA,76,746,746,746,42,0.0,0.0,465.0,13.0,478.0,670.0,,,,,,,,,,
11,20200317,PA,96,975,975,975,42,0.0,0.0,209.0,20.0,229.0,879.0,,,,,,,,,,
12,20200318,PA,133,1320,1320,1320,42,1.0,0.0,308.0,37.0,345.0,1187.0,,,,,,,,,1.0,
13,20200319,PA,185,1793,1793,1793,42,0.0,0.0,421.0,52.0,473.0,1608.0,,,,,,,,,1.0,
14,20200320,PA,268,2842,2842,2842,42,0.0,0.0,966.0,83.0,1049.0,2574.0,,,,,,,,,1.0,
15,20200321,PA,371,4137,4137,4137,42,1.0,0.0,1192.0,103.0,1295.0,3766.0,,,,,,,,,2.0,
16,20200322,PA,479,5443,5443,5443,42,0.0,0.0,1198.0,108.0,1306.0,4964.0,,,,,,,,,2.0,
17,20200323,PA,644,7239,7239,7239,42,4.0,0.0,1631.0,165.0,1796.0,6595.0,,,,,,,,,6.0,
18,20200324,PA,851,9494,9494,9494,42,1.0,0.0,2048.0,207.0,2255.0,8643.0,,,,,,,,,7.0,
19,20200325,PA,1127,12320,12320,12320,42,4.0,0.0,2550.0,276.0,2826.0,11193.0,,,,,,,,,11.0,
20,20200326,PA,1687,18128,18128,18128,42,5.0,0.0,5248.0,560.0,5808.0,16441.0,,,,,,,,,16.0,
21,20200327,PA,2218,23234,23234,23234,42,6.0,241.0,4575.0,531.0,5106.0,21016.0,,,241.0,,,,,,22.0,241.0
22,20200328,PA,2751,28005,28005,28005,42,12.0,75.0,4238.0,533.0,4771.0,25254.0,,,316.0,,,,,,34.0,316.0
23,20200329,PA,3394,33455,33455,33455,42,4.0,37.0,4807.0,643.0,5450.0,30061.0,,,353.0,,,,,,38.0,353.0
24,20200330,PA,4087,37864,37864,37864,42,11.0,33.0,3716.0,693.0,4409.0,33777.0,,,386.0,,,,,,49.0,386.0
25,20200331,PA,4843,42488,42488,42488,42,14.0,128.0,3868.0,756.0,4624.0,37645.0,,,514.0,,,,,,63.0,514.0
26,20200401,PA,5805,48232,48232,48232,42,11.0,106.0,4782.0,962.0,5744.0,42427.0,,,620.0,,,,,,74.0,620.0
27,20200402,PA,7016,54714,54714,54714,42,16.0,110.0,5271.0,1211.0,6482.0,47698.0,,,730.0,,,,,,90.0,730.0
28,20200403,PA,8420,62115,62115,62115,42,12.0,122.0,5997.0,1404.0,7401.0,53695.0,,,852.0,,,,,,102.0,852.0
29,20200404,PA,10017,70030,70030,70030,42,34.0,152.0,6318.0,1597.0,7915.0,60013.0,,,1004.0,,,,,,136.0,1004.0
30,20200405,PA,11510,77771,77771,77771,42,14.0,68.0,6248.0,1493.0,7741.0,66261.0,,,1072.0,,,,,,150.0,1072.0
31,20200406,PA,12980,83854,83854,83854,42,12.0,73.0,4613.0,1470.0,6083.0,70874.0,,,1145.0,,,533.0,,,162.0,1145.0
32,20200407,PA,14559,91278,91278,91278,42,78.0,0.0,5845.0,1579.0,7424.0,76719.0,,1665.0,,,,548.0,,,240.0,
33,20200408,PA,16239,98538,98538,98538,42,69.0,0.0,5580.0,1680.0,7260.0,82299.0,,1898.0,,,,603.0,,,309.0,
34,20200409,PA,18228,105602,105602,105602,42,29.0,0.0,5075.0,1989.0,7064.0,87374.0,,2051.0,,,,592.0,,,338.0,
35,20200410,PA,19979,113019,113019,113019,42,78.0,0.0,5666.0,1751.0,7417.0,93040.0,,2072.0,,,,611.0,,,416.0,
36,20200411,PA,21655,120153,120153,120153,42,78.0,0.0,5458.0,1676.0,7134.0,98498.0,,2115.0,,,,639.0,,,494.0,
