,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200316,PR,5,9,14,14,14,72,,,,,,,,,,,,,,,
1,20200317,PR,5,13,22,18,18,72,0.0,0.0,4.0,0.0,4.0,4.0,,,,,,,,,
2,20200318,PR,5,31,57,36,36,72,0.0,0.0,18.0,0.0,18.0,21.0,,,,,,,,,
3,20200319,PR,5,56,90,61,61,72,0.0,0.0,25.0,0.0,25.0,29.0,,,,,,,,,
4,20200320,PR,14,114,180,128,128,72,0.0,0.0,58.0,9.0,67.0,52.0,,,,,,,,,
5,20200321,PR,21,143,235,164,164,72,0.0,0.0,29.0,7.0,36.0,71.0,,,,,,,,,
6,20200322,PR,23,183,275,206,206,72,0.0,0.0,40.0,2.0,42.0,69.0,,,,,,,,,
7,20200323,PR,31,189,255,220,220,72,2.0,0.0,6.0,8.0,14.0,35.0,,,,,,,,2.0,
8,20200324,PR,39,268,349,307,307,72,0.0,0.0,79.0,8.0,87.0,42.0,,,,,,,,2.0,
9,20200325,PR,51,317,438,368,368,72,0.0,0.0,49.0,12.0,61.0,70.0,,,,,,,,2.0,
10,20200326,PR,64,377,776,441,441,72,0.0,0.0,60.0,13.0,73.0,335.0,,,,,,,,2.0,
11,20200327,PR,79,519,932,598,598,72,1.0,0.0,142.0,15.0,157.0,334.0,,,,,,,,3.0,
12,20200328,PR,100,739,1631,839,839,72,0.0,0.0,220.0,21.0,241.0,792.0,,,,,,,,3.0,
13,20200329,PR,127,841,1785,968,968,72,2.0,0.0,102.0,27.0,129.0,817.0,,,,,,,,5.0,
14,20200330,PR,174,931,1899,1105,1105,72,1.0,0.0,90.0,47.0,137.0,794.0,,,,,,,,6.0,
15,20200331,PR,239,1195,2288,1434,1434,72,2.0,0.0,264.0,65.0,329.0,854.0,,,,,,,,8.0,
16,20200401,PR,286,1409,2592,1695,1695,72,3.0,0.0,214.0,47.0,261.0,897.0,,,,,,,,11.0,
17,20200402,PR,316,1604,3039,1920,1920,72,1.0,0.0,195.0,30.0,225.0,1119.0,,,,,,,,12.0,
18,20200403,PR,378,2049,3482,2427,2427,72,3.0,0.0,445.0,62.0,507.0,1055.0,,,,,,,,15.0,
19,20200404,PR,452,2605,4186,3057,3057,72,3.0,0.0,556.0,74.0,630.0,1129.0,,,,,,,,18.0,
20,20200405,PR,475,3073,4587,3548,3548,72,2.0,0.0,468.0,23.0,491.0,1039.0,,,,,,,,20.0,
21,20200406,PR,513,3432,4945,3945,3945,72,1.0,0.0,359.0,38.0,397.0,1000.0,,,,,,,,21.0,
22,20200407,PR,573,3966,5507,4539,4539,72,2.0,0.0,534.0,60.0,594.0,968.0,,,,,,,,23.0,
23,20200408,PR,620,4266,6046,4886,4886,72,1.0,0.0,300.0,47.0,347.0,1160.0,,,,,,,,24.0,
24,20200409,PR,683,4703,6690,5386,5386,72,9.0,0.0,437.0,63.0,500.0,1304.0,,,,,,,,33.0,
25,20200410,PR,725,5121,7238,5846,5846,72,6.0,0.0,418.0,42.0,460.0,1392.0,,,,,,,,39.0,
26,20200411,PR,788,5583,7703,6371,6371,72,3.0,0.0,462.0,63.0,525.0,1332.0,,,,,,,,42.0,
