,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,SC,0,5,5,5,5,45,,,,,,,,,,,,,,,
1,20200305,SC,0,5,5,5,5,45,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2,20200306,SC,0,5,5,5,5,45,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
3,20200307,SC,2,8,10,10,10,45,0.0,0.0,3.0,2.0,5.0,,,,,,,,,,
4,20200308,SC,2,8,10,10,10,45,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
5,20200309,SC,7,24,31,31,31,45,0.0,0.0,16.0,5.0,21.0,,,,,,,,,,
6,20200310,SC,7,24,31,31,31,45,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
7,20200311,SC,9,32,41,41,41,45,0.0,0.0,8.0,2.0,10.0,,,,,,,,,,
8,20200312,SC,10,48,58,58,58,45,0.0,0.0,16.0,1.0,17.0,,,,,,,,,,
9,20200313,SC,12,75,87,87,87,45,0.0,0.0,27.0,2.0,29.0,,,,,,,,,,
10,20200314,SC,13,110,123,123,123,45,0.0,0.0,35.0,1.0,36.0,,,,,,,,,,
11,20200315,SC,19,154,173,173,173,45,0.0,0.0,44.0,6.0,50.0,,,,,,,,,,
12,20200316,SC,28,235,263,263,263,45,1.0,0.0,81.0,9.0,90.0,,,,,,,,,1.0,
13,20200317,SC,33,311,344,344,344,45,0.0,0.0,76.0,5.0,81.0,,,,,,,,,1.0,
14,20200318,SC,60,583,643,643,643,45,0.0,0.0,272.0,27.0,299.0,,,,,,,,,1.0,
15,20200319,SC,60,583,643,643,643,45,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,
16,20200320,SC,81,833,914,914,914,45,0.0,0.0,250.0,21.0,271.0,,,,,,,,,1.0,
17,20200321,SC,152,1255,1407,1407,1407,45,0.0,0.0,422.0,71.0,493.0,,,,,,,,,1.0,
18,20200322,SC,195,1466,1661,1661,1661,45,2.0,0.0,211.0,43.0,254.0,,,,,,,,,3.0,
19,20200323,SC,298,1466,1764,1764,1764,45,2.0,0.0,0.0,103.0,103.0,,,,,,,,,5.0,
20,20200324,SC,298,2012,2310,2310,2310,45,0.0,0.0,546.0,0.0,546.0,,,,,,,,,5.0,
21,20200325,SC,424,2303,2727,2727,2727,45,2.0,102.0,291.0,126.0,417.0,,,102.0,,,,,,7.0,102.0
22,20200326,SC,456,2307,2763,2763,2763,45,2.0,7.0,4.0,32.0,36.0,,,109.0,,,,,,9.0,109.0
23,20200327,SC,456,2307,2763,2763,2763,45,0.0,0.0,0.0,0.0,0.0,,,109.0,,,,,,9.0,109.0
24,20200328,SC,539,2408,2947,2947,2947,45,4.0,20.0,101.0,83.0,184.0,,,129.0,,,,,,13.0,129.0
25,20200329,SC,774,3015,3789,3789,3789,45,3.0,0.0,607.0,235.0,842.0,,,129.0,,,,,,16.0,129.0
26,20200330,SC,925,4160,5085,5085,5085,45,2.0,0.0,1145.0,151.0,1296.0,,,129.0,,,,,,18.0,129.0
27,20200331,SC,1083,4616,5699,5699,5699,45,4.0,130.0,456.0,158.0,614.0,,,259.0,,,,,,22.0,259.0
28,20200401,SC,1293,5033,6326,6326,6326,45,4.0,90.0,417.0,210.0,627.0,,,349.0,,,,,,26.0,349.0
29,20200402,SC,1554,5441,6995,6995,6995,45,5.0,547.0,408.0,261.0,669.0,,,896.0,,,,,,31.0,896.0
30,20200403,SC,1554,5441,6995,6995,6995,45,0.0,-655.0,0.0,0.0,0.0,,,241.0,,,,,,31.0,241.0
31,20200404,SC,1917,16397,18314,18314,18314,45,9.0,0.0,10956.0,363.0,11319.0,,,241.0,,,,,,40.0,241.0
32,20200405,SC,2049,16927,18976,18976,18976,45,4.0,0.0,530.0,132.0,662.0,,,241.0,,,,,,44.0,241.0
33,20200406,SC,2049,16927,18976,18976,18976,45,0.0,0.0,0.0,0.0,0.0,,,241.0,,,,,,44.0,241.0
34,20200407,SC,2417,21263,23680,23680,23680,45,7.0,0.0,4336.0,368.0,4704.0,,,241.0,,,,,,51.0,241.0
35,20200408,SC,2552,22082,24634,24634,24634,45,12.0,0.0,819.0,135.0,954.0,,,241.0,,,,,,63.0,241.0
36,20200409,SC,2792,24575,27367,27367,27367,45,4.0,0.0,2493.0,240.0,2733.0,,,241.0,,,,,,67.0,241.0
37,20200410,SC,3065,25118,28183,28183,28183,45,5.0,255.0,543.0,273.0,816.0,,,496.0,,,,,,72.0,496.0
38,20200411,SC,3207,26886,30093,30093,30093,45,8.0,0.0,1768.0,142.0,1910.0,,,496.0,,,,,,80.0,496.0
