,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200307,SD,0,5,0.0,5,5,5,46,,,,,,,,,,,,,,
1,20200308,SD,0,5,0.0,5,5,5,46,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,20200309,SD,0,5,0.0,5,5,5,46,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,20200310,SD,0,11,0.0,11,11,11,46,0.0,0.0,6.0,0.0,6.0,,,,,,,,,
4,20200311,SD,5,13,2.0,20,18,18,46,0.0,0.0,2.0,5.0,7.0,,,,,,,,,
5,20200312,SD,8,27,11.0,46,35,35,46,0.0,0.0,14.0,3.0,17.0,,,,,,,,,
6,20200313,SD,9,73,11.0,93,82,82,46,0.0,0.0,46.0,1.0,47.0,,,,,,,,,
7,20200314,SD,9,182,3.0,194,191,191,46,0.0,0.0,109.0,0.0,109.0,,,,,,,,,
8,20200315,SD,9,327,6.0,342,336,336,46,0.0,0.0,145.0,0.0,145.0,,,,,,,,,
9,20200316,SD,10,494,0.0,504,504,504,46,0.0,0.0,167.0,1.0,168.0,,,,,,,,,
10,20200317,SD,11,551,35.0,597,562,562,46,0.0,0.0,57.0,1.0,58.0,,,,,,,,,
11,20200318,SD,11,551,350.0,912,562,562,46,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,
12,20200319,SD,11,551,385.0,947,562,562,46,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,
13,20200320,SD,14,663,270.0,947,677,677,46,0.0,0.0,112.0,3.0,115.0,,,,,,,,1.0,
14,20200321,SD,14,691,268.0,973,705,705,46,0.0,0.0,28.0,0.0,28.0,,,,,,,,1.0,
15,20200322,SD,21,740,277.0,1038,761,761,46,0.0,0.0,49.0,7.0,56.0,,,,,,,,1.0,
16,20200323,SD,28,762,265.0,1055,790,790,46,0.0,0.0,22.0,7.0,29.0,,,,,,,,1.0,
17,20200324,SD,30,790,268.0,1088,820,820,46,0.0,0.0,28.0,2.0,30.0,,,,,,,,1.0,
18,20200325,SD,41,819,268.0,1128,860,860,46,0.0,0.0,29.0,11.0,40.0,,,,,,,,1.0,
19,20200326,SD,46,1973,125.0,2144,2019,2019,46,0.0,0.0,1154.0,5.0,1159.0,,,,,,,16.0,1.0,
20,20200327,SD,58,2387,20.0,2465,2445,2445,46,0.0,0.0,414.0,12.0,426.0,,,,,,,21.0,1.0,
21,20200328,SD,68,2592,0.0,2660,2660,2660,46,0.0,0.0,205.0,10.0,215.0,,,,,,,26.0,1.0,
22,20200329,SD,90,3127,1.0,3218,3217,3217,46,0.0,0.0,535.0,22.0,557.0,,,,,,,29.0,1.0,
23,20200330,SD,101,3478,0.0,3579,3579,3579,46,0.0,0.0,351.0,11.0,362.0,,,,,,,34.0,1.0,
24,20200331,SD,108,3609,0.0,3717,3717,3717,46,0.0,12.0,131.0,7.0,138.0,,12.0,,,,,44.0,1.0,12.0
25,20200401,SD,129,3903,0.0,4032,4032,4032,46,1.0,0.0,294.0,21.0,315.0,,12.0,,,,,51.0,2.0,12.0
26,20200402,SD,165,4217,0.0,4382,4382,4382,46,0.0,5.0,314.0,36.0,350.0,,17.0,,,,,57.0,2.0,17.0
27,20200403,SD,187,4593,3.0,4783,4780,4780,46,0.0,0.0,376.0,22.0,398.0,,17.0,,,,,69.0,2.0,17.0
28,20200404,SD,212,5012,1.0,5225,5224,5224,46,0.0,2.0,419.0,25.0,444.0,,19.0,,,,,76.0,2.0,19.0
29,20200405,SD,240,5353,,5593,5593,5593,46,0.0,3.0,341.0,28.0,369.0,,22.0,,,,,84.0,2.0,22.0
30,20200406,SD,288,5732,0.0,6020,6020,6020,46,2.0,1.0,379.0,48.0,427.0,,23.0,,,,,91.0,4.0,23.0
31,20200407,SD,320,5948,2.0,6270,6268,6268,46,2.0,0.0,216.0,32.0,248.0,,23.0,,,,,98.0,6.0,23.0
32,20200408,SD,393,6355,0.0,6748,6748,6748,46,0.0,3.0,407.0,73.0,480.0,,26.0,,,,,146.0,6.0,26.0
33,20200409,SD,447,6700,,7147,7147,7147,46,0.0,1.0,345.0,54.0,399.0,,27.0,,,,,161.0,6.0,27.0
34,20200410,SD,536,7111,,7647,7647,7647,46,0.0,2.0,411.0,89.0,500.0,,29.0,,,,,177.0,6.0,29.0
35,20200411,SD,626,7378,2.0,8006,8004,8004,46,0.0,4.0,267.0,90.0,357.0,,33.0,,,,,189.0,6.0,33.0
