,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200305,TN,1,1,1,1,47,,,,,,,,,,,,,,,,
1,20200306,TN,1,1,1,1,47,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200307,TN,1,1,1,1,47,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,20200308,TN,3,3,3,3,47,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,,
4,20200309,TN,3,3,3,3,47,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,20200310,TN,7,7,7,7,47,0.0,0.0,0.0,4.0,4.0,,,,,,,,,,,
6,20200311,TN,7,57,57,57,47,0.0,0.0,50.0,0.0,50.0,50.0,,,,,,,,,,
7,20200312,TN,18,97,97,97,47,0.0,0.0,29.0,11.0,40.0,79.0,,,,,,,,,,
8,20200313,TN,26,142,142,142,47,0.0,0.0,37.0,8.0,45.0,116.0,,,,,,,,,,
9,20200314,TN,32,162,162,162,47,0.0,0.0,14.0,6.0,20.0,130.0,,,,,,,,,,
10,20200315,TN,39,196,196,196,47,0.0,0.0,27.0,7.0,34.0,157.0,,,,,,,,,,
11,20200316,TN,52,322,322,322,47,0.0,0.0,113.0,13.0,126.0,270.0,,,,,,,,,,
12,20200317,TN,73,403,403,403,47,0.0,0.0,60.0,21.0,81.0,330.0,,,,,,,,,,
13,20200318,TN,98,447,447,447,47,0.0,0.0,19.0,25.0,44.0,349.0,,,,,,,,,,
14,20200319,TN,154,503,503,503,47,0.0,0.0,0.0,56.0,56.0,349.0,,,,,,,,,,
15,20200320,TN,228,791,791,791,47,0.0,0.0,214.0,74.0,288.0,563.0,,,,,,,,,,
16,20200321,TN,371,3643,3643,3643,47,0.0,0.0,2709.0,143.0,2852.0,3272.0,,,,,,,,,,
17,20200322,TN,505,3777,3777,3777,47,0.0,0.0,0.0,134.0,134.0,3272.0,,,,,,,,,,
18,20200323,TN,615,3887,3887,3887,47,2.0,0.0,0.0,110.0,110.0,3272.0,,,,,,,,,2.0,
19,20200324,TN,667,11184,11184,11184,47,0.0,0.0,7245.0,52.0,7297.0,10517.0,,,,,,,,,2.0,
20,20200325,TN,784,11796,11796,11796,47,1.0,53.0,495.0,117.0,612.0,11012.0,,,53.0,,,,,,3.0,53.0
21,20200326,TN,957,14909,14909,14909,47,0.0,23.0,2940.0,173.0,3113.0,13952.0,,,76.0,,,,,,3.0,76.0
22,20200327,TN,1203,16091,16091,16091,47,3.0,27.0,936.0,246.0,1182.0,14888.0,,,103.0,,,,,,6.0,103.0
23,20200328,TN,1373,18338,18338,18338,47,0.0,15.0,2077.0,170.0,2247.0,16965.0,,,118.0,,,,,,6.0,118.0
24,20200329,TN,1537,20574,20574,20574,47,1.0,15.0,2072.0,164.0,2236.0,19037.0,,,133.0,,,,,,7.0,133.0
25,20200330,TN,1834,23304,23304,23304,47,6.0,15.0,2433.0,297.0,2730.0,21470.0,,,148.0,,,,,,13.0,148.0
26,20200331,TN,2239,27360,27360,27360,47,10.0,27.0,3651.0,405.0,4056.0,25121.0,,,175.0,,,,,121.0,23.0,175.0
27,20200401,TN,2683,32452,32452,32452,47,1.0,25.0,4648.0,444.0,5092.0,29769.0,,,200.0,,,,,137.0,24.0,200.0
28,20200402,TN,2845,34611,34611,34611,47,8.0,63.0,1997.0,162.0,2159.0,31766.0,,,263.0,,,,,220.0,32.0,263.0
29,20200403,TN,3067,37839,37839,37839,47,5.0,30.0,3006.0,222.0,3228.0,34772.0,,,293.0,,,,,248.0,37.0,293.0
30,20200404,TN,3321,41391,41391,41391,47,6.0,18.0,3298.0,254.0,3552.0,38070.0,,,311.0,,,,,416.0,43.0,311.0
31,20200405,TN,3633,45300,45300,45300,47,1.0,17.0,3597.0,312.0,3909.0,41667.0,,,328.0,,,,,295.0,44.0,328.0
32,20200406,TN,3802,47350,47350,47350,47,21.0,24.0,1881.0,169.0,2050.0,43548.0,,,352.0,,,,,356.0,65.0,352.0
33,20200407,TN,4138,52874,52874,52874,47,7.0,56.0,5188.0,336.0,5524.0,48736.0,,,408.0,,,,,466.0,72.0,408.0
34,20200408,TN,4362,56618,56618,56618,47,7.0,41.0,3520.0,224.0,3744.0,52256.0,,,449.0,,,,,592.0,79.0,449.0
35,20200409,TN,4634,59849,59849,59849,47,15.0,56.0,2959.0,272.0,3231.0,55215.0,,,505.0,,,,,921.0,94.0,505.0
36,20200410,TN,4862,62799,62799,62799,47,4.0,31.0,2722.0,228.0,2950.0,57937.0,,,536.0,,,,,1145.0,98.0,536.0
37,20200411,TN,5114,66828,66828,66828,47,3.0,20.0,3777.0,252.0,4029.0,61714.0,,,556.0,,,,,1386.0,101.0,556.0
