,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,TX,1,1,1,1,48,,,,,,,,,,,,,,,,
1,20200305,TX,1,1,1,1,48,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200306,TX,5,5,5,5,48,0.0,0.0,0.0,4.0,4.0,,,,,,,,,,,
3,20200307,TX,8,8,8,8,48,0.0,0.0,0.0,3.0,3.0,,,,,,,,,,,
4,20200308,TX,8,8,8,8,48,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,20200309,TX,12,12,12,12,48,0.0,0.0,0.0,4.0,4.0,,,,,,,,,,,
6,20200310,TX,13,13,13,13,48,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
7,20200311,TX,21,21,21,21,48,0.0,0.0,0.0,8.0,8.0,,,,,,,,,,,
8,20200312,TX,23,23,23,23,48,0.0,0.0,0.0,2.0,2.0,,,,,,,,,,,
9,20200313,TX,39,39,39,39,48,0.0,0.0,0.0,16.0,16.0,,,,,,,,,,,
10,20200314,TX,51,51,51,51,48,0.0,0.0,0.0,12.0,12.0,,,,,,,,,,,
11,20200315,TX,56,56,56,56,48,0.0,0.0,0.0,5.0,5.0,,,,,,,,,,,
12,20200316,TX,57,57,57,57,48,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
13,20200317,TX,64,1268,1268,1268,48,1.0,0.0,1204.0,7.0,1211.0,1204.0,,,,,,,,,1.0,
14,20200318,TX,83,1907,1907,1907,48,1.0,0.0,620.0,19.0,639.0,1824.0,,,,,,,,,2.0,
15,20200319,TX,143,2355,2355,2355,48,1.0,0.0,388.0,60.0,448.0,2212.0,,,,,,,,,3.0,
16,20200320,TX,194,5277,5277,5277,48,2.0,0.0,2871.0,51.0,2922.0,5083.0,,,,,,,,,5.0,
17,20200321,TX,304,6522,6522,6522,48,0.0,0.0,1135.0,110.0,1245.0,6218.0,,,,,,,,,5.0,
18,20200322,TX,334,8756,8756,8756,48,0.0,0.0,2204.0,30.0,2234.0,8422.0,,,,,,,,,5.0,
19,20200323,TX,352,10055,10055,10055,48,3.0,0.0,1281.0,18.0,1299.0,9703.0,,,,,,,,,8.0,
20,20200324,TX,410,11167,11167,11167,48,1.0,0.0,1054.0,58.0,1112.0,10757.0,,,,,,,,,9.0,
21,20200325,TX,974,13494,13494,13494,48,3.0,0.0,1763.0,564.0,2327.0,12520.0,,,,,,,,,12.0,
22,20200326,TX,1396,21424,21424,21424,48,6.0,0.0,7508.0,422.0,7930.0,20028.0,,,,,,,,,18.0,
23,20200327,TX,1731,23666,23666,23666,48,5.0,0.0,1907.0,335.0,2242.0,21935.0,,,,,,,,,23.0,
24,20200328,TX,2052,25260,25260,25260,48,4.0,0.0,1273.0,321.0,1594.0,23208.0,,,,,,,,,27.0,
25,20200329,TX,2552,25760,25760,25760,48,7.0,0.0,0.0,500.0,500.0,23208.0,,,,,,,,,34.0,
26,20200330,TX,2877,35880,35880,35880,48,0.0,0.0,9795.0,325.0,10120.0,33003.0,,,,,,,,38.0,34.0,
27,20200331,TX,3266,42992,42992,42992,48,7.0,0.0,6723.0,389.0,7112.0,39726.0,,196.0,,,,,,38.0,41.0,
28,20200401,TX,3997,47857,47857,47857,48,17.0,0.0,4134.0,731.0,4865.0,43860.0,,196.0,,,,,,38.0,58.0,
29,20200402,TX,4669,50679,50679,50679,48,12.0,0.0,2150.0,672.0,2822.0,46010.0,,196.0,,,,,,38.0,70.0,
30,20200403,TX,5330,55764,55764,55764,48,20.0,0.0,4424.0,661.0,5085.0,50434.0,,196.0,,,,,,38.0,90.0,
31,20200404,TX,6110,63751,63751,63751,48,15.0,0.0,7207.0,780.0,7987.0,57641.0,,196.0,,,,,,38.0,105.0,
32,20200405,TX,6812,70938,70938,70938,48,22.0,0.0,6485.0,702.0,7187.0,64126.0,,827.0,,,,,,38.0,127.0,
33,20200406,TX,7276,85357,85357,85357,48,13.0,0.0,13955.0,464.0,14419.0,78081.0,,1153.0,,,,,,38.0,140.0,
34,20200407,TX,8262,88649,88649,88649,48,14.0,0.0,2306.0,986.0,3292.0,80387.0,,1252.0,,,,,,38.0,154.0,
35,20200408,TX,9353,96258,96258,96258,48,23.0,0.0,6518.0,1091.0,7609.0,86905.0,,1491.0,,,,,,38.0,177.0,
36,20200409,TX,10230,106134,106134,106134,48,22.0,0.0,8999.0,877.0,9876.0,95904.0,,1439.0,,,,,,1101.0,199.0,
37,20200410,TX,11671,115718,115718,115718,48,27.0,0.0,8143.0,1441.0,9584.0,104047.0,,1532.0,,,,,,1366.0,226.0,
38,20200411,TX,12561,120533,120533,120533,48,28.0,0.0,3925.0,890.0,4815.0,107972.0,,1514.0,,,,,,1617.0,254.0,
