,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200307,UT,1,1,1,1,49,,,,,,,,,,,,,,,,
1,20200308,UT,1,1,1,1,49,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200309,UT,1,1,1,1,49,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,20200310,UT,2,2,2,2,49,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
4,20200311,UT,2,2,2,2,49,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,20200312,UT,4,135,135,135,49,0.0,0.0,131.0,2.0,133.0,131.0,,,,,,,,,,
6,20200313,UT,6,137,137,137,49,0.0,0.0,0.0,2.0,2.0,131.0,,,,,,,,,,
7,20200314,UT,6,137,137,137,49,0.0,0.0,0.0,0.0,0.0,131.0,,,,,,,,,,
8,20200315,UT,28,159,159,159,49,0.0,0.0,0.0,22.0,22.0,131.0,,,,,,,,,0.0,
9,20200316,UT,39,170,170,170,49,0.0,0.0,0.0,11.0,11.0,131.0,,,,,,,,,0.0,
10,20200317,UT,51,182,182,182,49,0.0,0.0,0.0,12.0,12.0,131.0,,,,,,,,,0.0,
11,20200318,UT,63,194,194,194,49,0.0,0.0,0.0,12.0,12.0,131.0,,,,,,,,,0.0,
12,20200319,UT,78,1526,1526,1526,49,0.0,0.0,1317.0,15.0,1332.0,1448.0,,,,,,,,,0.0,
13,20200320,UT,112,2147,2147,2147,49,0.0,0.0,587.0,34.0,621.0,2035.0,,,,,,,,,0.0,
14,20200321,UT,136,2560,2560,2560,49,0.0,0.0,389.0,24.0,413.0,2424.0,,,,,,,,,0.0,
15,20200322,UT,181,3689,3689,3689,49,1.0,0.0,1084.0,45.0,1129.0,3508.0,,,,,,,,,1.0,
16,20200323,UT,257,5047,5047,5047,49,0.0,0.0,1282.0,76.0,1358.0,4790.0,,,,,,,,,1.0,
17,20200324,UT,299,5823,5823,5823,49,0.0,0.0,734.0,42.0,776.0,5524.0,,,,,,,,,1.0,
18,20200325,UT,346,6837,6837,6837,49,0.0,0.0,967.0,47.0,1014.0,6491.0,,,,,,,,,1.0,
19,20200326,UT,402,7710,7710,7710,49,0.0,0.0,817.0,56.0,873.0,7308.0,,,,,,,,,1.0,
20,20200327,UT,480,9244,9244,9244,49,1.0,0.0,1456.0,78.0,1534.0,8764.0,,,,,,,,,2.0,
21,20200328,UT,602,11312,11312,11312,49,0.0,0.0,1946.0,122.0,2068.0,10710.0,,,,,,,,,2.0,
22,20200329,UT,719,13993,13993,13993,49,0.0,0.0,2564.0,117.0,2681.0,13274.0,,,,,,,,,2.0,
23,20200330,UT,806,16003,16003,16003,49,2.0,0.0,1923.0,87.0,2010.0,15197.0,,,,,,,,,4.0,
24,20200331,UT,887,18513,18513,18513,49,1.0,73.0,2429.0,81.0,2510.0,17626.0,,,73.0,,,,,,5.0,73.0
25,20200401,UT,1012,21167,21167,21167,49,2.0,18.0,2529.0,125.0,2654.0,20155.0,,,91.0,,,,,,7.0,91.0
26,20200402,UT,1074,21229,21229,21229,49,0.0,9.0,0.0,62.0,62.0,20155.0,,,100.0,,,,,,7.0,100.0
27,20200403,UT,1246,24248,24248,24248,49,0.0,6.0,2847.0,172.0,3019.0,23002.0,,,106.0,,,,,,7.0,106.0
28,20200404,UT,1428,28043,28043,28043,49,1.0,11.0,3613.0,182.0,3795.0,26615.0,,,117.0,,,,,,8.0,117.0
29,20200405,UT,1605,30892,30892,30892,49,0.0,7.0,2672.0,177.0,2849.0,29287.0,,,124.0,,,,,,8.0,124.0
30,20200406,UT,1675,33394,33394,33394,49,5.0,14.0,2432.0,70.0,2502.0,31719.0,,,138.0,,,,,,13.0,138.0
31,20200407,UT,1738,34647,34647,34647,49,0.0,10.0,1190.0,63.0,1253.0,32909.0,,,148.0,,,,,,13.0,148.0
32,20200408,UT,1846,36116,36116,36116,49,0.0,10.0,1361.0,108.0,1469.0,34270.0,,,158.0,,,,,,13.0,158.0
33,20200409,UT,1976,38373,38373,38373,49,0.0,10.0,2127.0,130.0,2257.0,36397.0,,,168.0,,,,,,13.0,168.0
34,20200410,UT,2102,40762,40762,40762,49,4.0,15.0,2263.0,126.0,2389.0,38660.0,,,183.0,,,,,,17.0,183.0
35,20200411,UT,2206,42546,42546,42546,49,1.0,7.0,1680.0,104.0,1784.0,40340.0,,,190.0,,,,,,18.0,190.0
