,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200305,VA,0,18,3.0,21,18,18,51,,,,,,,,,,,,,,
1,20200306,VA,0,21,10.0,31,21,21,51,0.0,0.0,3.0,0.0,3.0,,,,,,,,,
2,20200307,VA,0,31,7.0,38,31,31,51,0.0,0.0,10.0,0.0,10.0,,,,,,,,,
3,20200308,VA,2,36,6.0,44,38,38,51,0.0,0.0,5.0,2.0,7.0,,,,,,,,,
4,20200309,VA,3,38,9.0,50,41,41,51,0.0,0.0,2.0,1.0,3.0,,,,,,,,,
5,20200310,VA,8,53,,61,61,61,51,0.0,0.0,15.0,5.0,20.0,,,,,,,,,
6,20200311,VA,9,60,,69,69,69,51,0.0,0.0,7.0,1.0,8.0,,,,,,,,,
7,20200312,VA,17,117,,134,134,134,51,0.0,0.0,57.0,8.0,65.0,,,,,,,,,
8,20200313,VA,30,117,,147,147,147,51,0.0,0.0,0.0,13.0,13.0,,,,,,,,,
9,20200314,VA,30,117,,147,147,147,51,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
10,20200315,VA,45,363,,408,408,408,51,1.0,0.0,246.0,15.0,261.0,,,,,,,,1.0,
11,20200316,VA,51,438,,489,489,489,51,0.0,0.0,75.0,6.0,81.0,,,,,,,,1.0,
12,20200317,VA,67,961,,1028,1028,1028,51,0.0,0.0,523.0,16.0,539.0,,,,,,,,1.0,
13,20200318,VA,77,1201,,1278,1278,1278,51,0.0,0.0,240.0,10.0,250.0,,,,,,,,1.0,
14,20200319,VA,94,1829,,1923,1923,1923,51,1.0,0.0,628.0,17.0,645.0,,,,,,,,2.0,
15,20200320,VA,114,2211,,2325,2325,2325,51,0.0,0.0,382.0,20.0,402.0,,,,,,,,2.0,
16,20200321,VA,152,2638,,2790,2790,2790,51,0.0,25.0,427.0,38.0,465.0,,25.0,,,,,,2.0,25.0
17,20200322,VA,219,3118,,3337,3337,3337,51,1.0,7.0,480.0,67.0,547.0,,32.0,,,,,,3.0,32.0
18,20200323,VA,254,3443,,3697,3697,3697,51,3.0,6.0,325.0,35.0,360.0,,38.0,,,,,,6.0,38.0
19,20200324,VA,290,4180,,4470,4470,4470,51,1.0,7.0,737.0,36.0,773.0,,45.0,,,,,,7.0,45.0
20,20200325,VA,391,4979,,5370,5370,5370,51,2.0,14.0,799.0,101.0,900.0,,59.0,,,,,,9.0,59.0
21,20200326,VA,460,5729,,6189,6189,6189,51,4.0,6.0,750.0,69.0,819.0,,65.0,,,,,,13.0,65.0
22,20200327,VA,604,6733,,7337,7337,7337,51,1.0,18.0,1004.0,144.0,1148.0,,83.0,,,,,,14.0,83.0
23,20200328,VA,739,8427,,9166,9166,9166,51,3.0,16.0,1694.0,135.0,1829.0,,99.0,,,,,,17.0,99.0
24,20200329,VA,890,9719,,10609,10609,10609,51,5.0,13.0,1292.0,151.0,1443.0,,112.0,,,,,,22.0,112.0
25,20200330,VA,1020,11018,,12038,12038,12038,51,3.0,24.0,1299.0,130.0,1429.0,,136.0,,,,,,25.0,136.0
26,20200331,VA,1250,12151,,13401,13401,13401,51,2.0,29.0,1133.0,230.0,1363.0,,165.0,,,,,,27.0,165.0
27,20200401,VA,1484,13860,,15344,15344,15344,51,7.0,140.0,1709.0,234.0,1943.0,,305.0,,145.0,,108.0,,34.0,305.0
28,20200402,VA,1706,15883,,17589,17589,17589,51,7.0,0.0,2023.0,222.0,2245.0,246.0,305.0,,145.0,,108.0,,41.0,305.0
29,20200403,VA,2012,16993,,19005,19005,19005,51,5.0,7.0,1110.0,306.0,1416.0,,312.0,,145.0,,108.0,,46.0,312.0
30,20200404,VA,2407,19145,,21552,21552,21552,51,6.0,78.0,2152.0,395.0,2547.0,,390.0,,145.0,,108.0,,52.0,390.0
31,20200405,VA,2637,21034,,23671,23671,23671,51,-1.0,41.0,1889.0,230.0,2119.0,,431.0,,145.0,,108.0,,51.0,431.0
32,20200406,VA,2878,21643,,24521,24521,24521,51,3.0,66.0,609.0,241.0,850.0,,497.0,,145.0,,108.0,,54.0,497.0
33,20200407,VA,3333,25312,,28645,28645,28645,51,9.0,66.0,3669.0,455.0,4124.0,,563.0,,145.0,,108.0,,63.0,563.0
34,20200408,VA,3645,27000,,30645,30645,30645,51,12.0,52.0,1688.0,312.0,2000.0,,615.0,,145.0,,108.0,,75.0,615.0
35,20200409,VA,4042,28984,627.0,33653,33026,33026,51,34.0,70.0,1984.0,397.0,2381.0,669.0,685.0,469.0,,285.0,,,109.0,685.0
36,20200410,VA,4509,30950,521.0,35980,35459,35459,51,12.0,87.0,1966.0,467.0,2433.0,1238.0,772.0,457.0,,287.0,,,121.0,772.0
37,20200411,VA,5077,32922,517.0,38516,37999,37999,51,9.0,0.0,1972.0,568.0,2540.0,1252.0,,709.0,,283.0,,,130.0,
