,date,state,positive,negative,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200306,VT,0,8,8,8,8,50,,,,,,,,,,,,,,,
1,20200307,VT,0,16,16,16,16,50,0.0,0.0,8.0,0.0,8.0,,,,,,,,,,
2,20200308,VT,1,28,29,29,29,50,0.0,0.0,12.0,1.0,13.0,,,,,,,,,,
3,20200309,VT,1,34,35,35,35,50,0.0,0.0,6.0,0.0,6.0,,,,,,,,,,
4,20200310,VT,1,40,41,41,41,50,0.0,0.0,6.0,0.0,6.0,,,,,,,,,,
5,20200311,VT,1,62,63,63,63,50,0.0,0.0,22.0,0.0,22.0,,,,,,,,,,
6,20200312,VT,2,97,99,99,99,50,0.0,0.0,35.0,1.0,36.0,,,,,,,,,,
7,20200313,VT,2,142,144,144,144,50,0.0,0.0,45.0,0.0,45.0,,,,,,,,,,
8,20200314,VT,4,227,231,231,231,50,0.0,0.0,85.0,2.0,87.0,,,,,,,,,,
9,20200315,VT,4,348,352,352,352,50,0.0,0.0,121.0,0.0,121.0,,,,,,,,,,
10,20200316,VT,8,421,429,429,429,50,0.0,0.0,73.0,4.0,77.0,,,,,,,,,,
11,20200317,VT,10,495,505,505,505,50,0.0,0.0,74.0,2.0,76.0,,,,,,,,,,
12,20200318,VT,19,592,611,611,611,50,0.0,0.0,97.0,9.0,106.0,,,,,,,,,,
13,20200319,VT,22,645,667,667,667,50,0.0,0.0,53.0,3.0,56.0,,,,,,,,,,
14,20200320,VT,29,779,808,808,808,50,2.0,0.0,134.0,7.0,141.0,,,,,,,,,2.0,
15,20200321,VT,29,779,808,808,808,50,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,
16,20200322,VT,52,1106,1158,1158,1158,50,0.0,0.0,327.0,23.0,350.0,,,,,,,,,2.0,
17,20200323,VT,75,1106,1181,1181,1181,50,3.0,0.0,0.0,23.0,23.0,,,,,,,,,5.0,
18,20200324,VT,95,1440,1535,1535,1535,50,2.0,0.0,334.0,20.0,354.0,,,,,,,,,7.0,
19,20200325,VT,123,1589,1712,1712,1712,50,1.0,0.0,149.0,28.0,177.0,,,,,,,,,8.0,
20,20200326,VT,158,1850,2008,2008,2008,50,1.0,0.0,261.0,35.0,296.0,,,,,,,,,9.0,
21,20200327,VT,184,2077,2261,2261,2261,50,1.0,18.0,227.0,26.0,253.0,,,18.0,,,,,,10.0,18.0
22,20200328,VT,211,2163,2374,2374,2374,50,2.0,0.0,86.0,27.0,113.0,,,18.0,,,,,,12.0,18.0
23,20200329,VT,235,3466,3701,3701,3701,50,0.0,0.0,1303.0,24.0,1327.0,,,18.0,,,,,,12.0,18.0
24,20200330,VT,256,3674,3930,3930,3930,50,0.0,0.0,208.0,21.0,229.0,,,18.0,,,,,,12.0,18.0
25,20200331,VT,293,3957,4250,4250,4250,50,1.0,18.0,283.0,37.0,320.0,,21.0,36.0,,,,,15.0,13.0,36.0
26,20200401,VT,321,4174,4495,4495,4495,50,3.0,9.0,217.0,28.0,245.0,,30.0,45.0,,,,,15.0,16.0,45.0
27,20200402,VT,338,4711,5049,5049,5049,50,1.0,0.0,537.0,17.0,554.0,,29.0,45.0,,,,,15.0,17.0,45.0
28,20200403,VT,389,4839,5228,5228,5228,50,0.0,0.0,128.0,51.0,179.0,,29.0,45.0,,,,,15.0,17.0,45.0
29,20200404,VT,461,5383,5844,5844,5844,50,3.0,0.0,544.0,72.0,616.0,,29.0,45.0,,,,,15.0,20.0,45.0
30,20200405,VT,512,6070,6582,6582,6582,50,2.0,0.0,687.0,51.0,738.0,,29.0,45.0,,,,,15.0,22.0,45.0
31,20200406,VT,543,6090,6633,6633,6633,50,1.0,0.0,20.0,31.0,51.0,,28.0,45.0,,,,,15.0,23.0,45.0
32,20200407,VT,575,6554,7129,7129,7129,50,0.0,0.0,464.0,32.0,496.0,,29.0,45.0,,,,,15.0,23.0,45.0
33,20200408,VT,605,7144,7749,7749,7749,50,0.0,5.0,590.0,30.0,620.0,,35.0,50.0,,,,,15.0,23.0,50.0
34,20200409,VT,628,7553,8181,8181,8181,50,0.0,0.0,409.0,23.0,432.0,,33.0,,,,,,15.0,23.0,
35,20200410,VT,679,7553,8232,8232,8232,50,1.0,0.0,0.0,51.0,51.0,,32.0,,,,,,15.0,24.0,
36,20200411,VT,711,8547,9258,9258,9258,50,1.0,0.0,994.0,32.0,1026.0,,77.0,,,,,,15.0,25.0,
