,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200304,WI,1,19,6.0,26,20,20,55,,,,,,,,,,,,,,
1,20200305,WI,1,19,6.0,26,20,20,55,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,20200306,WI,1,31,12.0,44,32,32,55,0.0,0.0,12.0,0.0,12.0,,,,,,,,,
3,20200307,WI,1,31,12.0,44,32,32,55,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,20200308,WI,1,31,12.0,44,32,32,55,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,20200309,WI,1,36,,37,37,37,55,0.0,0.0,5.0,0.0,5.0,,,,,,,,,
6,20200310,WI,2,36,,38,38,38,55,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
7,20200311,WI,3,43,,46,46,46,55,0.0,0.0,7.0,1.0,8.0,,,,,,,,,
8,20200312,WI,8,84,,92,92,92,55,0.0,0.0,41.0,5.0,46.0,,,,,,,,,
9,20200313,WI,19,169,,188,188,188,55,0.0,0.0,85.0,11.0,96.0,,,,,,,,,
10,20200314,WI,19,169,,188,188,188,55,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
11,20200315,WI,33,313,,346,346,346,55,0.0,0.0,144.0,14.0,158.0,,,,,,,,,
12,20200316,WI,47,504,,551,551,551,55,0.0,0.0,191.0,14.0,205.0,,,,,,,,,
13,20200317,WI,72,1038,,1110,1110,1110,55,0.0,0.0,534.0,25.0,559.0,,,,,,,,,
14,20200318,WI,106,1577,,1683,1683,1683,55,0.0,0.0,539.0,34.0,573.0,,,,,,,,,
15,20200319,WI,155,2192,,2347,2347,2347,55,0.0,0.0,615.0,49.0,664.0,,,,,,,,,
16,20200320,WI,206,3455,,3661,3661,3661,55,3.0,0.0,1263.0,51.0,1314.0,,,,,,,,3.0,
17,20200321,WI,281,4628,,4909,4909,4909,55,1.0,0.0,1173.0,75.0,1248.0,,,,,,,,4.0,
18,20200322,WI,385,6230,,6615,6615,6615,55,0.0,0.0,1602.0,104.0,1706.0,,,,,,,,4.0,
19,20200323,WI,416,7050,,7466,7466,7466,55,1.0,0.0,820.0,31.0,851.0,,,,,,,,5.0,
20,20200324,WI,457,8237,,8694,8694,8694,55,0.0,0.0,1187.0,41.0,1228.0,,,,,,,,5.0,
21,20200325,WI,585,10089,,10674,10674,10674,55,2.0,0.0,1852.0,128.0,1980.0,,,,,,,,7.0,
22,20200326,WI,707,11583,,12290,12290,12290,55,1.0,0.0,1494.0,122.0,1616.0,,,,,,,,8.0,
23,20200327,WI,842,13140,,13982,13982,13982,55,5.0,0.0,1557.0,135.0,1692.0,,,,,,,,13.0,
24,20200328,WI,989,15232,,16221,16221,16221,55,0.0,0.0,2092.0,147.0,2239.0,,,,,,,,13.0,
25,20200329,WI,1112,16550,,17662,17662,17662,55,0.0,0.0,1318.0,123.0,1441.0,,,,,,,,13.0,
26,20200330,WI,1221,15856,,17077,17077,17077,55,1.0,0.0,-694.0,109.0,-585.0,,,,,,,,14.0,
27,20200331,WI,1351,17375,,18726,18726,18726,55,2.0,337.0,1519.0,130.0,1649.0,,337.0,,,,,,16.0,337.0
28,20200401,WI,1550,18819,,20369,20369,20369,55,8.0,61.0,1444.0,199.0,1643.0,,398.0,,,,,,24.0,398.0
29,20200402,WI,1730,20317,,22047,22047,22047,55,7.0,63.0,1498.0,180.0,1678.0,,461.0,,,,,,31.0,461.0
30,20200403,WI,1912,22377,,24289,24289,24289,55,6.0,26.0,2060.0,182.0,2242.0,,487.0,,,,,,37.0,487.0
31,20200404,WI,2112,23859,,25971,25971,25971,55,19.0,101.0,1482.0,200.0,1682.0,,588.0,,,,,,56.0,588.0
32,20200405,WI,2267,25169,,27436,27436,27436,55,12.0,36.0,1310.0,155.0,1465.0,,624.0,,175.0,,,,68.0,624.0
33,20200406,WI,2440,26574,,29014,29014,29014,55,9.0,44.0,1405.0,173.0,1578.0,,668.0,,186.0,,,,77.0,668.0
34,20200407,WI,2578,28512,,31090,31090,31090,55,15.0,77.0,1938.0,138.0,2076.0,,745.0,,200.0,,,,92.0,745.0
35,20200408,WI,2756,30115,,32871,32871,32871,55,7.0,45.0,1603.0,178.0,1781.0,,790.0,,218.0,,,,99.0,790.0
36,20200409,WI,2885,31424,,34309,34309,34309,55,12.0,53.0,1309.0,129.0,1438.0,,843.0,,230.0,,,,111.0,843.0
37,20200410,WI,3068,33225,,36293,36293,36293,55,17.0,61.0,1801.0,183.0,1984.0,,904.0,190.0,247.0,,,,128.0,904.0
38,20200411,WI,3213,34680,,37893,37893,37893,55,9.0,46.0,1455.0,145.0,1600.0,444.0,950.0,179.0,257.0,,,,137.0,950.0
