,date,state,positive,negative,pending,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized
0,20200306,WV,0,1,4.0,5,1,1,54,,,,,,,,,,,,,,
1,20200307,WV,0,2,3.0,5,2,2,54,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
2,20200308,WV,0,2,3.0,5,2,2,54,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,20200309,WV,0,2,3.0,5,2,2,54,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,20200310,WV,0,2,3.0,5,2,2,54,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,20200311,WV,0,3,2.0,5,3,3,54,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
6,20200312,WV,0,7,1.0,8,7,7,54,0.0,0.0,4.0,0.0,4.0,,,,,,,,,
7,20200313,WV,0,17,4.0,21,17,17,54,0.0,0.0,10.0,0.0,10.0,,,,,,,,,
8,20200314,WV,0,26,5.0,31,26,26,54,0.0,0.0,9.0,0.0,9.0,,,,,,,,,
9,20200315,WV,0,38,1.0,39,38,38,54,0.0,0.0,12.0,0.0,12.0,,,,,,,,0.0,
10,20200316,WV,0,80,4.0,84,80,80,54,0.0,0.0,42.0,0.0,42.0,,,,,,,,0.0,
11,20200317,WV,0,80,4.0,84,80,80,54,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
12,20200318,WV,1,122,14.0,137,123,123,54,0.0,0.0,42.0,1.0,43.0,,,,,,,,0.0,
13,20200319,WV,2,143,3.0,148,145,145,54,0.0,0.0,21.0,1.0,22.0,,,,,,,,0.0,
14,20200320,WV,7,219,13.0,239,226,226,54,0.0,0.0,76.0,5.0,81.0,,,,,,,,0.0,
15,20200321,WV,11,330,2.0,343,341,341,54,0.0,1.0,111.0,4.0,115.0,,1.0,,,,,,0.0,1.0
16,20200322,WV,12,385,1.0,398,397,397,54,0.0,0.0,55.0,1.0,56.0,,1.0,,,,,,0.0,1.0
17,20200323,WV,16,444,4.0,464,460,460,54,0.0,0.0,59.0,4.0,63.0,,1.0,,,,,,0.0,1.0
18,20200324,WV,20,610,0.0,630,630,630,54,0.0,0.0,166.0,4.0,170.0,,1.0,,,,,,0.0,1.0
19,20200325,WV,39,759,6.0,804,798,798,54,0.0,0.0,149.0,19.0,168.0,,1.0,,,,,,0.0,1.0
20,20200326,WV,51,1031,19.0,1101,1082,1082,54,0.0,0.0,272.0,12.0,284.0,,1.0,,,,,,0.0,1.0
21,20200327,WV,76,1779,43.0,1898,1855,1855,54,0.0,0.0,748.0,25.0,773.0,,1.0,,,,,,0.0,1.0
22,20200328,WV,96,2331,6.0,2433,2427,2427,54,0.0,0.0,552.0,20.0,572.0,,1.0,,,,,,0.0,1.0
23,20200329,WV,113,2705,0.0,2818,2818,2818,54,0.0,0.0,374.0,17.0,391.0,,1.0,,,,,,0.0,1.0
24,20200330,WV,126,2984,0.0,3110,3110,3110,54,1.0,0.0,279.0,13.0,292.0,,1.0,,,,,,1.0,1.0
25,20200331,WV,162,3981,,4143,4143,4143,54,0.0,0.0,997.0,36.0,1033.0,,1.0,,,,,,1.0,1.0
26,20200401,WV,191,4384,,4575,4575,4575,54,0.0,0.0,403.0,29.0,432.0,,1.0,,,,,,1.0,1.0
27,20200402,WV,217,5276,,5493,5493,5493,54,1.0,0.0,892.0,26.0,918.0,,1.0,,,,,,2.0,1.0
28,20200403,WV,237,6130,,6367,6367,6367,54,0.0,0.0,854.0,20.0,874.0,,1.0,,,,,,2.0,1.0
29,20200404,WV,282,7404,,7686,7686,7686,54,0.0,0.0,1274.0,45.0,1319.0,,,,,,,,2.0,
30,20200405,WV,324,8514,,8838,8838,8838,54,1.0,0.0,1110.0,42.0,1152.0,,,,,,,,3.0,
31,20200406,WV,345,9595,,9940,9940,9940,54,1.0,0.0,1081.0,21.0,1102.0,,,,,,,,4.0,
32,20200407,WV,412,11647,,12059,12059,12059,54,0.0,0.0,2052.0,67.0,2119.0,,,,,,,,4.0,
33,20200408,WV,462,12083,,12545,12545,12545,54,0.0,0.0,436.0,50.0,486.0,,,,,,,,4.0,
34,20200409,WV,523,13340,,13863,13863,13863,54,1.0,0.0,1257.0,61.0,1318.0,,,,,,,,5.0,
35,20200410,WV,554,14001,,14555,14555,14555,54,0.0,0.0,661.0,31.0,692.0,85.0,,20.0,,22.0,,63.0,5.0,
36,20200411,WV,577,14875,,15452,15452,15452,54,0.0,0.0,874.0,23.0,897.0,85.0,,40.0,,22.0,,63.0,5.0,
