,date,state,positive,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hospitalized,death
0,20200307,WY,0,0,0,0,56,,,,,,,,,,,,,,,,
1,20200308,WY,0,0,0,0,56,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,20200309,WY,0,0,0,0,56,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,20200310,WY,0,0,0,0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,20200311,WY,0,0,0,0,56,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,20200312,WY,1,1,1,1,56,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
6,20200313,WY,1,1,1,1,56,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
7,20200314,WY,2,2,2,2,56,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
8,20200315,WY,3,3,3,3,56,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,
9,20200316,WY,3,3,3,3,56,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
10,20200317,WY,10,105,105,105,56,0.0,0.0,95.0,7.0,102.0,95.0,,,,,,,,,,
11,20200318,WY,15,193,193,193,56,0.0,0.0,83.0,5.0,88.0,178.0,,,,,,,,,,
12,20200319,WY,18,289,289,289,56,0.0,0.0,93.0,3.0,96.0,271.0,,,,,,,,,,
13,20200320,WY,19,350,350,350,56,0.0,0.0,60.0,1.0,61.0,331.0,,,,,,,,,,
14,20200321,WY,23,461,461,461,56,0.0,0.0,107.0,4.0,111.0,438.0,,,,,,,,,,
15,20200322,WY,24,462,462,462,56,0.0,0.0,0.0,1.0,1.0,438.0,,,,,,,,,,
16,20200323,WY,26,618,618,618,56,0.0,0.0,154.0,2.0,156.0,592.0,,,,,,,,,,
17,20200324,WY,29,739,739,739,56,0.0,0.0,118.0,3.0,121.0,710.0,,,,,,,,,,
18,20200325,WY,44,998,998,998,56,0.0,0.0,244.0,15.0,259.0,954.0,,,,,,,,7.0,,
19,20200326,WY,53,1105,1105,1105,56,0.0,0.0,98.0,9.0,107.0,1052.0,,,,,,,,12.0,,
20,20200327,WY,70,1281,1281,1281,56,0.0,11.0,159.0,17.0,176.0,1211.0,,,11.0,,,,,17.0,11.0,0.0
21,20200328,WY,82,1557,1557,1557,56,0.0,3.0,264.0,12.0,276.0,1475.0,,,14.0,,,,,18.0,14.0,0.0
22,20200329,WY,86,1640,1640,1640,56,0.0,1.0,79.0,4.0,83.0,1554.0,,,15.0,,,,,20.0,15.0,0.0
23,20200330,WY,94,1934,1934,1934,56,0.0,2.0,286.0,8.0,294.0,1840.0,,,17.0,,,,,24.0,17.0,0.0
24,20200331,WY,109,2108,2108,2108,56,0.0,0.0,159.0,15.0,174.0,1999.0,,,17.0,,,,,26.0,17.0,0.0
25,20200401,WY,130,2348,2348,2348,56,0.0,1.0,219.0,21.0,240.0,2218.0,,,18.0,,,,,31.0,18.0,0.0
26,20200402,WY,150,2589,2589,2589,56,0.0,1.0,221.0,20.0,241.0,2439.0,,,19.0,,,,,31.0,19.0,0.0
27,20200403,WY,162,2866,2866,2866,56,0.0,2.0,265.0,12.0,277.0,2704.0,,,21.0,,,,,37.0,21.0,0.0
28,20200404,WY,187,3132,3132,3132,56,0.0,2.0,241.0,25.0,266.0,2945.0,,,23.0,,,,,49.0,23.0,0.0
29,20200405,WY,197,3237,3237,3237,56,0.0,0.0,95.0,10.0,105.0,3040.0,,,23.0,,,,,50.0,23.0,0.0
30,20200406,WY,210,3929,3929,3929,56,0.0,0.0,679.0,13.0,692.0,3719.0,,,23.0,,,,,52.0,23.0,0.0
31,20200407,WY,216,4005,4005,4005,56,0.0,10.0,70.0,6.0,76.0,3789.0,,,33.0,,,,,62.0,33.0,0.0
32,20200408,WY,221,4064,4064,4064,56,0.0,0.0,54.0,5.0,59.0,3843.0,,,33.0,,,,,62.0,33.0,0.0
33,20200409,WY,230,4150,4150,4150,56,0.0,1.0,77.0,9.0,86.0,3920.0,,,34.0,,,,,94.0,34.0,0.0
34,20200410,WY,320,5056,5056,5056,56,0.0,3.0,816.0,90.0,906.0,4736.0,,,37.0,,,,,105.0,37.0,0.0
35,20200411,WY,261,5459,5459,5459,56,0.0,0.0,462.0,-59.0,403.0,5198.0,,,37.0,,,,,129.0,37.0,0.0
