,date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,20200228,1,9,,,,,,,,,,7de1cbe8b7b0a50a3afdd4b9c4d69ff78318681e,2020-02-28T21:00:00Z,4,,9,9,9,,,,,
1,20200229,1,18,,,,,,,,,,243260e18d47e670dade08ee5a5195fcc8b5a9db,2020-02-29T21:00:00Z,5,,18,18,18,1.0,0.0,0.0,9.0,9.0
2,20200301,2,31,,,,,,,,,,73d01787c42bb880e75eae6c34518fc4c1d5ce35,2020-03-01T21:00:00Z,8,,31,31,31,3.0,0.0,0.0,13.0,13.0
3,20200302,2,35,,,,,,,,,,3aef0d42c1db7236e50f664a77c2c3cddc1487a9,2020-03-02T21:00:00Z,11,,35,35,35,3.0,0.0,0.0,4.0,4.0
4,20200303,2,60,6.0,,,,,,,,,c164d965c7a1510b16f6334b1e1ba5103d0481ea,2020-03-03T21:00:00Z,14,,66,66,66,3.0,0.0,6.0,25.0,31.0
5,20200304,15,157,759.0,103.0,,,,,,,,38dc0bcedacec7715adb8d1346348bd18a80cd96,2020-03-04T21:00:00Z,16,,1019,916,916,2.0,0.0,753.0,97.0,850.0
6,20200305,25,204,970.0,197.0,,,,,,,,8a15dc10e69abcecfd9352c4e4830e758f8887e2,2020-03-05T21:00:00Z,20,,1371,1174,1174,4.0,0.0,211.0,47.0,258.0
7,20200306,37,296,1588.0,458.0,,,,,,,,0ae66f25d8aa3c8d6618ab9479f34b0f6583f4d5,2020-03-06T21:00:00Z,26,,2342,1884,1884,6.0,0.0,618.0,92.0,710.0
8,20200307,51,422,1839.0,602.0,,,,,,,,f93d85c1bc95b0284cfa0ef9f81ca6db4ee0be2d,2020-03-07T21:00:00Z,27,,2863,2261,2261,1.0,0.0,251.0,126.0,377.0
9,20200308,51,563,2335.0,347.0,,,,,,,,bc944ae33dbf87c9175cc6249ad94bffd62fbaaa,2020-03-08T20:00:00Z,31,,3245,2898,2898,4.0,0.0,496.0,141.0,637.0
10,20200309,51,794,3344.0,313.0,,,,,,,,ad9148877b678d3988dca14e31917131e7689cff,2020-03-09T20:00:00Z,35,,4451,4138,4138,4.0,0.0,1009.0,231.0,1240.0
11,20200310,51,1007,3812.0,469.0,,,,,,,,f23a0eaeb8e34fd92d3dd328bfd378cb49c54456,2020-03-10T20:00:00Z,37,,5288,4819,4819,2.0,0.0,468.0,213.0,681.0
12,20200311,51,1262,6106.0,563.0,,,,,,,,b5b4eb6c9e51ed080fecf29007214679af7c9913,2020-03-11T20:00:00Z,43,,7931,7368,7368,6.0,0.0,2294.0,255.0,2549.0
